counted,error,error_original
10,3.99,3
11,3.9235,2.95
12,3.857,2.9
13,3.7905,2.85
14,3.724,2.8
15,3.6575,2.75
16,3.591,2.7
17,3.5245,2.65
18,3.458,2.6
19,3.3915,2.55
20,3.325,2.5
21,3.1654,2.38
22,3.0058,2.26
23,2.8462,2.14
24,2.6866,2.02
25,2.527,1.9
26,2.3674,1.78
27,2.2078,1.66
28,2.0482,1.54
29,1.8886,1.42
30,1.729,1.3
31,1.67846,1.262
32,1.62792,1.224
33,1.57738,1.186
34,1.52684,1.148
35,1.4763,1.11
36,1.42576,1.072
37,1.37522,1.034
38,1.32468,0.996
39,1.27414,0.958
40,1.2236,0.92
41,1.197,0.9
42,1.1704,0.88
43,1.1438,0.86
44,1.1172,0.84
45,1.0906,0.82
46,1.064,0.8
47,1.0374,0.78
48,1.0108,0.76
49,0.9842,0.74
50,0.9576,0.72
51,0.94164,0.708
52,0.92568,0.696
53,0.90972,0.684
54,0.89376,0.672
55,0.8778,0.66
56,0.86184,0.648
57,0.84588,0.636
58,0.82992,0.624
59,0.81396,0.612
60,0.798,0.6
61,0.79534,0.598
62,0.79268,0.596
63,0.79002,0.594
64,0.78736,0.592
65,0.7847,0.59
66,0.78204,0.588
67,0.77938,0.586
68,0.77672,0.584
69,0.77406,0.582
70,0.7714,0.58
71,0.74879,0.563
72,0.72618,0.546
73,0.70357,0.529
74,0.68096,0.512
75,0.65835,0.495
76,0.63574,0.478
77,0.61313,0.461
78,0.59052,0.444
79,0.56791,0.427
80,0.5453,0.41
81,0.52535,0.395
82,0.5054,0.38
83,0.48545,0.365
84,0.4655,0.35
85,0.44555,0.335
86,0.4256,0.32
87,0.40565,0.305
88,0.3857,0.29
89,0.36575,0.275
90,0.3458,0.26
91,0.3325,0.25
92,0.3192,0.24
93,0.3059,0.23
94,0.2926,0.22
95,0.2793,0.21
96,0.222775,0.1675
97,0.16625,0.125
98,0.109725,0.0825
99,0.0532,0.04
100,0,0
