OKRSEK,STRANA,HLASY,batch
566080-1,2,4,1
566080-1,3,1,1
566080-1,5,1,1
566080-1,7,14,1
566080-1,8,2,1
566080-1,9,4,1
573060-5,1,2,1
573060-5,2,7,1
573060-5,3,7,1
573060-5,4,1,1
573060-5,5,1,1
573060-5,6,1,1
573060-5,7,32,1
573060-5,8,9,1
573060-5,9,9,1
547701-1,1,6,1
547701-1,2,3,1
547701-1,3,4,1
547701-1,4,1,1
547701-1,5,1,1
547701-1,7,12,1
547701-1,8,5,1
547701-1,9,15,1
542059-1,2,13,1
542059-1,3,1,1
542059-1,7,9,1
542059-1,9,6,1
599034-1,1,2,1
599034-1,2,7,1
599034-1,3,4,1
599034-1,7,18,1
599034-1,8,9,1
599034-1,9,7,1
588261-1,1,3,1
588261-1,2,5,1
588261-1,3,9,1
588261-1,7,9,1
588261-1,8,13,1
588261-1,9,18,1
531391-1,1,1,1
531391-1,2,1,1
531391-1,6,1,1
531391-1,7,20,1
531391-1,8,3,1
531391-1,9,15,1
999997-52,1,2,1
999997-52,2,4,1
999997-52,3,4,1
999997-52,4,1,1
999997-52,7,3,1
999997-52,8,4,1
999997-52,9,19,1
572241-11,2,1,1
572241-11,3,3,1
572241-11,7,20,1
572241-11,8,3,1
572241-11,9,9,1
537322-1,1,3,1
537322-1,2,1,1
537322-1,3,2,1
537322-1,7,8,1
537322-1,9,7,1
555771-27,1,1,1
555771-27,3,6,1
555771-27,7,20,1
555771-27,8,9,1
555771-27,9,25,1
544281-7,1,3,1
544281-7,2,7,1
544281-7,3,1,1
544281-7,4,2,1
544281-7,5,1,1
544281-7,7,16,1
544281-7,8,4,1
544281-7,9,8,1
564788-1,2,4,1
564788-1,4,1,1
564788-1,7,24,1
564788-1,8,3,1
564788-1,9,13,1
550850-11,1,3,1
550850-11,3,4,1
550850-11,7,5,1
550850-11,8,1,1
550850-11,9,1,1
548456-6,1,1,1
548456-6,3,7,1
548456-6,7,11,1
548456-6,9,7,1
597678-6,1,1,1
597678-6,2,1,1
597678-6,3,3,1
597678-6,5,1,1
597678-6,7,16,1
597678-6,8,1,1
597678-6,9,4,1
574627-1,1,3,1
574627-1,2,7,1
574627-1,3,5,1
574627-1,4,1,1
574627-1,5,2,1
574627-1,6,1,1
574627-1,7,13,1
574627-1,8,14,1
574627-1,9,25,1
999997-19,1,8,1
999997-19,2,19,1
999997-19,3,30,1
999997-19,4,4,1
999997-19,6,1,1
999997-19,7,14,1
999997-19,8,26,1
999997-19,9,84,1
999997-54,1,1,2
999997-54,2,1,2
999997-54,3,1,2
999997-54,4,3,2
999997-54,7,7,2
999997-54,8,1,2
999997-54,9,5,2
572594-1,1,1,2
572594-1,2,5,2
572594-1,4,1,2
572594-1,7,18,2
572594-1,8,8,2
572594-1,9,18,2
568104-1,2,6,2
568104-1,3,7,2
568104-1,7,29,2
568104-1,8,4,2
568104-1,9,9,2
553573-1,2,2,2
553573-1,3,7,2
553573-1,4,3,2
553573-1,5,1,2
553573-1,7,31,2
553573-1,8,7,2
553573-1,9,16,2
502081-2010,1,1,2
502081-2010,2,5,2
502081-2010,7,22,2
502081-2010,8,6,2
502081-2010,9,6,2
572241-7,2,5,2
572241-7,3,5,2
572241-7,4,2,2
572241-7,7,30,2
572241-7,8,8,2
572241-7,9,19,2
561118-1,2,2,2
561118-1,3,7,2
561118-1,4,1,2
561118-1,6,1,2
561118-1,7,18,2
561118-1,8,4,2
561118-1,9,2,2
536563-1,1,2,2
536563-1,2,3,2
536563-1,3,10,2
536563-1,4,2,2
536563-1,5,5,2
536563-1,6,2,2
536563-1,7,62,2
536563-1,8,12,2
536563-1,9,26,2
555771-18,3,1,2
555771-18,7,34,2
555771-18,8,5,2
555771-18,9,6,2
500623-4,1,1,2
500623-4,4,2,2
500623-4,7,20,2
500623-4,8,2,2
500623-4,9,13,2
554022-1,1,2,2
554022-1,2,2,2
554022-1,3,8,2
554022-1,4,3,2
554022-1,7,46,2
554022-1,8,9,2
554022-1,9,15,2
573302-1,2,3,2
573302-1,3,5,2
573302-1,7,19,2
573302-1,8,6,2
573302-1,9,14,2
586846-44,1,5,2
586846-44,2,3,2
586846-44,3,10,2
586846-44,4,2,2
586846-44,7,29,2
586846-44,8,4,2
586846-44,9,9,2
533807-3,1,4,2
533807-3,2,4,2
533807-3,3,4,2
533807-3,7,39,2
533807-3,8,8,2
533807-3,9,28,2
554294-5,1,2,2
554294-5,2,10,2
554294-5,3,4,2
554294-5,4,3,2
554294-5,7,28,2
554294-5,8,7,2
554294-5,9,16,2
560511-1,2,2,2
560511-1,3,2,2
560511-1,4,2,2
560511-1,7,29,2
560511-1,8,2,2
560511-1,9,17,2
598704-1,1,1,2
598704-1,2,1,2
598704-1,3,7,2
598704-1,5,1,2
598704-1,7,27,2
598704-1,8,10,2
598704-1,9,26,2
578347-13,2,4,2
578347-13,3,5,2
578347-13,7,30,2
578347-13,8,4,2
578347-13,9,7,2
532878-1,1,1,2
532878-1,2,4,2
532878-1,3,2,2
532878-1,7,8,2
532878-1,8,3,2
532878-1,9,9,2
545384-1,2,2,2
545384-1,4,1,2
545384-1,7,16,2
545384-1,8,2,2
545384-1,9,7,2
508683-1,1,2,2
508683-1,2,1,2
508683-1,3,8,2
508683-1,4,1,2
508683-1,7,9,2
508683-1,8,1,2
508683-1,9,16,2
545023-3,1,1,2
545023-3,2,5,2
545023-3,3,7,2
545023-3,5,1,2
545023-3,6,1,2
545023-3,7,31,2
545023-3,8,8,2
545023-3,9,28,2
512231-3,1,1,2
512231-3,2,4,2
512231-3,3,1,2
512231-3,4,2,2
512231-3,6,1,2
512231-3,7,18,2
512231-3,8,7,2
512231-3,9,4,2
529711-1,2,1,2
529711-1,3,4,2
529711-1,7,18,2
529711-1,9,15,2
597163-1,1,1,2
597163-1,2,10,2
597163-1,3,20,2
597163-1,7,64,2
597163-1,8,21,2
597163-1,9,27,2
551678-2,1,1,2
551678-2,2,2,2
551678-2,3,15,2
551678-2,4,1,2
551678-2,5,3,2
551678-2,7,11,2
551678-2,8,3,2
551678-2,9,12,2
530361-1,1,3,2
530361-1,2,7,2
530361-1,3,5,2
530361-1,6,3,2
530361-1,7,8,2
530361-1,8,6,2
530361-1,9,4,2
556319-3,1,1,2
556319-3,3,4,2
556319-3,4,2,2
556319-3,5,1,2
556319-3,7,21,2
556319-3,8,4,2
556319-3,9,17,2
505587-17,2,2,2
505587-17,3,2,2
505587-17,4,1,2
505587-17,7,36,2
505587-17,8,2,2
505587-17,9,12,2
537365-1,1,2,2
537365-1,4,2,2
537365-1,6,2,2
537365-1,7,18,2
537365-1,8,3,2
537365-1,9,3,2
536903-1,2,2,2
536903-1,3,1,2
536903-1,7,26,2
536903-1,8,1,2
536903-1,9,1,2
502081-2008,1,10,2
502081-2008,2,22,2
502081-2008,3,14,2
502081-2008,5,1,2
502081-2008,7,141,2
502081-2008,8,10,2
502081-2008,9,45,2
597678-4,7,24,2
597678-4,8,4,2
597678-4,9,6,2
541095-1,1,1,2
541095-1,2,5,2
541095-1,3,4,2
541095-1,7,37,2
541095-1,8,10,2
541095-1,9,19,2
561371-1,1,1,2
561371-1,2,5,2
561371-1,3,15,2
561371-1,7,26,2
561371-1,8,12,2
561371-1,9,20,2
571296-1,1,3,2
571296-1,2,2,2
571296-1,3,4,2
571296-1,4,2,2
571296-1,5,1,2
571296-1,7,33,2
571296-1,8,4,2
571296-1,9,17,2
568465-1,2,3,2
568465-1,3,5,2
568465-1,4,4,2
568465-1,5,1,2
568465-1,6,1,2
568465-1,7,34,2
568465-1,8,3,2
568465-1,9,16,2
575526-1,1,1,2
575526-1,2,5,2
575526-1,7,34,2
575526-1,8,5,2
575526-1,9,9,2
502316-4010,1,13,2
502316-4010,2,39,2
502316-4010,3,28,2
502316-4010,4,6,2
502316-4010,5,2,2
502316-4010,6,2,2
502316-4010,7,200,2
502316-4010,8,27,2
502316-4010,9,94,2
572438-1,1,2,2
572438-1,2,4,2
572438-1,3,5,2
572438-1,5,2,2
572438-1,7,14,2
572438-1,8,4,2
572438-1,9,6,2
556718-4,2,4,2
556718-4,3,4,2
556718-4,5,2,2
556718-4,7,35,2
556718-4,8,2,2
556718-4,9,19,2
560715-7,1,9,2
560715-7,2,26,2
560715-7,3,7,2
560715-7,4,5,2
560715-7,5,1,2
560715-7,6,1,2
560715-7,7,134,2
560715-7,8,18,2
560715-7,9,71,2
586846-53,1,6,2
586846-53,2,7,2
586846-53,3,7,2
586846-53,4,1,2
586846-53,5,1,2
586846-53,7,39,2
586846-53,8,7,2
586846-53,9,17,2
578312-1,1,3,2
578312-1,2,5,2
578312-1,3,4,2
578312-1,5,1,2
578312-1,6,2,2
578312-1,7,32,2
578312-1,8,7,2
578312-1,9,21,2
541508-2,1,3,2
541508-2,2,8,2
541508-2,3,5,2
541508-2,4,1,2
541508-2,5,1,2
541508-2,7,38,2
541508-2,8,4,2
541508-2,9,25,2
552046-40,1,6,2
552046-40,2,11,2
552046-40,3,12,2
552046-40,4,4,2
