OKRSEK,ZAPSANI_VOLICI,VYDANE_OBALKY,ODEVZDANE_OBALKY,PLATNE_HLASY,batch
566080-1,68,26,26,26,1
573060-5,124,69,69,69,1
547701-1,66,47,47,47,1
542059-1,48,29,29,29,1
599034-1,73,47,47,47,1
588261-1,75,57,57,57,1
531391-1,63,42,42,41,1
999997-52,69,37,37,37,1
572241-11,45,36,36,36,1
537322-1,35,21,21,21,1
555771-27,112,61,61,61,1
544281-7,66,42,42,42,1
564788-1,59,45,45,45,1
550850-11,16,14,14,14,1
548456-6,34,26,26,26,1
597678-6,37,27,27,27,1
574627-1,108,71,71,71,1
999997-19,277,186,186,186,1
999997-54,21,19,19,19,2
572594-1,65,51,51,51,2
568104-1,79,56,56,55,2
553573-1,154,69,69,67,2
502081-2010,225,41,41,40,2
572241-7,92,69,69,69,2
561118-1,64,35,35,35,2
536563-1,182,124,124,124,2
555771-18,75,49,49,46,2
500623-4,75,39,39,38,2
554022-1,118,86,86,85,2
573302-1,72,47,47,47,2
586846-44,94,62,62,62,2
533807-3,140,87,87,87,2
554294-5,106,72,72,70,2
560511-1,77,54,54,54,2
598704-1,112,73,73,73,2
578347-13,69,51,51,50,2
532878-1,44,27,27,27,2
545384-1,30,28,28,28,2
508683-1,67,38,38,38,2
545023-3,121,82,82,82,2
512231-3,76,38,38,38,2
529711-1,62,38,38,38,2
597163-1,178,144,144,143,2
551678-2,82,49,49,48,2
530361-1,42,37,37,36,2
556319-3,70,50,50,50,2
505587-17,95,55,55,55,2
537365-1,46,30,30,30,2
536903-1,41,31,31,31,2
502081-2008,573,245,244,243,2
597678-4,80,34,34,34,2
541095-1,103,76,76,76,2
561371-1,96,79,79,79,2
571296-1,88,66,66,66,2
568465-1,106,67,67,67,2
575526-1,68,56,56,54,2
502316-4010,708,417,417,411,2
572438-1,55,37,37,37,2
556718-4,95,66,66,66,2
560715-7,523,273,273,272,2
586846-53,117,85,85,85,2
578312-1,97,75,75,75,2
541508-2,119,85,85,85,2
552046-40,132,98,98,96,2
594580-1,65,49,49,48,2
572675-1,226,105,105,104,2
590045-1,71,34,34,34,2
545384-4,27,17,17,17,2
595411-12,83,71,71,70,2
582662-1,199,140,140,140,2
571717-1,181,110,110,110,2
596850-1,88,61,61,61,2
570125-1,189,131,131,131,2
553280-1,128,89,89,89,2
532606-1,58,41,41,41,2
588032-5,76,48,48,48,2
568767-1,101,71,71,71,2
579891-16,244,165,165,162,2
553786-7,94,64,64,64,2
569721-1,188,158,158,155,2
548448-1,75,39,39,39,2
533823-1,200,120,120,119,2
534391-1,62,38,38,37,2
567027-51,588,346,346,346,2
551121-1,130,85,85,84,2
578347-16,93,58,58,57,2
567892-1015,498,29,29,29,2
554642-3,29,21,21,21,2
539929-1,37,31,31,31,2
574279-1,168,141,141,141,2
530221-1,87,55,55,55,2
564150-1,49,41,41,41,2
529303-21,164,129,129,129,2
551872-1,147,74,74,74,2
566594-1,77,58,58,58,2
578061-1,54,44,44,43,2
586251-1,200,126,126,126,2
534200-4,47,39,39,39,2
545287-4,102,75,75,75,2
587656-1,113,90,90,89,2
533271-7,78,51,51,51,2
556254-7,78,47,47,47,2
562475-1,167,117,117,117,2
514055-7,130,74,74,74,2
549941-1,37,34,34,34,2
502316-4011,539,254,254,252,2
573035-1,73,45,45,43,2
595217-1,101,66,66,66,2
563951-1,55,38,38,38,2
574015-3,55,30,30,30,2
533564-2,132,75,75,75,2
541231-5,125,56,56,55,2
591211-6,55,40,40,40,2
555380-10,103,42,42,42,2
552372-4,78,59,59,59,2
572233-1,59,43,43,43,2
559750-3,71,62,62,62,2
544639-4,40,31,31,31,2
551465-1,42,26,25,25,2
572241-12,36,24,24,24,2
557668-2,90,53,53,53,2
596761-1,124,97,97,97,2
536911-1,59,43,43,43,2
507113-4,73,44,44,44,2
575500-10,178,109,109,108,2
560243-1,110,75,75,75,2
563722-1,73,56,56,56,2
537144-1,73,58,58,58,2
567892-1008,369,251,246,245,2
565709-8,144,94,94,94,2
590967-1,161,114,114,114,2
571041-5,73,44,44,42,2
577731-18,586,37,37,37,2
595411-8,68,56,56,54,2
550418-4,89,64,64,63,2
546330-1,202,120,120,120,2
553131-8,85,48,48,47,2
554294-4,69,56,56,56,2
568970-1,69,51,51,51,2
548626-1,52,37,37,37,2
573060-3,61,29,29,29,2
567892-1021,570,233,233,230,2
549096-1,261,157,155,154,2
559806-3,34,33,33,33,2
534072-1,243,146,146,143,2
595381-1,158,94,94,94,2
599654-1,59,42,42,42,3
546500-2,69,56,56,56,3
531731-1,166,95,95,95,3
548499-1,33,22,22,22,3
553859-1,87,58,58,57,3
562262-3,402,129,129,127,3
569577-1,315,177,176,175,3
561754-1,45,31,31,30,3
566616-9,111,49,49,49,3
563455-1,160,93,93,91,3
560391-1,30,28,28,28,3
566331-1,29,18,18,18,3
598976-1,46,39,39,39,3
560910-2,106,64,64,64,3
556751-4,34,27,27,27,3
596418-1,191,132,132,132,3
549584-3,67,41,41,41,3
582344-1,89,66,66,64,3
572152-2,57,42,42,41,3
558389-4,88,43,43,43,3
573655-3,76,63,63,63,3
537641-1,655,437,436,433,3
579343-1,49,42,42,42,3
584002-8,87,62,62,62,3
533297-3,86,49,49,48,3
588547-2,38,22,22,22,3
504807-1,204,155,155,155,3
531715-1,399,277,277,277,3
571237-1,170,109,109,109,3
552801-4,73,54,54,54,3
575500-8,60,37,37,37,3
576824-3,165,122,122,121,3
573728-1,144,93,93,93,3
577731-1,538,256,256,254,3
589128-2,62,32,32,32,3
501298-3012,709,383,383,379,3
555771-24,109,67,67,67,3
