OKRSEK,STRANA,HLASY,batch
541281-5,7,38,1
541281-5,9,16,1
549584-2,7,24,1
549584-2,9,34,1
547701-1,7,19,1
547701-1,9,28,1
587206-1,7,24,1
587206-1,9,23,1
573060-5,7,46,1
573060-5,9,31,1
575500-8,7,29,1
575500-8,9,11,1
563960-3,7,23,1
563960-3,9,22,1
597678-6,7,25,1
597678-6,9,5,1
572667-1,7,74,1
572667-1,9,51,1
572241-11,7,32,1
572241-11,9,3,1
560448-1,7,60,1
560448-1,9,54,1
580783-1,7,27,1
580783-1,9,16,1
577731-18,7,26,1
577731-18,9,32,1
587214-1,7,10,1
587214-1,9,34,1
554294-4,7,32,1
554294-4,9,23,1
548383-2,7,20,1
548383-2,9,17,1
559806-3,7,18,1
559806-3,9,14,1
578312-1,7,45,1
578312-1,9,25,1
532878-1,7,16,1
532878-1,9,15,1
533271-7,7,25,1
533271-7,9,23,1
553573-1,7,44,1
553573-1,9,28,1
597783-9,7,49,1
597783-9,9,19,1
569208-1,7,45,1
569208-1,9,54,1
556254-7,7,36,1
556254-7,9,12,1
545911-8039,7,22,1
545911-8039,9,17,1
549118-1,7,17,1
549118-1,9,17,1
555380-10,7,34,1
555380-10,9,19,1
568414-7,7,82,1
568414-7,9,58,1
541095-1,7,53,1
541095-1,9,29,1
561754-1,7,13,1
561754-1,9,19,1
541281-13,7,15,1
541281-13,9,22,1
587559-1,7,33,1
587559-1,9,37,1
586854-1,7,73,1
586854-1,9,33,1
537021-2,7,19,1
537021-2,9,12,1
577308-6,7,21,1
577308-6,9,16,1
566489-1,7,23,1
566489-1,9,16,1
586846-44,7,36,1
586846-44,9,28,1
580708-2,7,24,1
580708-2,9,36,1
550850-7,7,23,1
550850-7,9,24,1
533564-2,7,57,1
533564-2,9,22,1
541281-11,7,33,1
541281-11,9,54,1
563901-3,7,79,1
563901-3,9,74,1
587664-1,7,74,1
587664-1,9,25,1
556319-3,7,29,1
556319-3,9,19,1
597678-4,7,34,1
597678-4,9,10,1
552224-1,7,50,1
552224-1,9,16,1
537365-1,7,23,1
537365-1,9,7,1
548910-1,7,26,1
548910-1,9,25,1
538094-14,7,34,1
538094-14,9,17,1
578347-16,7,31,1
578347-16,9,31,1
544281-7,7,26,1
544281-7,9,20,1
548537-1,7,12,1
548537-1,9,22,1
599034-1,7,26,1
599034-1,9,23,1
588261-1,7,16,1
588261-1,9,42,1
568465-1,7,55,1
568465-1,9,21,1
573302-1,7,26,1
573302-1,9,22,1
