n,time,size,downloaded
1,2023-01-28T14:20:00,59,2023-01-28T14:20:58.072286
2,2023-01-28T14:25:00,300,2023-01-28T14:26:01.660174
3,2023-01-28T14:30:00,630,2023-01-28T14:30:23.520687
4,2023-01-28T14:35:00,966,2023-01-28T14:35:52.902048
5,2023-01-28T14:40:01,1181,2023-01-28T14:40:23.958633
6,2023-01-28T14:45:00,1306,2023-01-28T14:46:19.365860
7,2023-01-28T14:50:00,1335,2023-01-28T14:50:35.438972
8,2023-01-28T14:55:00,1334,2023-01-28T14:55:29.350524
9,2023-01-28T15:00:00,1304,2023-01-28T15:00:40.466916
10,2023-01-28T15:05:01,1242,2023-01-28T15:06:12.192905
11,2023-01-28T15:10:00,1021,2023-01-28T15:10:40.319684
12,2023-01-28T15:15:00,902,2023-01-28T15:16:17.606346
13,2023-01-28T15:20:00,740,2023-01-28T15:20:58.323921
14,2023-01-28T15:25:00,551,2023-01-28T15:25:51.534570
15,2023-01-28T15:30:00,482,2023-01-28T15:31:20.303820
16,2023-01-28T15:35:00,378,2023-01-28T15:36:47.268143
17,2023-01-28T15:40:00,286,2023-01-28T15:41:14.361381
18,2023-01-28T15:45:01,227,2023-01-28T15:46:09.276728
19,2023-01-28T15:50:00,166,2023-01-28T15:50:38.950753
20,2023-01-28T15:55:00,134,2023-01-28T15:56:54.965455
21,2023-01-28T16:00:00,89,2023-01-28T16:02:53.923921
22,2023-01-28T16:05:00,67,2023-01-28T16:05:34.870559
23,2023-01-28T16:10:00,38,2023-01-28T16:11:06.772461
24,2023-01-28T16:15:00,39,2023-01-28T16:16:07.293893
25,2023-01-28T16:20:01,22,2023-01-28T16:21:07.482450
26,2023-01-28T16:25:00,23,2023-01-28T16:26:06.789102
27,2023-01-28T16:30:00,9,2023-01-28T16:32:06.810535
28,2023-01-28T16:35:00,19,2023-01-28T16:36:07.600772
29,2023-01-28T16:40:00,8,2023-01-28T16:41:06.747514
