OKRSEK,STRANA,HLASY,batch
4007,1,629,49
4007,2,891,49
4007,3,784,49
4007,4,354,49
4007,5,54,49
4007,6,177,49
4007,7,266,49
4007,8,1446,49
4001,1,610,51
4001,2,894,51
4001,3,924,51
4001,4,2333,51
4001,5,195,51
4001,6,406,51
4001,7,506,51
4001,8,1703,51
4005,1,674,53
4005,2,738,53
4005,3,1472,53
4005,4,580,53
4005,5,135,53
4005,6,167,53
4005,7,581,53
4005,8,2944,53
4002,1,439,71
4002,2,1138,71
4002,3,956,71
4002,4,1740,71
4002,5,445,71
4002,6,293,71
4002,7,633,71
4002,8,1911,71
4006,1,516,80
4006,2,1522,80
4006,3,1154,80
4006,4,1254,80
4006,5,413,80
4006,6,775,80
4006,7,245,80
4006,8,2623,80
4003,1,681,89
4003,2,948,89
4003,3,1263,89
4003,4,869,89
4003,5,134,89
4003,6,406,89
4003,7,898,89
4003,8,2241,89
4004,1,1101,99
4004,2,1193,99
4004,3,1020,99
4004,4,694,99
4004,5,130,99
4004,6,375,99
4004,7,931,99
4004,8,3337,99
