n,time,size
1,2021-10-09T14:25:00,2
2,2021-10-09T14:30:00,3
3,2021-10-09T14:35:01,21
4,2021-10-09T14:40:00,63
5,2021-10-09T14:40:00,63
6,2021-10-09T14:50:00,172
7,2021-10-09T14:55:00,247
8,2021-10-09T15:00:00,319
9,2021-10-09T15:05:00,388
10,2021-10-09T15:10:00,494
11,2021-10-09T15:15:00,513
12,2021-10-09T15:20:01,571
13,2021-10-09T15:25:00,594
14,2021-10-09T15:30:00,608
15,2021-10-09T15:35:00,642
16,2021-10-09T15:40:00,643
17,2021-10-09T15:45:00,628
18,2021-10-09T15:50:00,636
19,2021-10-09T15:55:01,668
20,2021-10-09T16:00:00,625
21,2021-10-09T16:05:00,651
22,2021-10-09T16:10:00,610
23,2021-10-09T16:15:00,581
24,2021-10-09T16:20:00,542
25,2021-10-09T16:25:00,467
26,2021-10-09T16:30:01,459
27,2021-10-09T16:35:00,430
28,2021-10-09T16:40:00,399
29,2021-10-09T16:45:00,361
30,2021-10-09T16:50:00,301
31,2021-10-09T16:55:00,283
32,2021-10-09T17:00:00,237
33,2021-10-09T17:05:01,195
34,2021-10-09T17:10:00,180
35,2021-10-09T17:15:00,156
36,2021-10-09T17:20:00,134
37,2021-10-09T17:25:00,121
38,2021-10-09T17:30:00,114
39,2021-10-09T17:35:00,94
40,2021-10-09T17:40:00,83
41,2021-10-09T17:45:00,74
42,2021-10-09T17:50:00,64
43,2021-10-09T17:55:01,52
44,2021-10-09T18:00:00,45
45,2021-10-09T18:05:00,53
46,2021-10-09T18:10:00,35
47,2021-10-09T18:15:00,42
48,2021-10-09T18:20:00,22
49,2021-10-09T18:25:00,26
50,2021-10-09T18:30:00,21
51,2021-10-09T18:35:01,21
52,2021-10-09T18:40:00,10
53,2021-10-09T18:45:00,12
54,2021-10-09T18:50:00,14
55,2021-10-09T18:55:00,13
56,2021-10-09T19:00:00,7
57,2021-10-09T19:05:00,2
58,2021-10-09T19:10:01,7
59,2021-10-09T19:15:00,9
60,2021-10-09T19:20:00,4
61,2021-10-09T19:25:00,4
62,2021-10-09T19:30:00,5
63,2021-10-09T19:35:00,1
64,2021-10-09T19:40:01,4
65,2021-10-09T19:45:00,2
66,2021-10-09T19:50:00,2
67,2021-10-09T19:55:00,2
68,2021-10-09T20:00:00,1
69,2021-10-09T20:05:00,2
70,2021-10-09T20:10:00,2
71,2021-10-09T21:15:00,2
72,2021-10-09T21:30:00,1
73,2021-10-09T21:45:00,1
74,2021-10-09T22:25:00,1
75,2021-10-10T11:25:00,1
