n,time,size,extracted
1,2023-01-14T14:20:00,2,2023-01-25T23:12:28.213678
2,2023-01-14T14:25:00,80,2023-01-25T23:12:28.493454
3,2023-01-14T14:30:01,241,2023-01-25T23:12:29.328530
4,2023-01-14T14:35:00,444,2023-01-25T23:12:30.954968
5,2023-01-14T14:40:00,636,2023-01-25T23:12:33.364264
6,2023-01-14T14:45:00,855,2023-01-25T23:12:37.156433
7,2023-01-14T14:50:00,954,2023-01-25T23:12:41.893075
8,2023-01-14T14:55:00,1034,2023-01-25T23:12:47.915862
9,2023-01-14T15:00:01,1093,2023-01-25T23:12:55.373918
10,2023-01-14T15:05:00,1119,2023-01-25T23:13:04.076413
11,2023-01-14T15:10:00,1101,2023-01-25T23:13:13.622285
12,2023-01-14T15:15:00,1046,2023-01-25T23:13:25.424831
13,2023-01-14T15:20:00,1003,2023-01-25T23:13:39.122894
14,2023-01-14T15:25:00,834,2023-01-25T23:13:51.300490
15,2023-01-14T15:30:01,747,2023-01-25T23:14:01.076795
16,2023-01-14T15:35:00,644,2023-01-25T23:14:10.039238
17,2023-01-14T15:40:00,546,2023-01-25T23:14:18.009160
18,2023-01-14T15:45:00,483,2023-01-25T23:14:25.803696
19,2023-01-14T15:50:00,383,2023-01-25T23:14:32.331125
20,2023-01-14T15:55:00,306,2023-01-25T23:14:37.448658
21,2023-01-14T16:00:00,275,2023-01-25T23:14:42.218258
22,2023-01-14T16:05:00,235,2023-01-25T23:14:46.518337
23,2023-01-14T16:10:00,172,2023-01-25T23:14:49.842791
24,2023-01-14T16:15:00,135,2023-01-25T23:14:52.450241
25,2023-01-14T16:20:00,98,2023-01-25T23:14:54.466660
26,2023-01-14T16:25:01,93,2023-01-25T23:14:56.517425
27,2023-01-14T16:30:00,75,2023-01-25T23:14:58.319649
28,2023-01-14T16:35:00,47,2023-01-25T23:14:59.808496
29,2023-01-14T16:40:00,34,2023-01-25T23:15:00.887548
30,2023-01-14T16:45:00,33,2023-01-25T23:15:01.916392
31,2023-01-14T16:50:00,26,2023-01-25T23:15:02.855527
32,2023-01-14T16:55:01,20,2023-01-25T23:15:03.575177
33,2023-01-14T17:00:00,16,2023-01-25T23:15:04.248324
34,2023-01-14T17:05:00,9,2023-01-25T23:15:04.764688
35,2023-01-14T17:10:00,8,2023-01-25T23:15:05.269529
36,2023-01-14T17:15:00,8,2023-01-25T23:15:05.785213
37,2023-01-14T17:20:00,6,2023-01-25T23:15:06.257785
38,2023-01-14T17:25:00,5,2023-01-25T23:15:06.766680
39,2023-01-14T17:30:00,4,2023-01-25T23:15:07.205630
40,2023-01-14T17:35:00,3,2023-01-25T23:15:07.613876
41,2023-01-14T17:40:00,2,2023-01-25T23:15:08.078798
42,2023-01-14T17:45:01,1,2023-01-25T23:15:08.454657
43,2023-01-14T17:50:00,2,2023-01-25T23:15:08.840544
44,2023-01-14T18:00:00,2,2023-01-25T23:15:09.229400
45,2023-01-14T18:05:00,1,2023-01-25T23:15:09.628912
46,2023-01-14T18:30:00,1,2023-01-25T23:15:09.994747
47,2023-01-14T19:15:00,1,2023-01-25T23:15:10.354882
