KODZASTUP,N_OKRSEK,KRAJ,MANDATY,NAZEVZAST,OKRES,POCOBYV,N_STRANA,type
500011,3,7200,15,Želechovice nad Dřevnicí,7204,1855,4,rt
500020,2,7100,11,Petrov nad Desnou,7105,1196,5,rt
500054,21,1100,25,Praha 1,1100,29499,10,rt
500089,45,1100,35,Praha 2,1100,49624,9,rt
500097,52,1100,35,Praha 3,1100,74559,12,rt
500119,132,1100,45,Praha 4,1100,128455,11,rt
500135,2,7100,7,Kozlov,7102,233,2,rt
500143,81,1100,43,Praha 5,1100,85276,14,rt
500160,2,7100,9,Město Libavá,7102,603,3,rt
500178,104,1100,45,Praha 6,1100,104356,11,rt
500186,36,1100,29,Praha 7,1100,44034,8,rt
500208,108,1100,45,Praha 8,1100,105145,12,rt
500216,42,1100,33,Praha 9,1100,58050,28,rt
500224,109,1100,45,Praha 10,1100,109790,11,rt
500291,3,8100,15,Vřesina,8106,2932,7,rt
500496,95,7100,45,Olomouc,7102,100494,16,rt
500623,7,7100,15,Bílá Lhota,7102,1126,2,rt
500861,9,7100,15,Bouzov,7102,1525,4,rt
501298,20,4200,15,Ústí nad Labem-Severní Terasa,4207,19579,12,rt
501476,3,7100,15,Dlouhá Loučka,7102,1925,6,rt
501646,3,7100,15,Dolany,7102,2732,4,rt
501751,4,7100,15,Drahanovice,7102,1687,4,rt
502081,21,4200,15,Ústí nad Labem-Neštěmice,4207,23360,11,rt
502146,4,7100,15,Hlubočky,7102,4245,5,rt
502316,17,4200,15,Ústí nad Labem-Střekov,4207,13724,12,rt
502545,2,7100,11,Horka nad Moravou,7102,2472,5,rt
503444,17,7100,21,Litovel,7102,9866,8,rt
503622,4,7100,9,Luká,7102,845,4,rt
503657,4,7100,15,Lutín,7102,3209,4,rt
504246,2,7100,9,Mladeč,7102,743,4,rt
504441,3,7100,15,Náklo,7102,1511,4,rt
504505,3,7100,15,Náměšť na Hané,7102,2037,3,rt
505013,2,7100,15,Příkazy,7102,1297,3,rt
505081,3,7100,15,Senice na Hané,7102,1786,4,rt
505111,2,7100,15,Slatinice,7102,1589,4,rt
