OKRSEK,STRANA,HLASY,batch
17002,1,2297,60
17002,2,216,60
17002,3,394,60
17002,4,457,60
17002,5,679,60
17002,6,502,60
17002,7,565,60
17002,8,76,60
17002,9,395,60
17004,1,2066,71
17004,2,432,71
17004,3,417,71
17004,4,553,71
17004,5,1096,71
17004,6,531,71
17004,7,494,71
17004,8,273,71
17004,9,425,71
17005,1,3395,80
17005,2,695,80
17005,3,526,80
17005,4,543,80
17005,5,1492,80
17005,6,906,80
17005,7,349,80
17005,8,393,80
17005,9,381,80
17003,1,1932,89
17003,2,574,89
17003,3,695,89
17003,4,1104,89
17003,5,1506,89
17003,6,974,89
17003,7,217,89
17003,8,247,89
17003,9,454,89
17008,1,1869,93
17008,2,305,93
17008,3,367,93
17008,4,151,93
17008,5,767,93
17008,6,351,93
17008,7,310,93
17008,8,71,93
17008,9,381,93
17009,1,2362,107
17009,2,725,107
17009,3,437,107
17009,4,198,107
17009,5,1525,107
17009,6,614,107
17009,7,236,107
17009,8,59,107
17009,9,313,107
17006,1,2387,111
17006,2,772,111
17006,3,697,111
17006,4,381,111
17006,5,1632,111
17006,6,756,111
17006,7,420,111
17006,8,196,111
17006,9,199,111
17007,1,2757,122
17007,2,497,122
17007,3,517,122
17007,4,431,122
17007,5,2603,122
17007,6,1881,122
17007,7,436,122
17007,8,506,122
17007,9,391,122
17001,1,2435,134
17001,2,412,134
17001,3,515,134
17001,4,1880,134
17001,5,1751,134
17001,6,886,134
17001,7,542,134
17001,8,222,134
17001,9,1564,134
