n,time,size,downloaded
1,2023-01-14T14:20:00,2,2023-01-14T14:20:39.502749
2,2023-01-14T14:25:00,80,2023-01-14T14:26:07.261960
3,2023-01-14T14:30:01,241,2023-01-14T14:31:36.942910
4,2023-01-14T14:35:00,444,2023-01-14T14:51:16.324053
5,2023-01-14T14:40:00,636,2023-01-14T14:52:07.539900
6,2023-01-14T14:45:00,855,2023-01-14T14:52:08.002651
7,2023-01-14T14:50:00,954,2023-01-14T14:52:08.921185
8,2023-01-14T14:55:00,1034,2023-01-14T14:56:11.756748
9,2023-01-14T15:00:01,1093,2023-01-14T15:00:08.380901
10,2023-01-14T15:05:00,1119,2023-01-14T15:06:08.451375
11,2023-01-14T15:10:00,1101,2023-01-14T15:11:08.356698
12,2023-01-14T15:15:00,1046,2023-01-14T15:16:08.852824
13,2023-01-14T15:20:00,1003,2023-01-14T15:21:08.652220
14,2023-01-14T15:25:00,834,2023-01-14T15:26:07.586829
15,2023-01-14T15:30:01,747,2023-01-14T15:30:39.915943
16,2023-01-14T15:35:00,644,2023-01-14T15:36:08.005894
17,2023-01-14T15:40:00,546,2023-01-14T15:41:07.155517
18,2023-01-14T15:45:00,483,2023-01-14T15:46:07.555718
19,2023-01-14T15:50:00,383,2023-01-14T15:50:27.471212
20,2023-01-14T15:55:00,306,2023-01-14T15:56:08.203470
