OKRSEK,STRANA,HLASY,batch
15025,1,117,20
15025,2,674,20
15025,3,591,20
15025,4,1577,20
15025,5,504,20
15025,6,508,20
15025,7,298,20
15025,8,113,20
15025,9,677,20
15025,10,660,20
15003,1,137,24
15003,2,540,24
15003,3,180,24
15003,4,1921,24
15003,5,227,24
15003,6,225,24
15003,7,90,24
15003,8,0,24
15003,9,630,24
15003,10,591,24
15049,1,137,26
15049,2,678,26
15049,3,654,26
15049,4,1922,26
15049,5,660,26
15049,6,362,26
15049,7,158,26
15049,8,136,26
15049,9,676,26
15049,10,91,26
15010,1,381,26
15010,2,730,26
15010,3,586,26
15010,4,2822,26
15010,5,524,26
15010,6,186,26
15010,7,323,26
15010,8,181,26
15010,9,600,26
15010,10,450,26
15012,1,716,26
15012,2,492,26
15012,3,998,26
15012,4,3121,26
15012,5,1077,26
15012,6,376,26
15012,7,379,26
15012,8,126,26
15012,9,1162,26
15012,10,489,26
15031,1,394,27
15031,2,1244,27
15031,3,519,27
15031,4,3139,27
15031,5,456,27
15031,6,719,27
15031,7,190,27
15031,8,291,27
15031,9,513,27
15031,10,775,27
15018,1,244,29
15018,2,726,29
15018,3,416,29
15018,4,1964,29
15018,5,588,29
15018,6,587,29
15018,7,460,29
15018,8,189,29
15018,9,328,29
15018,10,544,29
15022,1,236,29
15022,2,1401,29
15022,3,774,29
15022,4,2375,29
15022,5,962,29
15022,6,232,29
15022,7,436,29
15022,8,64,29
15022,9,826,29
15022,10,630,29
15011,1,684,30
15011,2,408,30
15011,3,904,30
15011,4,2426,30
15011,5,820,30
15011,6,376,30
15011,7,226,30
15011,8,51,30
15011,9,788,30
15011,10,465,30
15004,1,374,30
15004,2,826,30
15004,3,593,30
15004,4,3672,30
15004,5,943,30
15004,6,681,30
15004,7,48,30
15004,8,277,30
15004,9,846,30
15004,10,807,30
15013,1,1371,31
15013,2,1407,31
15013,3,942,31
15013,4,3064,31
15013,5,1138,31
15013,6,269,31
15013,7,59,31
15013,8,152,31
15013,9,599,31
15013,10,324,31
15027,1,714,32
15027,2,821,32
15027,3,1136,32
15027,4,3836,32
15027,5,1373,32
15027,6,1137,32
15027,7,539,32
15027,8,525,32
15027,9,1162,32
15027,10,278,32
15033,1,380,33
15033,2,660,33
15033,3,975,33
15033,4,2514,33
15033,5,1250,33
15033,6,358,33
15033,7,4,33
15033,8,11,33
15033,9,637,33
15033,10,192,33
15060,1,143,34
15060,2,920,34
15060,3,715,34
15060,4,1888,34
15060,5,748,34
15060,6,930,34
15060,7,53,34
15060,8,43,34
15060,9,409,34
15060,10,377,34
15064,1,326,34
15064,2,842,34
15064,3,643,34
15064,4,1715,34
15064,5,1147,34
15064,6,1032,34
15064,7,280,34
15064,8,66,34
15064,9,549,34
15064,10,365,34
15062,1,113,34
15062,2,928,34
15062,3,609,34
15062,4,1864,34
15062,5,364,34
15062,6,1172,34
15062,7,76,34
15062,8,62,34
15062,9,566,34
15062,10,229,34
15043,1,519,35
15043,2,870,35
15043,3,1032,35
15043,4,2870,35
15043,5,697,35
15043,6,822,35
15043,7,235,35
15043,8,198,35
15043,9,608,35
15043,10,915,35
15036,1,636,35
15036,2,911,35
15036,3,1366,35
15036,4,3626,35
15036,5,1937,35
15036,6,1066,35
15036,7,512,35
15036,8,77,35
15036,9,1854,35
15036,10,693,35
15021,1,668,36
15021,2,1137,36
15021,3,581,36
15021,4,3099,36
15021,5,1277,36
15021,6,636,36
15021,7,233,36
15021,8,150,36
15021,9,825,36
15021,10,552,36
15006,1,334,36
15006,2,642,36
15006,3,515,36
15006,4,1416,36
15006,5,578,36
15006,6,467,36
15006,7,150,36
15006,8,184,36
15006,9,501,36
15006,10,229,36
15057,1,101,36
15057,2,1452,36
15057,3,893,36
15057,4,2757,36
15057,5,540,36
15057,6,419,36
15057,7,57,36
15057,8,236,36
15057,9,286,36
15057,10,679,36
15024,1,961,36
15024,2,1201,36
15024,3,855,36
15024,4,2559,36
15024,5,956,36
15024,6,607,36
15024,7,103,36
15024,8,188,36
15024,9,1585,36
15024,10,917,36
15030,1,559,37
15030,2,742,37
15030,3,398,37
15030,4,2520,37
15030,5,730,37
15030,6,731,37
15030,7,238,37
15030,8,21,37
15030,9,758,37
15030,10,329,37
15047,1,917,38
15047,2,701,38
15047,3,1308,38
15047,4,2957,38
15047,5,1464,38
15047,6,464,38
15047,7,342,38
15047,8,198,38
15047,9,1380,38
15047,10,566,38
15028,1,466,39
15028,2,879,39
15028,3,1088,39
15028,4,3564,39
15028,5,1104,39
15028,6,521,39
15028,7,413,39
15028,8,210,39
15028,9,1600,39
15028,10,859,39
15048,1,694,39
15048,2,860,39
15048,3,978,39
15048,4,2358,39
15048,5,842,39
15048,6,320,39
15048,7,188,39
15048,8,49,39
15048,9,1045,39
15048,10,940,39
15023,1,102,39
15023,2,1142,39
15023,3,862,39
15023,4,2702,39
15023,5,693,39
15023,6,740,39
15023,7,112,39
15023,8,153,39
15023,9,816,39
15023,10,819,39
15061,1,351,39
15061,2,1043,39
15061,3,878,39
15061,4,2521,39
15061,5,1096,39
15061,6,1260,39
15061,7,277,39
15061,8,48,39
15061,9,856,39
15061,10,276,39
15005,1,261,40
15005,2,593,40
15005,3,687,40
15005,4,3289,40
15005,5,589,40
15005,6,563,40
15005,7,175,40
15005,8,20,40
15005,9,630,40
15005,10,817,40
15017,1,798,40
15017,2,654,40
15017,3,823,40
15017,4,2591,40
15017,5,1150,40
15017,6,421,40
15017,7,59,40
15017,8,145,40
15017,9,1043,40
15017,10,231,40
15035,1,568,40
15035,2,823,40
15035,3,586,40
15035,4,2985,40
15035,5,850,40
15035,6,644,40
15035,7,429,40
15035,8,124,40
15035,9,760,40
15035,10,508,40
15077,1,968,41
15077,2,2811,41
15077,3,1389,41
15077,4,3210,41
15077,5,576,41
15077,6,1455,41
15077,7,377,41
15077,8,371,41
15077,9,1126,41
15077,10,327,41
15063,1,271,41
15063,2,800,41
15063,3,670,41
15063,4,953,41
15063,5,228,41
15063,6,665,41
15063,7,182,41
15063,8,52,41
15063,9,398,41
15063,10,719,41
15039,1,890,41
15039,2,831,41
15039,3,462,41
15039,4,2940,41
15039,5,708,41
15039,6,634,41
15039,7,375,41
15039,8,166,41
15039,9,895,41
15039,10,322,41
15050,1,582,42
15050,2,749,42
15050,3,854,42
15050,4,3186,42
15050,5,884,42
15050,6,515,42
15050,7,340,42
15050,8,175,42
15050,9,731,42
15050,10,1002,42
15073,1,317,42
15073,2,1428,42
15073,3,587,42
15073,4,3586,42
15073,5,207,42
15073,6,2384,42
