region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
11,10,"SPD, Trikolora, PRO a Svobodní","SPD, Trikolora, PRO a Svobodní","SPD, Trikolora, PRO a Svobodní",Svo+SPD+Tri+PRO
11,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
11,16,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA
11,17,"Hlas pro náš kraj, koalice SOCDEM a SproK","Hlas pro náš kraj, koalice SOCDEM a SproK","Hlas pro náš kraj,SOCDEM,SproK",SOCDEM+SproK
11,29,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monarch.str.Čech, Moravy a Slezska)",Koruna Česká (monarch.strana),Monarchiste.cz
11,39,ANO 2011,ANO 2011,ANO 2011,ANO
11,48,STAČILO!,STAČILO!,STAČILO!,ČSNS+KSČM+ČSSD
11,51,"SDRUŽENÍ PRO REPUBLIKU - REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA","SDR.PRO REP.-REPUBLIKÁNSKÁ STR.ČECH,MORAVY,SLEZSKA","SPR-REP.STR.ČECH,MORAVY,SLEZ.",SPR-RSČMS
11,52,STAROSTOVÉ PRO OLOMOUCKÝ KRAJ,STAROSTOVÉ PRO OLOMOUCKÝ KRAJ,STAROSTOVÉ PRO OLOMOUCKÝ KRAJ,STAN+SNK ED
11,58,"Piráti s podporou ProOlomouc, Společně pro Přerov, Naše Litovelsko a osobností z regionu",Piráti s podporou,Piráti s podporou,Piráti+ProOl
11,60,Moravané,Moravané,Moravané,Moravané
11,63,"Spojenci24 s vámi (KDU-ČSL, TOP 09, Strana zelených, Nestraníci)","Spojenci24 s vámi (KDU-ČSL,TOP09,Zelen,Nestraníci)",Spojenci24 s vámi,KDU+Zel+Nes+TOP
11,85,Občanská demokratická strana,Občanská demokratická strana,Občanská demokratická strana,ODS
