region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
6,1,SPOLU PRO Liberecký kraj,SPOLU PRO Liberecký kraj,SPOLU PRO Liberecký kraj,Svobod+Soukrom
6,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
6,16,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA
6,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
6,30,Právo Respekt Odbornost,Právo Respekt Odbornost,Právo Respekt Odbornost,PRO 2022
6,33,"LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …",LEPŠÍ ŽIVOT PRO LIDI a NÁRODNÍ DEMOKRACIE,LEPŠÍ ŽIVOT PRO LIDI a ND,ND+LŽPL
6,34,Zelení pro kraj,Zelení pro kraj,Zelení pro kraj,Zelení+LES
6,39,ANO 2011,ANO 2011,ANO 2011,ANO
6,70,Sociální demokracie,Sociální demokracie,Sociální demokracie,SOCDEM
6,71,SPD a Trikolora,SPD a Trikolora,SPD a Trikolora,SPD+Trikolora
6,77,"STAČILO!, koalice Komunistické strany Čech a Moravy a České strany národně sociální","STAČILO!, koalice KSČM a ČSNS","STAČILO!, koalice KSČM a ČSNS",ČSNS+KSČM
6,82,"SPOLU pro Liberecký kraj - ODS, TOP 09, KDU-ČSL","SPOLU pro Liberecký kraj - ODS, TOP 09, KDU-ČSL","SPOLU pro LBK-ODS,TOP,KDU-ČSL",KDU+ODS+TOP 09
6,87,Starostové pro Liberecký kraj,Starostové pro Liberecký kraj,Starostové pro Liberecký kraj,SLK
