region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
7,5,HLAS samospráv – pro spravedlivý rozvoj Královéhradeckého kraje,HLAS samospráv – pro spravedlivý rozvoj HK kraje,HLAS samospráv,SOCDEM+SproK+RH
7,10,"SPD, Trikolora, PRO a Svobodní","SPD, Trikolora, PRO a Svobodní","SPD, Trikolora, PRO a Svobodní",Svo+SPD+Tri+PRO
7,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
7,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
7,29,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monarch.str.Čech, Moravy a Slezska)",Koruna Česká (monarch.strana),Monarchiste.cz
7,33,"LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …",LEPŠÍ ŽIVOT PRO LIDI a NÁRODNÍ DEMOKRACIE,LEPŠÍ ŽIVOT PRO LIDI a ND,ND+LŽPL
7,39,ANO 2011,ANO 2011,ANO 2011,ANO
7,40,"PRO KRAJINU - Zelení, Změna pro Hradec a nezávislí","PRO KRAJINU - Zelení, Změna pro Hradec a nezávislí","PRO KRAJINU-Zelení,Změna,nez.",Zelení+SEN 21
7,41,"Čtyřkoalice STAROSTOVÉ, TOP 09, HDK, LES","Čtyřkoalice STAROSTOVÉ, TOP 09, HDK, LES","Čtyřkoalice STAN,TOP09,HDK,LES",STAN+TOP+LES+HD
7,54,"SILNÍ LÍDŘI pro kraj - ODS, KDU-ČSL a VÝCHODOČEŠI","SILNÍ LÍDŘI pro kraj - ODS, KDU-ČSL a VÝCHODOČEŠI",SILNÍ LÍDŘI pro kraj,KDU-ČSL+ODS+VČ
7,62,Jasný Signál Nezávislých,Jasný Signál Nezávislých,Jasný Signál Nezávislých,JaSaN
7,67,ČSSD,ČSSD,ČSSD,ČSSD+DOMOV
7,77,"STAČILO!, koalice Komunistické strany Čech a Moravy a České strany národně sociální","STAČILO!, koalice KSČM a ČSNS","STAČILO!, koalice KSČM a ČSNS",ČSNS+KSČM
