region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
9,3,Společně se Starosty pro občany,Společně se Starosty pro občany,Společně se Starosty p. občany,ODS+TOP 09+STO
9,7,"SPD, Trikolora a PRO","SPD, Trikolora a PRO","SPD, Trikolora a PRO",SPD+Trikol+PRO
9,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
9,16,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA
9,19,Nezávislá kandidátka,Nezávislá kandidátka,Nezávislá kandidátka,NeKa
9,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
9,33,"LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …",LEPŠÍ ŽIVOT PRO LIDI a NÁRODNÍ DEMOKRACIE,LEPŠÍ ŽIVOT PRO LIDI a ND,ND+LŽPL
9,35,KDU-ČSL,KDU-ČSL,KDU-ČSL,KDU-ČSL
9,39,ANO 2011,ANO 2011,ANO 2011,ANO
9,47,MÁ VLAST ČECHY MORAVA SLEZSKO,MÁ VLAST ČECHY MORAVA SLEZSKO,MÁ VLAST ČECHY MORAVA SLEZSKO,MÁ VLAST ČMS
9,48,STAČILO!,STAČILO!,STAČILO!,ČSNS+KSČM+ČSSD
9,65,STAROSTOVÉ PRO VYSOČINU,STAROSTOVÉ PRO VYSOČINU,STAROSTOVÉ PRO VYSOČINU,STAN+SNK ED
9,70,Sociální demokracie,Sociální demokracie,Sociální demokracie,SOCDEM
