region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
3,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
3,16,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA
3,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
3,29,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monarch.str.Čech, Moravy a Slezska)",Koruna Česká (monarch.strana),Monarchiste.cz
3,37,"STAČILO! Koalice Komunistické strany Čech a Moravy, Spojených demokratů - Sdružení nez. a České strany národně sociální","STAČILO! Koalice KSČM, SD-SN a ČSNS","STAČILO! KSČM, SD-SN a ČSNS",ČSNS+KSČM+SD-SN
3,39,ANO 2011,ANO 2011,ANO 2011,ANO
3,43,ČISTÝ A BEZPEČNÝ KRAJ,ČISTÝ A BEZPEČNÝ KRAJ,ČISTÝ A BEZPEČNÝ KRAJ,NDDSSSBEZULANS
3,61,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAN
3,70,Sociální demokracie,Sociální demokracie,Sociální demokracie,SOCDEM
3,71,SPD a Trikolora,SPD a Trikolora,SPD a Trikolora,SPD+Trikolora
3,72,ODS a TOP 09 - SPOLEČNĚ DO KRAJE,ODS a TOP 09 - SPOLEČNĚ DO KRAJE,ODS a TOP 09-SPOLEČNĚ DO KRAJE,ODS+TOP 09
3,93,"PRO NÁŠ KRAJ – PRO PLZEŇ a KDU-ČSL s podporou Svobodných, agrárníků, starostů a sportovců",PRO NÁŠ KRAJ – PRO PLZEŇ a KDU-ČSL s podporou,"PRO NÁŠ KRAJ–PRO PLZEŇ,KDU-ČSL",KDUČSL+PROPLZEŇ
3,94,"LEPŠÍ ŽIVOT PRO LIDI-min.mzda 70.000 Kč,min.důchod 50.000 Kč,ceny energií 2019,v obchodech zboží nej. kvality,STOP válce",LEPŠÍ ŽIVOT PRO LIDI,LEPŠÍ ŽIVOT PRO LIDI,LŽPL
