region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
1,7,"SPD, Trikolora a PRO","SPD, Trikolora a PRO","SPD, Trikolora a PRO",SPD+Trikol+PRO
1,14,Zelení a SEN 21,Zelení a SEN 21,Zelení a SEN 21,Zelení+SEN 21
1,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
1,16,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA
1,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
1,22,"STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS","STAČILO! - SPOJENÁ LEVICE KSČM, ČSSD A ČSNS",STAČILO! - SPOJENÁ LEVICE,ČSNS+KSČM+ČSSD
1,27,Sdružení pro Místní Správu,Sdružení pro Místní Správu,Sdružení pro Místní Správu,SMS
1,36,"ANO LEPŠÍ ČESKO S MIMOZEMŠŤANY A OBČANY MOTORISTY - (dostupnější bydlení, jízdné zdarma školákům a studentům, …)",ANO LEPŠÍ ČESKO S MIMOZEMŠŤANY A OBČANY MOTORISTY,ANO LEPŠÍ ČESKO S MIMOZEMŠŤANY,mimozemstani.eu
1,39,ANO 2011,ANO 2011,ANO 2011,ANO
1,43,ČISTÝ A BEZPEČNÝ KRAJ,ČISTÝ A BEZPEČNÝ KRAJ,ČISTÝ A BEZPEČNÝ KRAJ,NDDSSSBEZULANS
1,46,JISTOTA A BUDOUCNOST,JISTOTA A BUDOUCNOST,JISTOTA A BUDOUCNOST,JAB
1,61,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAN
1,70,Sociální demokracie,Sociální demokracie,Sociální demokracie,SOCDEM
1,76,Švýcarská demokracie (www.svycarska-demokracie.cz),Švýcarská demokracie (www.svycarska-demokracie.cz),Švýcarská demokracie,Švýcarská dem.
1,78,SPOLU (ODS + TOP 09 + KDU-ČSL),SPOLU (ODS + TOP 09 + KDU-ČSL),SPOLU (ODS + TOP 09 + KDU-ČSL),KDU+ODS+TOP 09
1,80,Liberální aliance nezávislých občanů,Liberální aliance nezávislých občanů,Liberální aliance nez. občanů,LANO
1,94,"LEPŠÍ ŽIVOT PRO LIDI-min.mzda 70.000 Kč,min.důchod 50.000 Kč,ceny energií 2019,v obchodech zboží nej. kvality,STOP válce",LEPŠÍ ŽIVOT PRO LIDI,LEPŠÍ ŽIVOT PRO LIDI,LŽPL
