region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
8,6,"STAČILO! (KSČM, ČSNS, ČSSD)","STAČILO! (KSČM, ČSNS, ČSSD)","STAČILO! (KSČM, ČSNS, ČSSD)",ČSNS+KSČM+ČSSD
8,7,"SPD, Trikolora a PRO","SPD, Trikolora a PRO","SPD, Trikolora a PRO",SPD+Trikol+PRO
8,12,"NAŠE PARDUBICE - ""Nechme kraj rozkvést""","NAŠE PARDUBICE - ""Nechme kraj rozkvést""",NAŠE PARDUB.Nechme kraj rozkv.,SPDV+mimozemst.
8,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
8,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
8,23,REFERENDUM - Hlas Lidu,REFERENDUM - Hlas Lidu,REFERENDUM - Hlas Lidu,REFERENDUM
8,39,ANO 2011,ANO 2011,ANO 2011,ANO
8,49,Koalice pro Pardubický kraj,Koalice pro Pardubický kraj,Koalice pro Pardubický kraj,Koalice pro PaK
8,56,ODS a TOP 09,ODS a TOP 09,ODS a TOP 09,ODS+TOP 09
8,61,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAN
8,76,Švýcarská demokracie (www.svycarska-demokracie.cz),Švýcarská demokracie (www.svycarska-demokracie.cz),Švýcarská demokracie,Švýcarská dem.
8,92,3PK - Pro prosperující Pardubický kraj,3PK - Pro prosperující Pardubický kraj,3PK-Pro prosperující Pard. kr.,SOCDEM+VČ+SproK
