region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
12,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
12,18,Svoboda a přímá demokracie (SPD),Svoboda a přímá demokracie (SPD),Svoboda a př. demokracie (SPD),SPD
12,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
12,29,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monarch.str.Čech, Moravy a Slezska)",Koruna Česká (monarch.strana),Monarchiste.cz
12,30,Právo Respekt Odbornost,Právo Respekt Odbornost,Právo Respekt Odbornost,PRO 2022
12,31,"Za Moravu, obnovenou z moravských krajů a okresů","Za Moravu, obnovenou z moravských krajů a okresů",Koalice Moravané a MZH,Moravané+MZH
12,39,ANO 2011,ANO 2011,ANO 2011,ANO
12,55,Trikolora,Trikolora,Trikolora,Trikolora
12,69,K21 ZLÍNSKÝ KRAJ 21. STOLETÍ,K21 ZLÍNSKÝ KRAJ 21. STOLETÍ,K21 ZLÍNSKÝ KRAJ 21. STOLETÍ,KDU-ČSL+Z21
12,70,Sociální demokracie,Sociální demokracie,Sociální demokracie,SOCDEM
12,76,Švýcarská demokracie (www.svycarska-demokracie.cz),Švýcarská demokracie (www.svycarska-demokracie.cz),Švýcarská demokracie,Švýcarská dem.
12,79,STAROSTOVÉ pro Zlínský kraj s podporou TOP 09 a ZVUK 12,STAROSTOVÉ pro Zl.kraj s podporou TOP 09 a ZVUK 12,STAROSTOVÉ s podp. TOP a ZVUK,STAN+TOP+ZVUK
12,81,"STAČILO!   koalice Komunistické strany Čech a Moravy, České strany národně sociální a ČSSD –  České suverenity soc. dem.","STAČILO!   koalice KSČM, ČSNS a ČSSD","STAČILO!   KSČM, ČSNS, ČSSD",ČSNS+KSČM+ČSSD
12,84,Nezávislý HLAS pro Zlínský kraj,Nezávislý HLAS pro Zlínský kraj,Nezávislý HLAS pro Zlín. kraj,NEZ+Svobo+Soukr
12,85,Občanská demokratická strana,Občanská demokratická strana,Občanská demokratická strana,ODS
