region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
13,7,"SPD, Trikolora a PRO","SPD, Trikolora a PRO","SPD, Trikolora a PRO",SPD+Trikol+PRO
13,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
13,16,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA
13,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
13,23,REFERENDUM - Hlas Lidu,REFERENDUM - Hlas Lidu,REFERENDUM - Hlas Lidu,REFERENDUM
13,28,STAROSTOVÉ A OSOBNOSTI PRO KRAJ,STAROSTOVÉ A OSOBNOSTI PRO KRAJ,STAROST. A OSOBNOSTI PRO KRAJ,STAN+OK
13,39,ANO 2011,ANO 2011,ANO 2011,ANO
13,60,Moravané,Moravané,Moravané,Moravané
13,70,Sociální demokracie,Sociální demokracie,Sociální demokracie,SOCDEM
13,76,Švýcarská demokracie (www.svycarska-demokracie.cz),Švýcarská demokracie (www.svycarska-demokracie.cz),Švýcarská demokracie,Švýcarská dem.
13,77,"STAČILO!, koalice Komunistické strany Čech a Moravy a České strany národně sociální","STAČILO!, koalice KSČM a ČSNS","STAČILO!, koalice KSČM a ČSNS",ČSNS+KSČM
13,88,SPOLU MSK,SPOLU MSK,SPOLU MSK,KDU+ODS+TOP 09
13,95,ČSSD A NEZÁVISLÉ OSOBNOSTI,ČSSD A NEZÁVISLÉ OSOBNOSTI,ČSSD A NEZÁVISLÉ OSOBNOSTI,ČSSD+DOMOV
