region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
4,9,Správná Volba PRO kraj,Správná Volba PRO kraj,Správná Volba PRO kraj,PRO2022+SpV
4,11,H L A S  pro Karlovarský kraj,H L A S  pro Karlovarský kraj,H L A S  pro Karlovarský kraj,SD-SN+SproK
4,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
4,16,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA
4,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
4,25,Volt Česko,Volt Česko,Volt Česko,Volt
4,39,ANO 2011,ANO 2011,ANO 2011,ANO
4,45,SRDCEM PRO ...,SRDCEM PRO ...,SRDCEM PRO ...,SRDCEM PRO ...
4,61,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAN
4,64,Koalice SNK 1 - Starostové našeho kraje a KDU-ČSL,Koalice SNK 1 - Starostové našeho kraje a KDU-ČSL,Koalice SNK 1 - SNK a KDU-ČSL,KDU-ČSL+SNK 1
4,66,Svobodní a Soukromníci,Svobodní a Soukromníci,Svobodní a Soukromníci,Svobod+Soukrom
4,70,Sociální demokracie,Sociální demokracie,Sociální demokracie,SOCDEM
4,71,SPD a Trikolora,SPD a Trikolora,SPD a Trikolora,SPD+Trikolora
4,74,MÍSTNÍ HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST,MÍSTNÍ HNUTÍ NEZ. ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST,MÍSTNÍ HNUTÍ ZA HARM. ROZVOJ,MÍSTNÍ HNHRM
4,75,Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM
4,76,Švýcarská demokracie (www.svycarska-demokracie.cz),Švýcarská demokracie (www.svycarska-demokracie.cz),Švýcarská demokracie,Švýcarská dem.
4,85,Občanská demokratická strana,Občanská demokratická strana,Občanská demokratická strana,ODS
4,89,Vize pro Karlovarský kraj,Vize pro Karlovarský kraj,Vize pro Karlovarský kraj,Vize KVK
4,91,Volba pro kraj,Volba pro kraj,Volba pro kraj,VOK
