region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
5,4,ČSSD – ČISTÝ KRAJ,ČSSD – ČISTÝ KRAJ,ČSSD – ČISTÝ KRAJ,ČSSD+ČiKR
5,7,"SPD, Trikolora a PRO","SPD, Trikolora a PRO","SPD, Trikolora a PRO",SPD+Trikol+PRO
5,8,"STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS","STAČILO! v Ústeckém kraji – KSČM, SOCDEM, ČSNS",STAČILO! v Ústeckém kraji,ČSNS+SOCDE+KSČM
5,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
5,16,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA
5,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
5,26,HLAS Regionů,HLAS Regionů,HLAS Regionů,USZ+SDSN+SpV+HS
5,32,SVOBODNÍ A ŠVÝCARSKÁ DEMOKRACIE,SVOBODNÍ A ŠVÝCARSKÁ DEMOKRACIE,"SVOBODNÍ,ŠVÝCARSKÁ DEMOKRACIE",Svob+Švýc.dem.
5,33,"LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …",LEPŠÍ ŽIVOT PRO LIDI a NÁRODNÍ DEMOKRACIE,LEPŠÍ ŽIVOT PRO LIDI a ND,ND+LŽPL
5,39,ANO 2011,ANO 2011,ANO 2011,ANO
5,42,Spojenci pro kraj,Spojenci pro kraj,Spojenci pro kraj,Zel+ED+TOP+JP
5,44,STAROSTOVÉ PRO ÚSTECKÝ KRAJ,STAROSTOVÉ PRO ÚSTECKÝ KRAJ,STAROSTOVÉ PRO ÚSTECKÝ KRAJ,STAN+PRO Zdraví
5,59,LEPŠÍ SEVER,LEPŠÍ SEVER,LEPŠÍ SEVER,LS
5,85,Občanská demokratická strana,Občanská demokratická strana,Občanská demokratická strana,ODS
