region,id,full_name,shorter_name,ZKRATKAK30,ZKRATKAK8
10,10,"SPD, Trikolora, PRO a Svobodní","SPD, Trikolora, PRO a Svobodní","SPD, Trikolora, PRO a Svobodní",Svo+SPD+Tri+PRO
10,13,ZA MORAVU!,ZA MORAVU!,ZA MORAVU!,Moravané+MZH
10,15,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT,DSZ - ZA PRÁVA ZVÍŘAT,DSZ-ZA PR.ZVÍŘ.
10,16,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA
10,20,STAROSTOVÉ PRO JIŽNÍ MORAVU,STAROSTOVÉ PRO JIŽNÍ MORAVU,STAROSTOVÉ PRO JIŽNÍ MORAVU,STAN+SOL
10,21,Česká pirátská strana,Česká pirátská strana,Česká pirátská strana,Piráti
10,29,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)","Koruna Česká (monarch.str.Čech, Moravy a Slezska)",Koruna Česká (monarch.strana),Monarchiste.cz
10,33,"LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …",LEPŠÍ ŽIVOT PRO LIDI a NÁRODNÍ DEMOKRACIE,LEPŠÍ ŽIVOT PRO LIDI a ND,ND+LŽPL
10,38,NESTRANÍCI PRO JIŽNÍ MORAVU,NESTRANÍCI PRO JIŽNÍ MORAVU,NESTRANÍCI PRO JIŽNÍ MORAVU,SOM+Nestran2024
10,39,ANO 2011,ANO 2011,ANO 2011,ANO
10,53,Hlas Moravy,Hlas Moravy,Hlas Moravy,Zel+LES+SEN+Ide
10,57,"STAČILO! v Jihomoravském kraji, koalice KSČM, ČSSD, ČSNS, SD-SN a DOMOV",STAČILO! v Jihomoravském kraji,STAČILO! v Jihomoravském kraji,NSKSČMSDČSSDDOM
10,70,Sociální demokracie,Sociální demokracie,Sociální demokracie,SOCDEM
10,86,Nový směr,Nový směr,Nový směr,NOS
10,90,"SPOLU - ODS, KDU-ČSL, TOP 09","SPOLU - ODS, KDU-ČSL, TOP 09","SPOLU - ODS, KDU-ČSL, TOP 09",KDU+ODS+TOP 09
