index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,color,inverse
150,1100,500224,Praha 10,1,1,5,5,Strana zelených,Strana zelených,Zelení,1,005,35093.0,2.42,0.0,45,5,Zelení,SZ,Strana zelených,5.0,#36da83,1.0
151,1100,500224,Praha 10,1,2,1311,1311,"VLASTA - koalice občanů Prahy 10, KDU-ČSL,STAN a Desítky pro domácí",VLASTA - KDU+STAN+DPD+NK,KDU+STAN+DPD+NK,4,"001,080,166,750",294130.0,20.33,11.0,45,1,KDU+STAN+DPD+NK,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1.0,#ffd62e,1.0
152,1100,500224,Praha 10,1,3,47,47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,56163.0,3.88,0.0,45,47,KSČM,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b,1.0
153,1100,500224,Praha 10,1,4,768,768,ANO 2011,ANO 2011,ANO,1,768,193537.0,13.37,7.0,45,768,ANO,ANO,ANO 2011,768.0,#33cccc,0.0
154,1100,500224,Praha 10,1,5,551,551,STAROSTOVÉ PRO PRAHU - ZELENÁ PRO DESÍTKU,Starost. pro P.- Zelená pro 10,,2,"080,791",96530.0,6.67,3.0,45,80,,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
155,1100,500224,Praha 10,1,6,480,480,Spojené síly pro Prahu 10 - TOP 09 a nezávislí,Spoj.síly pro P10-TOP09 a nez.,,2,"080,721",179205.0,12.38,6.0,45,80,,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
156,1100,500224,Praha 10,1,7,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,258189.0,17.84,10.0,45,720,Piráti,Piráti,Česká pirátská strana,720.0,#222222,1.0
157,1100,500224,Praha 10,1,8,1114,1114,Svoboda a přímá demokracie - Tomio Okamura (SPD),Svob.a př.dem.-T.Okamura (SPD),SPD,1,1114,50927.0,3.52,0.0,45,1114,SPD,SPD,Svoboda a přímá demokracie - Tomio Okamura (SPD),1114.0,#c05f2f,1.0
158,1100,500224,Praha 10,1,9,7,7,Česká strana sociálně demokratická,Česká str. sociálně demokrat.,ČSSD,1,007,38007.0,2.62,0.0,45,7,ČSSD,ČSSD,Česká strana sociálně demokratická,7.0,#f9932e,1.0
159,1100,500224,Praha 10,1,10,1043,1043,NEZÁVISLÍ PRO PRAHU 10 - HNUTÍ PRO LEPŠÍ DESÍTKU,NEZ.PRO P10-HNUTÍ PRO LEPŠÍ 10,NPP10-HPLD,1,1043,38934.0,2.69,0.0,45,1043,NPP10-HPLD,,,,,
160,1100,500224,Praha 10,1,11,53,53,Občanská demokratická strana,Občanská demokratická strana,ODS,1,053,205825.0,14.22,8.0,45,53,ODS,ODS,Občanská demokratická strana,53.0,#4175e0,1.0
