gain,STRANA,counted
1.3362030028964305,1,1.0
0.4485530316327645,2,1.0
0.9989793251063617,3,1.0
12.91748755316755,4,1.0
0.9251736059845901,5,1.0
6.392432540012559,6,1.0
0.010930469967059441,7,1.0
19.3499821083137,8,1.0
2.7604535972630604,9,1.0
0.8570520137390448,10,1.0
0.03617140032608604,11,1.0
0.005222458674012877,12,1.0
1.86240342864471,13,1.0
23.235423324358454,14,1.0
2.300310173302881,15,1.0
6.378357259803449,16,1.0
0.2113198525015554,17,1.0
0.024433680912054133,18,1.0
0.010433373404245752,19,1.0
0.3292323364545998,20,1.0
19.47493596948634,21,1.0
0.1345094940484869,22,1.0
