KODZASTUP,N_OKRSEK,KRAJ,MANDATY,NAZEVZAST,OKRES,POCOBYV,N_STRANA,type
503916,1,3200,9,Kostelec,3207,572,1,1party
504301,1,5300,7,Dřenice,5301,403,1,1party
504955,1,5300,7,Dvakačovice,5301,168,1,1party
505005,1,5300,7,Bítovany,5301,421,1,1party
505030,1,5300,7,Dolní Bezděkov,5301,203,1,1party
505781,1,2100,7,Zápy,2109,859,1,1party
506664,1,3200,7,Skořice,3206,259,1,1party
507105,1,8100,9,Hněvošice,8105,1006,1,1party
507377,4,8100,15,Jakartovice,8105,1016,1,1party
507610,1,3100,7,Doňov,3103,78,1,1party
507652,1,3100,7,Višňová,3103,81,1,1party
507695,1,3100,7,Záhoří,3103,115,1,1party
507733,1,3100,7,Březina,3103,124,1,1party
508683,1,3100,7,Záblatí,3103,79,1,1party
509612,1,8100,15,Otice,8105,1407,1,1party
511161,1,8100,7,Vršovice,8105,511,1,1party
511633,1,8100,7,Bocanovice,8102,447,1,1party
512826,1,7100,7,Buk,7104,377,1,1party
512893,1,8100,9,Nové Lublice,8105,214,1,1party
512982,1,7100,9,Citov,7104,553,1,1party
512991,1,2100,7,Drnek,2103,171,1,1party
513059,1,7100,7,Čelechovice,7104,121,1,1party
513113,1,2100,7,Malé Přítočno,2103,240,1,1party
513148,1,2100,5,Polní Voděrady,2104,172,1,1party
513164,1,2100,5,Ždánice,2104,362,1,1party
513181,1,2100,7,Dománovice,2104,119,1,1party
513288,1,2100,5,Mrzky,2104,153,1,1party
513393,1,2100,7,Přistoupim,2104,447,1,1party
513521,1,2100,7,Lešetice,2111,187,1,1party
513539,1,2100,7,Velká Lečice,2111,159,1,1party
513636,1,7100,7,Hrabůvka,7104,303,1,1party
514161,1,5100,5,Luka,5101,95,1,1party
514276,1,5100,7,Pertoltice pod Ralskem,5101,397,1,1party
514446,1,7100,5,Lazníčky,7104,212,1,1party
514497,1,7100,7,Lhota,7104,320,1,1party
514527,1,7100,5,Lhotka,7104,65,1,1party
514802,1,7100,7,Líšná,7104,245,1,1party
515787,1,7100,7,Nelešovice,7104,195,1,1party
516350,1,7100,7,Oprostovice,7104,88,1,1party
516694,1,7100,15,Pavlovice u Přerova,7104,712,1,1party
516911,1,7100,7,Polom,7104,261,1,1party
517101,5,7100,9,Potštát,7104,1183,1,1party
517208,1,7100,5,Provodovice,7104,142,1,1party
517569,1,7100,7,Radvanice,7104,271,1,1party
517836,1,7100,5,Sobíšky,7104,144,1,1party
517844,1,7100,15,Soběchleby,7104,589,1,1party
518026,1,7100,7,Sušice,7104,325,1,1party
520306,1,7100,7,Ústí,7104,561,1,1party
522775,1,7100,7,Zámrsky,7104,254,1,1party
525227,1,7100,9,Bílá Voda,7101,314,1,1party
525979,1,7100,7,Bohutín,7105,779,1,1party
529541,1,2100,7,Český Šternberk,2101,155,1,1party
529567,1,2100,7,Čtyřkoly,2101,688,1,1party
529583,1,2100,7,Tupadly,2106,138,1,1party
529591,1,2100,7,Sedlec,2107,247,1,1party
529605,1,2100,9,Rokytá,2107,282,1,1party
529613,1,2100,7,Josefův Důl,2107,460,1,1party
529656,1,2100,7,Pětihosty,2109,227,1,1party
529664,1,2100,7,Těchařovice,2111,62,1,1party
529699,1,2100,7,Velká Chmelištná,2112,65,1,1party
