index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,color,inverse
5925,3101,544256,České Budějovice,1,1,1420,1420,Vize Národních socialistů,Vize Národních socialistů,ČSNS 2005+NOB,2,"175,1189",505.0,0.18,0.0,10,175,ČSNS 2005+NOB,,,,,
5926,3101,544256,České Budějovice,1,2,1176,1176,REALISTÉ,REALISTÉ,REAL,1,1176,20374.0,1.69,0.0,45,1176,REAL,,,,,
5927,3101,544256,České Budějovice,1,3,1,1,Křesťanská a demokratická unie - Československá strana lidová,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL,1,001,36122.0,2.99,0.0,45,1,KDU-ČSL,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1.0,#ffd62e,1.0
5928,3101,544256,České Budějovice,1,4,7,7,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,58270.0,4.83,0.0,45,7,ČSSD,ČSSD,Česká strana sociálně demokratická,7.0,#f9932e,1.0
5929,3101,544256,České Budějovice,1,5,1422,1422,OBČANÉ PRO BUDĚJOVICE,OBČANÉ PRO BUDĚJOVICE,HOPB+JIH 12+NK,3,"080,753,766",198183.0,16.44,9.0,45,80,HOPB+JIH 12+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
5930,3101,544256,České Budějovice,1,6,2,2,Česká strana národně sociální,Česká strana národně sociální,ČSNS,1,002,4315.0,0.39,0.0,41,2,ČSNS,,,,,
5931,3101,544256,České Budějovice,1,7,47,47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,84133.0,6.98,4.0,45,47,KSČM,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b,1.0
5932,3101,544256,České Budějovice,1,8,1114,1114,Svoboda a přímá demokracie - Tomio Okamura (SPD),Svob.a př.dem.-T.Okamura (SPD),SPD,1,1114,57382.0,4.76,0.0,45,1114,SPD,SPD,Svoboda a přímá demokracie - Tomio Okamura (SPD),1114.0,#c05f2f,1.0
5933,3101,544256,České Budějovice,1,9,785,785,PRO Zdraví a Sport,PRO Zdraví a Sport,PRO Zdraví,1,785,28138.0,2.33,0.0,45,785,PRO Zdraví,,,,,
5934,3101,544256,České Budějovice,1,10,389,389,Sdružení Občanské demokratické strany a nezávislých kandidátů,Sdružení ODS a nez. kandidátů,,2,"053,080",171074.0,14.19,8.0,45,53,,ODS,Občanská demokratická strana,53.0,#4175e0,1.0
5935,3101,544256,České Budějovice,1,11,480,480,Společně pro Budějovice - Lidovci a TOP 09,Spol.pro Bud.-Lidovci a TOP 09,,2,"080,721",66252.0,5.49,3.0,45,80,,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
5936,3101,544256,České Budějovice,1,12,768,768,ANO 2011,ANO 2011,ANO,1,768,255585.0,21.2,12.0,45,768,ANO,ANO,ANO 2011,768.0,#33cccc,0.0
5937,3101,544256,České Budějovice,1,13,1421,1421,STAROSTOVÉ A NEZÁVISLÍ a Čisté Budějovice,STAN a Čisté Budějovice,STAN+ČiB,2,"166,1212",77947.0,6.46,3.0,45,166,STAN+ČiB,STAN,STAROSTOVÉ A NEZÁVISLÍ,166.0,#38c2f9,1.0
5938,3101,544256,České Budějovice,1,14,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,146875.0,12.18,6.0,45,720,Piráti,Piráti,Česká pirátská strana,720.0,#222222,1.0
