index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,color,inverse
12914,5103,563889,Liberec,1,1,119,119,Unie pro sport a zdraví,Unie pro sport a zdraví,USZ,1,119,50604.0,4.25,0.0,39,119,USZ,,,,,
12915,5103,563889,Liberec,1,2,1114,1114,Svoboda a přímá demokracie - Tomio Okamura (SPD),Svob.a př.dem.-T.Okamura (SPD),SPD,1,1114,54539.0,4.58,0.0,39,1114,SPD,SPD,Svoboda a přímá demokracie - Tomio Okamura (SPD),1114.0,#c05f2f,1.0
12916,5103,563889,Liberec,1,3,703,703,Starostové pro Liberecký kraj,Starostové pro Liberecký kraj,SLK,1,703,381613.0,32.1,16.0,39,703,SLK,,,,,
12917,5103,563889,Liberec,1,4,53,53,Občanská demokratická strana,Občanská demokratická strana,ODS,1,053,99621.0,8.38,4.0,39,53,ODS,ODS,Občanská demokratická strana,53.0,#4175e0,1.0
12918,5103,563889,Liberec,1,5,768,768,ANO 2011,ANO 2011,ANO,1,768,253959.0,21.36,11.0,39,768,ANO,ANO,ANO 2011,768.0,#33cccc,0.0
12919,5103,563889,Liberec,1,6,1363,1363,Liberec otevřený lidem - LOL!,Liberec otevřený lidem - LOL!,TJ.+NK,2,"080,1185",62686.0,5.27,2.0,39,80,TJ.+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
12920,5103,563889,Liberec,1,7,1362,1362,PRO 2016 s podporou Svobodných,PRO 2016 s podporou Svobodných,Svob+PRO2016+NK,3,"080,714,1134",42636.0,3.68,0.0,39,80,Svob+PRO2016+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
12921,5103,563889,Liberec,1,8,530,530,Liberec Plus+,Liberec Plus+,,2,"080,793",18622.0,1.56,0.0,39,80,,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
12922,5103,563889,Liberec,1,9,47,47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,35979.0,3.02,0.0,39,47,KSČM,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b,1.0
12923,5103,563889,Liberec,1,10,521,521,Změna pro Liberec,Změna pro Liberec,Zelení+Změna+NK,3,"005,080,771",157737.0,13.26,6.0,39,5,Zelení+Změna+NK,SZ,Strana zelených,5.0,#36da83,1.0
12924,5103,563889,Liberec,1,11,716,716,Strana soukromníků České republiky,Strana soukromníků ČR,Soukromníci,1,716,5491.0,0.51,0.0,35,716,Soukromníci,,,,,
12925,5103,563889,Liberec,1,12,7,7,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,25192.0,2.11,0.0,39,7,ČSSD,ČSSD,Česká strana sociálně demokratická,7.0,#f9932e,1.0
