id,OKRSEK,KODZASTUP,NAZEVZAST,group,HLASY
500224-10001,10001,500224,Praha 10,4,8295
500224-10002,10002,500224,Praha 10,4,7114
500224-10003,10003,500224,Praha 10,0,11305
500224-10004,10004,500224,Praha 10,4,14287
500224-10005,10005,500224,Praha 10,2,12552
500224-10006,10006,500224,Praha 10,1,11503
500224-10007,10007,500224,Praha 10,2,11853
500224-10008,10008,500224,Praha 10,1,13925
500224-10009,10009,500224,Praha 10,0,18810
500224-10010,10010,500224,Praha 10,2,10974
500224-10011,10011,500224,Praha 10,2,10680
500224-10012,10012,500224,Praha 10,0,19958
500224-10013,10013,500224,Praha 10,2,13706
500224-10014,10014,500224,Praha 10,2,6048
500224-10015,10015,500224,Praha 10,3,28204
500224-10016,10016,500224,Praha 10,0,18565
500224-10017,10017,500224,Praha 10,0,23922
500224-10018,10018,500224,Praha 10,1,10007
500224-10019,10019,500224,Praha 10,2,14437
500224-10020,10020,500224,Praha 10,1,10031
500224-10021,10021,500224,Praha 10,1,10150
500224-10022,10022,500224,Praha 10,4,10669
500224-10023,10023,500224,Praha 10,0,13225
500224-10024,10024,500224,Praha 10,3,16261
500224-10025,10025,500224,Praha 10,3,15204
500224-10026,10026,500224,Praha 10,3,11689
500224-10027,10027,500224,Praha 10,4,9926
500224-10028,10028,500224,Praha 10,3,11275
500224-10029,10029,500224,Praha 10,0,11266
500224-10030,10030,500224,Praha 10,3,18665
500224-10031,10031,500224,Praha 10,3,18703
500224-10032,10032,500224,Praha 10,1,13335
500224-10033,10033,500224,Praha 10,0,15810
500224-10034,10034,500224,Praha 10,0,15413
500224-10035,10035,500224,Praha 10,0,18356
500224-10036,10036,500224,Praha 10,1,13249
500224-10037,10037,500224,Praha 10,0,11138
500224-10038,10038,500224,Praha 10,2,12388
500224-10039,10039,500224,Praha 10,3,18669
500224-10040,10040,500224,Praha 10,4,15384
500224-10041,10041,500224,Praha 10,1,13892
500224-10042,10042,500224,Praha 10,0,14100
500224-10043,10043,500224,Praha 10,0,17492
500224-10044,10044,500224,Praha 10,0,18552
500224-10045,10045,500224,Praha 10,2,14329
500224-10046,10046,500224,Praha 10,0,10787
500224-10047,10047,500224,Praha 10,1,13734
500224-10048,10048,500224,Praha 10,0,17720
500224-10049,10049,500224,Praha 10,2,13700
500224-10050,10050,500224,Praha 10,0,12320
500224-10051,10051,500224,Praha 10,2,13882
500224-10052,10052,500224,Praha 10,3,19193
500224-10053,10053,500224,Praha 10,0,17296
500224-10054,10054,500224,Praha 10,1,14899
500224-10055,10055,500224,Praha 10,3,11333
500224-10056,10056,500224,Praha 10,0,10747
500224-10057,10057,500224,Praha 10,4,16853
500224-10058,10058,500224,Praha 10,2,12829
500224-10059,10059,500224,Praha 10,3,19764
500224-10060,10060,500224,Praha 10,1,9735
500224-10061,10061,500224,Praha 10,3,10789
500224-10062,10062,500224,Praha 10,3,10756
500224-10063,10063,500224,Praha 10,3,21441
500224-10064,10064,500224,Praha 10,2,13431
500224-10065,10065,500224,Praha 10,2,21808
500224-10066,10066,500224,Praha 10,0,12270
500224-10067,10067,500224,Praha 10,2,17317
500224-10068,10068,500224,Praha 10,0,22633
500224-10069,10069,500224,Praha 10,0,13105
500224-10070,10070,500224,Praha 10,3,16041
500224-10071,10071,500224,Praha 10,0,12138
500224-10072,10072,500224,Praha 10,0,10589
500224-10073,10073,500224,Praha 10,3,13649
500224-10074,10074,500224,Praha 10,1,9941
500224-10075,10075,500224,Praha 10,1,9972
500224-10076,10076,500224,Praha 10,0,10280
500224-10077,10077,500224,Praha 10,1,15556
500224-10078,10078,500224,Praha 10,4,11888
500224-10079,10079,500224,Praha 10,3,9137
500224-10080,10080,500224,Praha 10,4,8539
500224-10081,10081,500224,Praha 10,4,10362
500224-10082,10082,500224,Praha 10,3,10105
500224-10083,10083,500224,Praha 10,0,9748
500224-10084,10084,500224,Praha 10,1,9922
500224-10085,10085,500224,Praha 10,4,9007
500224-10086,10086,500224,Praha 10,4,10119
500224-10087,10087,500224,Praha 10,3,8341
500224-10088,10088,500224,Praha 10,0,8288
500224-10089,10089,500224,Praha 10,3,11489
500224-10090,10090,500224,Praha 10,0,11219
500224-10091,10091,500224,Praha 10,0,13501
500224-10092,10092,500224,Praha 10,4,9423
500224-10093,10093,500224,Praha 10,4,9687
500224-10094,10094,500224,Praha 10,2,12788
500224-10095,10095,500224,Praha 10,1,10490
500224-10096,10096,500224,Praha 10,0,12335
500224-10097,10097,500224,Praha 10,0,12982
500224-10098,10098,500224,Praha 10,0,13450
500224-10099,10099,500224,Praha 10,0,11868
500224-10100,10100,500224,Praha 10,3,12665
500224-10101,10101,500224,Praha 10,0,13589
500224-10102,10102,500224,Praha 10,0,10358
500224-10103,10103,500224,Praha 10,0,11602
500224-10104,10104,500224,Praha 10,2,12307
500224-10105,10105,500224,Praha 10,2,11667
500224-10106,10106,500224,Praha 10,3,12459
500224-10107,10107,500224,Praha 10,3,15141
500224-10108,10108,500224,Praha 10,1,14579
500224-10109,10109,500224,Praha 10,1,5661
