id,OKRSEK,KODZASTUP,NAZEVZAST,group,HLASY
500208-8001,8001,500208,Praha 8,4,5766
500208-8002,8002,500208,Praha 8,4,6772
500208-8003,8003,500208,Praha 8,4,7310
500208-8004,8004,500208,Praha 8,4,8569
500208-8005,8005,500208,Praha 8,4,8231
500208-8006,8006,500208,Praha 8,4,5279
500208-8007,8007,500208,Praha 8,4,9212
500208-8008,8008,500208,Praha 8,4,8207
500208-8009,8009,500208,Praha 8,3,5662
500208-8010,8010,500208,Praha 8,4,7519
500208-8011,8011,500208,Praha 8,3,10388
500208-8012,8012,500208,Praha 8,4,7268
500208-8013,8013,500208,Praha 8,4,10189
500208-8014,8014,500208,Praha 8,4,16123
500208-8015,8015,500208,Praha 8,4,12817
500208-8016,8016,500208,Praha 8,4,4037
500208-8017,8017,500208,Praha 8,4,15611
500208-8018,8018,500208,Praha 8,4,5113
500208-8019,8019,500208,Praha 8,0,6614
500208-8020,8020,500208,Praha 8,4,11676
500208-8021,8021,500208,Praha 8,0,7180
500208-8022,8022,500208,Praha 8,3,16403
500208-8023,8023,500208,Praha 8,3,12652
500208-8024,8024,500208,Praha 8,3,11863
500208-8025,8025,500208,Praha 8,3,13523
500208-8026,8026,500208,Praha 8,4,5546
500208-8027,8027,500208,Praha 8,0,11377
500208-8028,8028,500208,Praha 8,3,5825
500208-8029,8029,500208,Praha 8,4,4025
500208-8030,8030,500208,Praha 8,1,3389
500208-8031,8031,500208,Praha 8,4,10247
500208-8032,8032,500208,Praha 8,0,14742
500208-8033,8033,500208,Praha 8,0,5956
500208-8034,8034,500208,Praha 8,4,12163
500208-8035,8035,500208,Praha 8,3,10178
500208-8036,8036,500208,Praha 8,3,10871
500208-8037,8037,500208,Praha 8,0,8832
500208-8038,8038,500208,Praha 8,4,21692
500208-8039,8039,500208,Praha 8,0,12299
500208-8040,8040,500208,Praha 8,4,14480
500208-8041,8041,500208,Praha 8,0,30148
500208-8042,8042,500208,Praha 8,4,21754
500208-8043,8043,500208,Praha 8,0,12531
500208-8044,8044,500208,Praha 8,1,8689
500208-8045,8045,500208,Praha 8,0,17926
500208-8046,8046,500208,Praha 8,1,20513
500208-8047,8047,500208,Praha 8,0,13251
500208-8048,8048,500208,Praha 8,1,8473
500208-8049,8049,500208,Praha 8,1,11651
500208-8050,8050,500208,Praha 8,0,11618
500208-8051,8051,500208,Praha 8,1,11919
500208-8052,8052,500208,Praha 8,0,8700
500208-8053,8053,500208,Praha 8,1,14500
500208-8054,8054,500208,Praha 8,0,17495
500208-8055,8055,500208,Praha 8,0,21659
500208-8056,8056,500208,Praha 8,0,16157
500208-8057,8057,500208,Praha 8,1,1355
500208-8058,8058,500208,Praha 8,0,15549
500208-8059,8059,500208,Praha 8,0,17105
500208-8060,8060,500208,Praha 8,0,12575
500208-8061,8061,500208,Praha 8,2,9886
500208-8062,8062,500208,Praha 8,1,15137
500208-8063,8063,500208,Praha 8,1,13020
500208-8064,8064,500208,Praha 8,0,24244
500208-8065,8065,500208,Praha 8,4,15255
500208-8066,8066,500208,Praha 8,0,12331
500208-8067,8067,500208,Praha 8,4,9790
500208-8068,8068,500208,Praha 8,4,10667
500208-8069,8069,500208,Praha 8,4,17820
500208-8070,8070,500208,Praha 8,0,16528
500208-8071,8071,500208,Praha 8,0,13558
500208-8072,8072,500208,Praha 8,4,10627
500208-8073,8073,500208,Praha 8,0,15926
500208-8074,8074,500208,Praha 8,0,15851
500208-8075,8075,500208,Praha 8,0,19474
500208-8076,8076,500208,Praha 8,1,217
500208-8077,8077,500208,Praha 8,0,27663
500208-8078,8078,500208,Praha 8,0,17547
500208-8079,8079,500208,Praha 8,1,7463
500208-8080,8080,500208,Praha 8,2,14128
500208-8081,8081,500208,Praha 8,0,17780
500208-8082,8082,500208,Praha 8,2,14951
500208-8083,8083,500208,Praha 8,2,11038
500208-8084,8084,500208,Praha 8,2,11970
500208-8085,8085,500208,Praha 8,3,15642
500208-8086,8086,500208,Praha 8,2,11953
500208-8087,8087,500208,Praha 8,0,18398
500208-8088,8088,500208,Praha 8,0,30441
500208-8089,8089,500208,Praha 8,2,13157
500208-8090,8090,500208,Praha 8,2,12037
500208-8091,8091,500208,Praha 8,2,23291
500208-8092,8092,500208,Praha 8,0,30191
500208-8093,8093,500208,Praha 8,0,21420
500208-8094,8094,500208,Praha 8,2,20293
500208-8095,8095,500208,Praha 8,2,13544
500208-8096,8096,500208,Praha 8,2,14112
500208-8097,8097,500208,Praha 8,2,12317
500208-8098,8098,500208,Praha 8,2,12507
500208-8099,8099,500208,Praha 8,2,15561
500208-8100,8100,500208,Praha 8,2,8708
500208-8101,8101,500208,Praha 8,2,11241
500208-8102,8102,500208,Praha 8,0,11573
500208-8103,8103,500208,Praha 8,2,10666
500208-8104,8104,500208,Praha 8,0,18350
500208-8105,8105,500208,Praha 8,2,19333
500208-8106,8106,500208,Praha 8,1,15387
500208-8107,8107,500208,Praha 8,0,18785
500208-8108,8108,500208,Praha 8,3,8031
