id,OKRSEK,KODZASTUP,NAZEVZAST,group,HLASY
563889-1001,1001,563889,Liberec,2,15114
563889-1002,1002,563889,Liberec,2,17604
563889-1003,1003,563889,Liberec,2,18414
563889-1004,1004,563889,Liberec,2,20578
563889-1005,1005,563889,Liberec,2,5724
563889-1006,1006,563889,Liberec,2,14782
563889-1007,1007,563889,Liberec,1,11627
563889-1,1,563889,Liberec,4,10255
563889-2,2,563889,Liberec,3,9730
563889-3,3,563889,Liberec,1,7088
563889-4,4,563889,Liberec,0,17563
563889-5,5,563889,Liberec,4,8523
563889-6,6,563889,Liberec,0,12489
563889-7,7,563889,Liberec,0,16089
563889-8,8,563889,Liberec,1,12295
563889-9,9,563889,Liberec,1,14244
563889-10,10,563889,Liberec,1,11571
563889-11,11,563889,Liberec,0,15992
563889-12,12,563889,Liberec,4,11219
563889-13,13,563889,Liberec,1,6367
563889-14,14,563889,Liberec,1,13223
563889-15,15,563889,Liberec,1,23188
563889-16,16,563889,Liberec,2,11623
563889-17,17,563889,Liberec,1,18674
563889-18,18,563889,Liberec,0,20402
563889-19,19,563889,Liberec,1,16004
563889-20,20,563889,Liberec,0,18303
563889-21,21,563889,Liberec,3,14424
563889-22,22,563889,Liberec,3,11025
563889-23,23,563889,Liberec,4,17925
563889-24,24,563889,Liberec,0,12986
563889-25,25,563889,Liberec,3,12989
563889-26,26,563889,Liberec,0,11799
563889-27,27,563889,Liberec,0,22507
563889-28,28,563889,Liberec,3,14018
563889-29,29,563889,Liberec,3,13541
563889-30,30,563889,Liberec,3,15191
563889-31,31,563889,Liberec,3,9957
563889-32,32,563889,Liberec,2,12778
563889-33,33,563889,Liberec,0,13966
563889-34,34,563889,Liberec,2,6542
563889-35,35,563889,Liberec,3,9124
563889-36,36,563889,Liberec,1,9963
563889-37,37,563889,Liberec,0,13152
563889-38,38,563889,Liberec,0,13884
563889-39,39,563889,Liberec,2,13285
563889-40,40,563889,Liberec,3,13408
563889-41,41,563889,Liberec,4,8115
563889-42,42,563889,Liberec,0,26366
563889-43,43,563889,Liberec,2,5597
563889-44,44,563889,Liberec,0,21504
563889-45,45,563889,Liberec,3,13248
563889-46,46,563889,Liberec,4,15549
563889-47,47,563889,Liberec,0,13047
563889-48,48,563889,Liberec,3,9050
563889-49,49,563889,Liberec,4,8978
563889-50,50,563889,Liberec,3,12669
563889-51,51,563889,Liberec,3,14560
563889-52,52,563889,Liberec,3,12253
563889-53,53,563889,Liberec,0,17185
563889-54,54,563889,Liberec,0,12685
563889-55,55,563889,Liberec,3,13995
563889-56,56,563889,Liberec,3,6533
563889-57,57,563889,Liberec,0,11430
563889-58,58,563889,Liberec,0,17319
563889-59,59,563889,Liberec,4,9787
563889-60,60,563889,Liberec,3,12814
563889-61,61,563889,Liberec,0,17495
563889-62,62,563889,Liberec,0,19552
563889-63,63,563889,Liberec,3,14089
563889-64,64,563889,Liberec,1,20377
563889-65,65,563889,Liberec,0,14230
563889-66,66,563889,Liberec,0,17026
563889-67,67,563889,Liberec,1,21849
563889-68,68,563889,Liberec,0,15225
563889-69,69,563889,Liberec,1,23037
563889-70,70,563889,Liberec,0,15776
563889-71,71,563889,Liberec,4,14299
563889-72,72,563889,Liberec,4,14309
563889-73,73,563889,Liberec,0,10871
563889-74,74,563889,Liberec,4,8184
563889-75,75,563889,Liberec,1,4327
563889-76,76,563889,Liberec,4,2158
563889-77,77,563889,Liberec,0,12316
563889-78,78,563889,Liberec,1,13666
563889-79,79,563889,Liberec,0,15087
563889-80,80,563889,Liberec,0,10973
