id,OKRSEK,KODZASTUP,NAZEVZAST,group,HLASY
555134-4001,4001,555134,Pardubice,4,24045
555134-4002,4002,555134,Pardubice,0,11960
555134-4003,4003,555134,Pardubice,1,15255
555134-4004,4004,555134,Pardubice,0,7233
555134-4005,4005,555134,Pardubice,0,17038
555134-6001,6001,555134,Pardubice,3,18797
555134-6002,6002,555134,Pardubice,3,17971
555134-6003,6003,555134,Pardubice,3,20471
555134-6004,6004,555134,Pardubice,3,14254
555134-6005,6005,555134,Pardubice,3,4521
555134-6006,6006,555134,Pardubice,2,2853
555134-7001,7001,555134,Pardubice,2,15217
555134-7002,7002,555134,Pardubice,0,15248
555134-7003,7003,555134,Pardubice,3,23782
555134-7004,7004,555134,Pardubice,2,7318
555134-7005,7005,555134,Pardubice,2,11417
555134-7006,7006,555134,Pardubice,3,4486
555134-2001,2001,555134,Pardubice,4,13170
555134-2002,2002,555134,Pardubice,2,8073
555134-2003,2003,555134,Pardubice,0,9419
555134-2004,2004,555134,Pardubice,2,9107
555134-2005,2005,555134,Pardubice,2,7030
555134-2006,2006,555134,Pardubice,1,10475
555134-2007,2007,555134,Pardubice,1,8442
555134-2008,2008,555134,Pardubice,2,9168
555134-2009,2009,555134,Pardubice,0,9521
555134-2010,2010,555134,Pardubice,3,10306
555134-2011,2011,555134,Pardubice,2,8560
555134-2012,2012,555134,Pardubice,1,9219
555134-2013,2013,555134,Pardubice,4,11216
555134-2014,2014,555134,Pardubice,0,8531
555134-2015,2015,555134,Pardubice,0,10916
555134-2016,2016,555134,Pardubice,2,9733
555134-2017,2017,555134,Pardubice,2,12389
555134-2018,2018,555134,Pardubice,2,10181
555134-2019,2019,555134,Pardubice,2,7846
555134-3001,3001,555134,Pardubice,0,7542
555134-3002,3002,555134,Pardubice,0,9041
555134-3003,3003,555134,Pardubice,0,7661
555134-3004,3004,555134,Pardubice,1,8467
555134-3005,3005,555134,Pardubice,4,15922
555134-3006,3006,555134,Pardubice,0,13881
555134-3007,3007,555134,Pardubice,1,12945
555134-3008,3008,555134,Pardubice,2,11136
555134-3009,3009,555134,Pardubice,0,9456
555134-3010,3010,555134,Pardubice,0,13731
555134-3011,3011,555134,Pardubice,1,13967
555134-3012,3012,555134,Pardubice,4,14473
555134-3013,3013,555134,Pardubice,0,13874
555134-3014,3014,555134,Pardubice,4,16016
555134-3015,3015,555134,Pardubice,4,8449
555134-5001,5001,555134,Pardubice,4,11523
555134-5002,5002,555134,Pardubice,0,9790
555134-5003,5003,555134,Pardubice,4,6650
555134-5004,5004,555134,Pardubice,0,7646
555134-5005,5005,555134,Pardubice,0,10012
555134-5006,5006,555134,Pardubice,1,9661
555134-5007,5007,555134,Pardubice,1,9158
555134-5008,5008,555134,Pardubice,0,10081
555134-5009,5009,555134,Pardubice,0,10114
555134-5010,5010,555134,Pardubice,0,9796
555134-5011,5011,555134,Pardubice,0,13157
555134-5012,5012,555134,Pardubice,4,8629
555134-5013,5013,555134,Pardubice,0,6611
555134-5014,5014,555134,Pardubice,1,5927
555134-5015,5015,555134,Pardubice,0,11143
555134-5016,5016,555134,Pardubice,4,9487
555134-5017,5017,555134,Pardubice,4,13904
555134-5018,5018,555134,Pardubice,2,7474
555134-1001,1001,555134,Pardubice,4,10688
555134-1002,1002,555134,Pardubice,4,7580
555134-1003,1003,555134,Pardubice,4,9966
555134-1004,1004,555134,Pardubice,2,9131
555134-1005,1005,555134,Pardubice,2,7299
555134-1006,1006,555134,Pardubice,4,10131
555134-1007,1007,555134,Pardubice,4,7516
555134-1008,1008,555134,Pardubice,4,6963
555134-1009,1009,555134,Pardubice,0,8658
555134-1010,1010,555134,Pardubice,0,8844
555134-1011,1011,555134,Pardubice,0,11242
555134-1012,1012,555134,Pardubice,0,11655
555134-1013,1013,555134,Pardubice,0,10415
555134-1014,1014,555134,Pardubice,4,5444
555134-1015,1015,555134,Pardubice,1,10499
555134-1016,1016,555134,Pardubice,4,7651
555134-1017,1017,555134,Pardubice,4,6173
555134-1018,1018,555134,Pardubice,4,11050
555134-1019,1019,555134,Pardubice,4,12453
555134-1020,1020,555134,Pardubice,4,8941
555134-1021,1021,555134,Pardubice,0,11713
555134-1022,1022,555134,Pardubice,0,11305
555134-8001,8001,555134,Pardubice,3,3338
