OKRSEK,STRANA,HLASY,batch
13,1,25,7
13,2,29,7
13,3,27,7
13,4,4,7
13,5,53,7
13,6,30,7
13,7,53,7
13,8,0,7
13,9,29,7
13,10,5,7
13,11,198,7
13,12,2,7
13,13,0,7
35,1,71,14
35,2,29,14
35,3,161,14
35,4,127,14
35,5,44,14
35,6,88,14
35,7,94,14
35,8,0,14
35,9,36,14
35,10,55,14
35,11,326,14
35,12,9,14
35,13,0,14
38,1,35,22
38,2,282,22
38,3,265,22
38,4,56,22
38,5,64,22
38,6,250,22
38,7,296,22
38,8,11,22
38,9,129,22
38,10,170,22
38,11,963,22
38,12,34,22
38,13,0,22
22,1,389,30
22,2,226,30
22,3,559,30
22,4,352,30
22,5,108,30
22,6,474,30
22,7,178,30
22,8,11,30
22,9,219,30
22,10,249,30
22,11,1732,30
22,12,69,30
22,13,3,30
31,1,131,30
31,2,151,30
31,3,233,30
31,4,297,30
31,5,65,30
31,6,823,30
31,7,288,30
31,8,13,30
31,9,404,30
31,10,360,30
31,11,1946,30
31,12,72,30
31,13,0,30
28,1,550,32
28,2,401,32
28,3,516,32
28,4,597,32
28,5,183,32
28,6,1420,32
28,7,352,32
28,8,15,32
28,9,527,32
28,10,269,32
28,11,3957,32
28,12,101,32
28,13,2,32
33,1,258,32
33,2,224,32
33,3,263,32
33,4,25,32
33,5,165,32
33,6,696,32
33,7,284,32
33,8,4,32
33,9,171,32
33,10,110,32
33,11,1214,32
33,12,17,32
33,13,0,32
16,1,425,33
16,2,338,33
16,3,564,33
16,4,304,33
16,5,212,33
16,6,593,33
16,7,200,33
16,8,1,33
16,9,235,33
16,10,471,33
16,11,2662,33
16,12,338,33
16,13,2,33
15,1,420,33
15,2,534,33
15,3,294,33
15,4,150,33
15,5,80,33
15,6,470,33
15,7,283,33
15,8,0,33
15,9,122,33
15,10,82,33
15,11,2390,33
15,12,180,33
15,13,0,33
23,1,249,34
23,2,596,34
23,3,403,34
23,4,278,34
23,5,201,34
23,6,641,34
23,7,257,34
23,8,13,34
23,9,446,34
23,10,325,34
23,11,2685,34
23,12,50,34
23,13,2,34
24,1,316,36
24,2,413,36
24,3,353,36
24,4,212,36
24,5,97,36
24,6,457,36
24,7,285,36
24,8,32,36
24,9,338,36
24,10,242,36
24,11,2470,36
24,12,183,36
24,13,0,36
29,1,431,36
29,2,788,36
29,3,611,36
29,4,237,36
29,5,191,36
29,6,993,36
29,7,428,36
29,8,4,36
29,9,773,36
29,10,431,36
29,11,3609,36
29,12,231,36
29,13,2,36
3,1,258,37
3,2,558,37
3,3,238,37
3,4,163,37
3,5,531,37
3,6,1440,37
3,7,308,37
3,8,2,37
3,9,559,37
3,10,459,37
3,11,2910,37
3,12,134,37
3,13,3,37
21,1,253,38
21,2,406,38
21,3,477,38
21,4,204,38
21,5,122,38
21,6,664,38
21,7,338,38
21,8,3,38
21,9,289,38
21,10,259,38
21,11,2169,38
21,12,96,38
21,13,0,38
27,1,358,38
27,2,253,38
27,3,451,38
27,4,240,38
27,5,48,38
27,6,720,38
27,7,368,38
27,8,29,38
27,9,284,38
27,10,300,38
27,11,2236,38
27,12,139,38
27,13,4,38
36,1,29,39
36,2,3,39
36,3,129,39
36,4,10,39
36,5,82,39
36,6,107,39
36,7,96,39
36,8,2,39
36,9,10,39
36,10,59,39
36,11,509,39
36,12,14,39
36,13,2,39
34,1,257,39
34,2,212,39
34,3,339,39
34,4,315,39
34,5,133,39
34,6,682,39
34,7,515,39
34,8,0,39
34,9,566,39
34,10,353,39
34,11,2199,39
34,12,139,39
34,13,1,39
37,1,209,39
37,2,201,39
37,3,180,39
37,4,174,39
37,5,159,39
37,6,785,39
37,7,191,39
37,8,0,39
37,9,320,39
37,10,145,39
37,11,1356,39
37,12,93,39
37,13,0,39
32,1,223,39
32,2,483,39
32,3,694,39
32,4,467,39
32,5,221,39
32,6,689,39
32,7,386,39
32,8,15,39
32,9,464,39
32,10,271,39
32,11,3012,39
32,12,80,39
32,13,2,39
26,1,256,39
26,2,282,39
26,3,262,39
26,4,98,39
26,5,142,39
26,6,349,39
26,7,152,39
26,8,11,39
26,9,394,39
26,10,315,39
