OKRSEK,ZAPSANI_VOLICI,VYDANE_OBALKY,ODEVZDANE_OBALKY,PLATNE_HLASY,batch
570133-1,378,294,294,293,3
546003-3028,332,258,258,257,3
562157-1,96,72,72,71,3
553069-6,463,356,356,355,3
592889-15,609,402,402,398,3
589055-1,126,91,91,91,3
554464-4,105,73,73,73,3
588237-1,187,157,157,157,3
591181-10,87,72,72,72,3
587877-1,48,37,37,37,3
598933-13,475,330,330,328,3
544281-8,130,96,96,96,3
581283-19,1044,440,440,439,3
571997-1,56,45,45,44,3
565814-4,182,133,133,131,3
549380-3,115,95,95,95,3
545058-26,592,431,431,429,3
575925-1,383,292,292,290,3
531421-1,63,53,53,53,3
546208-4024,439,324,324,323,3
576361-4,583,438,438,435,3
577774-1,308,248,248,247,3
561363-1,83,62,62,62,3
573744-1,138,108,108,108,3
571164-11,617,449,449,448,3
575542-1,131,113,113,110,3
532932-1,26,21,21,20,3
586846-34,596,430,430,429,3
530603-1,69,50,50,50,3
564567-30,74,42,42,42,3
588393-10,242,153,153,152,3
544591-4,72,52,52,52,3
561801-1,103,80,80,80,3
562599-1,180,127,127,126,3
569267-1,176,147,147,144,3
586919-1,199,156,156,155,3
560286-3,920,427,427,426,3
578029-1,247,198,198,198,3
554413-1,189,114,114,114,3
576085-1,313,251,251,249,3
548197-1,65,46,46,46,3
589250-2,609,409,409,406,3
502316-4007,546,311,310,307,3
578541-1,192,149,149,149,3
567027-19,197,155,155,155,3
581917-11,162,126,126,126,3
568414-31,44,35,35,35,3
584207-2,825,572,571,568,3
531774-1,111,78,78,77,3
564338-1,60,46,46,46,3
561789-1,181,147,147,147,3
550311-1,75,56,56,56,3
545988-2019,442,329,329,329,3
567256-1,403,230,230,228,3
551155-2,37,32,32,32,3
536521-3,124,70,70,70,3
547263-5,87,65,65,65,3
591955-1,103,89,89,88,3
545911-8028,1773,450,448,444,3
999997-100,13,10,10,10,3
599069-10,768,512,512,510,3
577324-1,330,256,256,256,3
573591-1,60,49,49,49,3
549835-1,43,41,41,40,3
554855-1,297,195,195,185,3
553786-9,64,55,55,55,3
576069-13,219,182,182,182,3
571776-5,117,93,93,92,3
544833-1,75,51,51,51,3
541290-3,48,30,30,30,3
567892-1002,1450,349,349,346,3
569721-1,195,166,166,165,3
555088-6,588,364,364,363,3
599808-10,210,167,167,165,3
557862-6,57,47,47,47,3
575399-1,28,18,18,18,3
596949-1,262,197,197,197,3
552046-41,261,165,165,165,3
523704-30,138,86,86,86,3
599239-1,146,121,121,121,3
