OKRSEK,STRANA,HLASY,batch
577731-18,4,47,1
577731-18,7,41,1
554022-1,4,50,1
554022-1,7,42,1
588083-1,4,31,1
588083-1,7,23,1
564788-1,4,32,1
564788-1,7,21,1
595411-11,4,45,1
595411-11,7,18,1
559946-1,4,20,1
559946-1,7,25,1
549584-2,4,45,1
549584-2,7,23,1
532878-1,4,16,1
532878-1,7,13,1
999997-78,4,12,1
999997-78,7,5,1
572233-1,4,31,1
572233-1,7,6,1
572241-12,4,14,1
572241-12,7,11,1
586846-0,4,27,1
586846-0,7,7,1
597678-6,4,6,1
597678-6,7,13,1
551953-2,4,48,1
551953-2,7,34,1
587559-1,4,56,1
587559-1,7,24,1
584002-8,4,32,1
584002-8,7,40,1
570214-1,4,121,1
570214-1,7,86,1
548901-1,4,50,1
548901-1,7,28,1
595411-8,4,26,1
595411-8,7,34,1
573035-1,4,12,1
573035-1,7,53,1
546046-19003,4,7,1
546046-19003,7,5,1
560511-1,4,36,1
560511-1,7,24,1
550850-9,4,17,1
550850-9,7,3,1
585891-6,4,39,1
585891-6,7,24,1
571741-1,4,43,1
571741-1,7,42,1
549614-1,4,29,1
549614-1,7,28,1
598704-1,4,42,1
598704-1,7,48,1
566101-1,4,20,1
566101-1,7,39,1
570869-3,4,32,1
570869-3,7,88,1
530841-10,4,81,1
530841-10,7,42,1
589624-6,4,33,1
589624-6,7,34,1
581232-1,4,73,1
581232-1,7,53,1
566331-1,4,11,1
566331-1,7,11,1
581283-18,4,145,1
581283-18,7,111,1
567892-1008,4,182,1
567892-1008,7,88,1
530671-1,4,27,1
530671-1,7,22,1
558257-3,4,31,1
558257-3,7,19,1
559806-3,4,14,1
559806-3,7,18,1
588202-1,4,81,1
588202-1,7,67,1
575500-8,4,15,1
575500-8,7,22,1
561118-1,4,22,1
561118-1,7,30,1
599263-1,4,65,1
599263-1,7,28,1
568619-1,4,62,1
568619-1,7,47,1
545384-1,4,7,1
545384-1,7,15,1
590789-5,4,34,1
590789-5,7,14,1
595411-13,4,38,1
595411-13,7,35,1
578592-1,4,39,1
578592-1,7,18,1
529966-1,4,59,1
529966-1,7,44,1
576271-8,4,17,1
576271-8,7,29,1
588512-5,4,49,1
588512-5,7,80,1
568104-1,4,31,1
568104-1,7,30,1
554294-5,4,45,1
554294-5,7,34,1
553425-12,4,68,1
553425-12,7,67,1
560910-2,4,17,1
560910-2,7,62,1
561487-1,4,31,1
561487-1,7,11,1
578347-16,4,45,1
578347-16,7,29,1
577308-6,4,28,1
577308-6,7,21,1
587761-1,4,85,1
587761-1,7,60,1
512231-3,4,22,1
512231-3,7,32,1
