mean,hi,lo,number,id,given_name,family_name,abbreviated_name,name,needle,counted,datetime,datatime-data,batch
58.29,58.32,58.26,4,petr-pavel,Petr,Pavel,P. Pavel,Petr Pavel,-1.0,99.55771938582993,2023-01-28T16:26:43,2023-01-28T16:25:00,26
41.71,41.74,41.68,7,andrej-babis,Andrej,Babiš,A. Babiš,Andrej Babiš,1.0,99.55771938582993,2023-01-28T16:26:43,2023-01-28T16:25:00,26
