OKRSEK,ZAPSANI_VOLICI,VYDANE_OBALKY,ODEVZDANE_OBALKY,PLATNE_HLASY,batch
577731-18,554,56,56,56,1
566101-1,68,59,59,59,1
549584-2,79,63,63,63,2
560511-1,76,59,59,57,2
502081-2010,214,61,61,61,2
584002-8,93,73,73,69,2
563960-3,80,59,59,59,2
556718-4,107,72,72,72,2
595411-11,67,57,57,57,2
559946-1,60,44,44,43,2
571741-1,112,79,79,79,2
573591-1,59,48,48,48,2
545171-8,53,41,41,41,2
586846-0,17,17,16,14,2
564788-1,66,51,51,48,2
574341-5,111,83,83,83,2
534391-1,56,35,35,35,2
545384-1,29,24,24,24,2
548782-1,79,57,57,56,2
538094-14,65,42,42,42,2
999997-99,19,12,12,12,2
595411-8,69,58,57,57,2
572241-11,49,38,38,38,2
531391-1,72,60,60,58,2
588083-1,69,55,55,55,2
558389-4,82,48,47,47,2
554022-1,119,90,90,87,2
573060-5,112,74,74,74,2
553573-1,157,68,68,67,2
599034-1,84,61,61,61,2
532878-1,40,29,29,29,2
562904-1,109,82,82,82,2
588202-1,196,151,151,146,2
999997-66,39,30,30,30,2
580708-2,68,56,56,56,2
582662-1,197,143,143,142,2
587559-1,105,78,78,77,2
500623-4,67,47,47,47,2
532932-1,26,21,21,20,2
548901-1,103,81,81,81,2
557951-2,35,21,21,21,2
578312-1,100,72,72,72,2
530361-1,43,39,39,39,2
578592-1,82,61,61,60,2
561487-1,56,43,43,42,2
562149-1,30,23,23,23,2
534200-4,54,47,47,47,2
554294-4,84,74,74,74,2
999997-84,19,10,10,10,2
599263-1,166,92,92,92,2
530671-1,55,48,48,48,2
598917-34,429,297,297,297,2
595411-13,90,71,71,71,2
547280-4,52,37,37,37,2
568104-1,83,61,61,60,2
551465-1,47,34,34,30,2
567892-1015,480,58,58,58,2
597678-6,30,20,20,20,2
563951-1,57,42,42,41,2
559806-3,35,31,31,30,2
541281-13,65,48,48,48,2
999997-78,14,12,12,12,2
537292-3,48,36,36,36,2
579343-1,43,32,32,32,2
562335-20,250,77,77,77,2
589624-6,98,77,77,76,2
556254-7,81,57,57,57,2
574007-1,121,96,96,95,2
544833-1,75,47,47,47,2
573060-3,52,38,38,38,2
558630-3,71,55,54,54,2
582263-1,182,138,138,138,2
569551-1,290,164,164,161,2
545384-6,30,17,17,17,2
545881-25,48,32,32,32,2
544256-0,17,17,17,17,2
564095-9,177,109,109,109,2
566071-1,85,70,70,70,2
529869-1,54,43,43,43,2
585891-6,73,67,67,66,2
570451-3,63,45,45,45,2
599069-2,224,121,121,121,2
545988-2016,611,409,404,404,3
553671-7,115,77,77,77,3
566209-1,85,51,51,51,3
537951-1,82,71,71,68,3
533513-2,91,73,73,72,3
544515-2,100,63,63,62,3
567892-1001,597,252,252,252,3
587940-1,76,51,51,51,3
549118-1,39,37,37,37,3
544957-1,50,44,44,44,3
547492-17,143,98,98,98,3
541508-2,131,104,104,103,3
571458-2,58,36,36,36,3
569038-2,103,85,85,85,3
588512-5,177,133,133,133,3
566691-1,59,46,46,46,3
547794-1,66,48,48,48,3
598976-1,45,41,41,41,3
573302-1,72,49,49,49,3
564605-1,122,84,84,83,3
578771-1,96,68,68,67,3
587630-1,57,45,45,44,3
573671-1,118,74,74,72,3
532606-1,59,48,48,48,3
561517-1,122,88,88,88,3
556319-3,63,46,46,46,3
505188-13,80,57,57,57,3
533793-1,87,71,71,71,3
574627-1,107,88,88,88,3
551121-1,123,80,80,80,3
541435-1,99,77,77,77,3
502316-4003,592,328,328,321,3
598917-54,498,300,300,295,3
570869-3,155,116,116,115,3
560111-1,168,126,126,126,3
558257-3,72,50,50,49,3
561622-1,148,104,104,104,3
552224-1,100,76,76,76,3
547565-1,143,102,102,101,3
536903-1,32,26,26,26,3
591289-1,79,60,60,59,3
586862-4,79,63,63,63,3
566594-1,84,60,60,60,3
537144-1,76,56,56,54,3
563871-6,102,73,73,73,3
548758-1,47,41,41,41,3
546135-11005,205,136,136,136,3
576824-3,173,132,132,131,3
548626-1,54,37,37,37,3
553450-5,106,71,71,71,3
551546-1,61,46,46,46,3
578827-1,123,87,87,87,3
530841-11,170,136,135,135,3
568465-1,104,85,85,85,3
537802-2,91,68,68,67,3
540471-9,186,141,141,140,3
562416-1,37,36,36,36,3
580783-1,57,39,39,39,3
577308-6,67,48,48,47,3
574341-4,258,200,200,198,3
586854-1,135,107,107,106,3
540757-4,52,42,42,42,3
557846-3,51,40,40,39,3
536237-1,78,57,57,57,3
544591-2,94,69,69,69,3
598500-1,91,63,63,63,3
593231-1,115,79,79,79,3
533823-1,199,133,133,133,3
565971-21,85,62,62,62,3
580830-1,53,40,40,40,3
579483-1,142,117,117,117,3
557951-4,66,54,54,54,3
557838-4,66,48,48,47,3
551333-3,67,57,57,57,3
548464-4,37,26,26,25,3
566276-1,67,56,56,56,3
561754-1,51,39,39,39,3
541869-1,61,48,48,48,3
548791-1,69,55,55,55,3
599484-1,94,79,79,77,3
581283-18,389,245,244,244,3
536792-1,67,47,47,47,3
590002-1,271,183,183,183,3
537136-1,40,32,32,32,3
590266-33,54,39,39,39,3
558052-2,54,37,37,37,3
545988-2022,495,356,356,354,3
553654-6,102,84,84,84,3
591181-8,123,85,85,85,3
587281-1,96,68,68,66,3
536156-1,82,62,62,62,3
551872-1,157,78,78,78,3
573035-1,80,58,58,57,3
566497-1,50,33,33,33,3
541826-1,87,72,72,72,3
570214-1,277,225,225,222,3
572241-12,33,28,28,28,3
587877-1,48,40,40,40,3
589314-2,66,40,40,40,3
554961-0,11,11,11,11,3
550817-2,43,25,25,25,3
548499-1,34,26,26,26,3
537489-4,43,36,36,36,3
549509-2,44,33,33,33,3
570478-3,130,99,99,99,3
551783-1,201,137,137,136,3
593559-3,226,170,170,170,3
575917-1,63,53,53,52,3
503444-9,71,50,50,50,3
552399-1,185,154,153,153,3
587826-1,94,79,79,79,3
549771-4,69,41,41,41,3
553425-12,179,132,132,132,3
553786-7,92,56,56,56,3
536547-1,120,69,69,68,3
560910-2,116,76,76,76,3
563901-4,126,80,80,79,3
530514-1,115,83,83,81,3
548723-1,107,84,84,84,3
545201-10,85,56,56,55,3
563773-1,131,96,96,96,3
540056-1,115,82,82,82,3
587761-1,194,136,136,136,3
577448-1,82,62,62,61,3
540137-1,52,44,44,44,3
547492-14,68,45,45,45,3
596507-1,34,27,27,27,3
548871-1,38,28,28,28,3
566624-7,111,69,69,68,3
545023-1,96,64,64,63,3
555380-10,100,61,61,60,3
569186-3,80,67,67,65,3
567892-1008,363,261,261,260,3
542059-1,44,28,28,28,3
565083-2,91,58,58,56,3
545911-8028,1781,381,381,377,3
572233-1,59,44,44,42,3
586960-1,135,89,89,88,3
547727-1,80,65,65,64,3
551678-3,56,48,48,48,3
560260-3,24,16,16,16,3
530271-1,79,34,34,34,3
576051-2,126,105,105,105,3
537322-1,33,22,22,22,3
540218-2,106,75,75,74,3
551953-2,113,92,92,92,3
547280-5,103,76,76,75,3
561452-1,90,62,62,61,3
551635-1,201,137,137,137,3
556751-4,30,25,25,23,3
504807-1,224,177,177,177,3
598917-50,591,355,354,353,3
568457-1,226,158,158,158,3
545384-4,32,20,20,19,3
530841-10,150,122,122,121,3
599905-1,96,75,75,75,3
533513-1,177,142,142,142,3
557862-4,53,43,43,43,3
558028-2,89,69,69,69,3
533319-1,83,57,57,57,3
553514-1,211,152,152,149,3
545023-3,129,97,97,96,3
545988-2024,787,525,525,518,3
553671-6,138,78,78,78,3
586846-44,95,66,66,65,3
573795-1,151,102,102,101,3
599921-8,171,115,115,115,3
566373-1,65,54,54,53,3
566331-1,32,23,23,23,3
582646-4,95,71,71,70,3
553280-1,132,103,103,101,3
550400-1,113,83,83,83,3
598704-1,110,92,92,92,3
530905-5,85,63,63,63,3
546003-3006,396,172,172,168,3
565849-7,107,83,83,83,3
506621-1,123,73,73,73,3
549614-1,86,55,55,54,3
538329-1,343,252,252,246,3
566811-1,54,41,41,41,3
544876-1,122,90,90,89,3
512231-3,82,51,51,49,3
557684-4,65,49,49,49,3
578215-1,274,193,193,191,3
570478-2,84,61,61,61,3
502146-4,225,124,124,124,3
569887-3,62,51,51,51,3
590312-1,183,113,113,113,3
552925-1,207,142,142,142,3
572241-13,41,29,29,29,3
571296-1,97,71,71,70,3
579491-1,156,110,110,110,3
539376-1,109,74,74,74,3
572152-2,54,46,46,46,3
537021-5,37,29,29,29,3
588032-5,74,57,57,57,3
541427-2,57,47,47,46,3
561380-30,346,203,203,202,3
552305-1,144,103,103,100,3
530042-1,63,51,51,51,3
537063-1,56,50,50,49,3
558362-5,98,71,71,71,3
586838-1,162,118,118,118,3
562963-1,56,48,48,48,3
574325-1,185,130,130,129,3
536911-1,62,44,44,44,3
533564-3,156,104,104,104,3
578541-1,194,151,151,151,3
553891-2,130,109,109,108,3
548928-1,32,28,28,28,3
599565-9,690,461,461,456,3
598917-31,678,160,160,159,3
555771-23,81,66,66,66,3
599654-1,54,46,46,46,3
559351-1,555,338,338,337,3
500143-5013,451,280,280,278,3
575500-8,39,25,25,25,3
566357-3,125,82,82,82,3
582735-1,55,47,47,47,3
576271-12,307,213,213,212,3
533807-4,170,118,118,116,3
545627-1,363,247,247,245,3
546828-1,28,19,19,19,3
583278-1,183,130,130,129,3
594580-1,57,44,44,44,3
574147-1,131,111,111,111,3
562084-1,106,74,74,73,3
548481-1,46,40,40,40,3
571041-5,78,59,59,58,3
541281-10,114,89,89,89,3
550582-2,126,96,96,95,3
561371-1,109,96,96,96,3
558125-7,56,37,37,37,3
573094-5,85,65,65,65,3
529711-1,66,42,42,42,3
559725-5,203,148,148,148,3
599352-6,101,75,75,74,3
573787-1,332,251,250,250,3
550850-11,21,18,18,18,3
544281-8,131,98,98,97,3
555771-18,78,60,60,60,3
565849-5,84,58,58,58,4
539929-1,44,34,34,34,4
562483-1,112,75,75,73,4
597121-1,103,87,87,87,4
546135-11017,691,457,457,449,4
597678-5,98,59,59,59,4
599590-1,162,113,113,112,4
587851-1,68,56,56,56,4
597520-25,211,139,139,137,4
548359-1,123,97,97,97,4
551970-1,721,428,428,426,4
592897-1,198,123,123,122,4
570508-10,72,46,46,45,4
541796-1,126,88,88,87,4
569534-1,197,147,147,146,4
573655-1,184,146,146,146,4
598917-29,459,203,203,199,4
551333-1,201,136,136,136,4
578614-1,86,72,72,72,4
548391-3,34,28,28,27,4
599565-6,575,380,380,377,4
584002-7,73,59,59,59,4
551414-1,211,142,142,142,4
581283-17,401,285,285,279,4
596159-1,43,36,36,36,4
511021-8,65,41,41,39,4
546500-2,72,54,54,54,4
540315-2,52,40,40,40,4
589128-2,59,41,41,40,4
548812-1,45,39,39,39,4
591181-9,135,92,92,92,4
552372-4,99,87,87,86,4
567027-51,571,355,355,354,4
556041-3,138,91,91,91,4
589519-2,70,59,59,59,4
560197-1,54,42,42,42,4
552526-1,225,166,166,166,4
590266-36,140,106,106,106,4
534072-1,261,188,188,188,4
590151-1,141,89,89,89,4
535095-1,108,71,71,71,4
540471-10,121,88,88,88,4
576808-2,194,125,125,124,4
558303-4,69,55,55,55,4
555380-11,390,240,240,238,4
578398-1,205,158,158,157,4
575470-1,87,70,70,70,4
566250-1,90,58,58,58,4
536725-1,96,70,70,68,4
537675-2,75,61,61,60,4
567256-3,325,76,76,76,4
568937-1,108,83,83,83,4
571491-3,92,71,71,69,4
539911-13,39,29,29,29,4
568970-1,76,53,53,53,4
576271-8,58,39,39,39,4
573264-1,181,127,127,124,4
573345-1,212,160,160,159,4
553565-1,36,25,25,25,4
529486-6,89,74,74,74,4
571822-1,232,165,165,165,4
536199-1,95,59,59,59,4
548952-1,141,79,79,79,4
563455-1,156,101,101,96,4
546488-1,128,105,105,105,4
546933-1,155,120,120,120,4
570494-1,304,234,234,233,4
573884-1,482,354,354,351,4
588849-2,171,131,131,131,4
