OKRSEK,STRANA,HLASY,batch
577731-18,1,2,1
577731-18,2,1,1
577731-18,4,17,1
577731-18,6,10,1
577731-18,7,22,1
577731-18,9,4,1
566101-1,1,2,1
566101-1,2,6,1
566101-1,4,10,1
566101-1,6,7,1
566101-1,7,32,1
566101-1,9,2,1
549584-2,1,7,2
549584-2,2,6,2
549584-2,4,28,2
549584-2,6,8,2
549584-2,7,11,2
549584-2,9,3,2
560511-1,1,2,2
560511-1,2,2,2
560511-1,4,19,2
560511-1,6,13,2
560511-1,7,19,2
560511-1,9,2,2
502081-2010,1,2,2
502081-2010,2,1,2
502081-2010,4,14,2
502081-2010,6,3,2
502081-2010,7,38,2
502081-2010,9,3,2
584002-8,1,4,2
584002-8,2,5,2
584002-8,4,15,2
584002-8,6,9,2
584002-8,7,35,2
584002-8,9,1,2
563960-3,1,4,2
563960-3,4,18,2
563960-3,6,8,2
563960-3,7,24,2
563960-3,8,3,2
563960-3,9,2,2
556718-4,1,1,2
556718-4,2,6,2
556718-4,4,18,2
556718-4,6,4,2
556718-4,7,40,2
556718-4,8,2,2
556718-4,9,1,2
595411-11,1,3,2
595411-11,2,5,2
595411-11,4,23,2
595411-11,6,11,2
595411-11,7,12,2
595411-11,9,3,2
559946-1,1,1,2
559946-1,2,1,2
559946-1,4,11,2
559946-1,5,1,2
559946-1,6,5,2
559946-1,7,23,2
559946-1,9,1,2
571741-1,1,8,2
571741-1,2,1,2
571741-1,4,19,2
571741-1,6,11,2
571741-1,7,35,2
571741-1,8,2,2
571741-1,9,3,2
573591-1,1,4,2
573591-1,4,11,2
573591-1,6,8,2
573591-1,7,24,2
573591-1,8,1,2
545171-8,2,1,2
545171-8,4,18,2
545171-8,6,9,2
545171-8,7,12,2
545171-8,8,1,2
586846-0,4,7,2
586846-0,6,3,2
586846-0,7,4,2
564788-1,1,4,2
564788-1,2,4,2
564788-1,4,20,2
564788-1,6,4,2
564788-1,7,16,2
574341-5,1,5,2
574341-5,2,2,2
574341-5,4,22,2
574341-5,6,12,2
574341-5,7,40,2
574341-5,8,1,2
574341-5,9,1,2
534391-1,2,2,2
534391-1,4,10,2
534391-1,6,7,2
534391-1,7,16,2
545384-1,2,3,2
545384-1,4,3,2
545384-1,6,6,2
545384-1,7,11,2
545384-1,9,1,2
548782-1,1,5,2
548782-1,2,1,2
548782-1,4,17,2
548782-1,6,8,2
548782-1,7,21,2
548782-1,8,1,2
548782-1,9,3,2
538094-14,2,2,2
538094-14,4,14,2
538094-14,6,3,2
538094-14,7,23,2
999997-99,1,1,2
999997-99,4,8,2
999997-99,5,1,2
999997-99,6,2,2
595411-8,1,4,2
595411-8,2,1,2
595411-8,4,17,2
595411-8,6,6,2
595411-8,7,28,2
595411-8,8,1,2
572241-11,2,1,2
572241-11,4,5,2
572241-11,5,1,2
572241-11,6,3,2
572241-11,7,26,2
572241-11,9,2,2
531391-1,1,1,2
531391-1,4,23,2
531391-1,6,11,2
531391-1,7,19,2
531391-1,8,2,2
531391-1,9,2,2
588083-1,1,1,2
588083-1,4,20,2
588083-1,5,1,2
588083-1,6,13,2
588083-1,7,19,2
588083-1,9,1,2
558389-4,1,1,2
558389-4,2,1,2
558389-4,4,10,2
558389-4,5,1,2
558389-4,6,6,2
558389-4,7,27,2
558389-4,9,1,2
554022-1,1,4,2
554022-1,2,6,2
554022-1,4,27,2
554022-1,5,2,2
554022-1,6,14,2
554022-1,7,32,2
554022-1,8,1,2
554022-1,9,1,2
573060-5,1,3,2
573060-5,2,2,2
573060-5,4,17,2
573060-5,6,10,2
573060-5,7,41,2
573060-5,9,1,2
553573-1,1,2,2
553573-1,2,3,2
553573-1,4,20,2
553573-1,6,10,2
553573-1,7,32,2
599034-1,1,11,2
599034-1,4,11,2
599034-1,5,1,2
599034-1,6,12,2
599034-1,7,20,2
599034-1,8,3,2
599034-1,9,3,2
532878-1,1,2,2
532878-1,4,6,2
532878-1,6,6,2
532878-1,7,15,2
562904-1,1,4,2
562904-1,4,29,2
562904-1,6,17,2
562904-1,7,29,2
562904-1,9,3,2
588202-1,1,23,2
588202-1,2,15,2
588202-1,4,43,2
588202-1,5,1,2
588202-1,6,10,2
588202-1,7,50,2
588202-1,8,1,2
588202-1,9,3,2
999997-66,1,4,2
999997-66,2,1,2
999997-66,4,12,2
999997-66,6,7,2
999997-66,7,5,2
999997-66,9,1,2
580708-2,1,2,2
580708-2,2,4,2
580708-2,4,27,2
580708-2,5,1,2
580708-2,6,5,2
580708-2,7,10,2
580708-2,9,7,2
582662-1,1,22,2
582662-1,2,9,2
582662-1,4,31,2
582662-1,5,1,2
582662-1,6,20,2
582662-1,7,57,2
582662-1,9,2,2
587559-1,1,6,2
587559-1,2,2,2
587559-1,4,18,2
587559-1,6,20,2
587559-1,7,21,2
587559-1,8,7,2
587559-1,9,3,2
500623-4,1,4,2
500623-4,4,2,2
500623-4,6,15,2
500623-4,7,21,2
500623-4,8,1,2
500623-4,9,4,2
532932-1,1,6,2
532932-1,2,1,2
