OKRSEK,STRANA,HLASY,batch
17,1,0,7
17,2,2,7
17,3,0,7
17,4,0,7
17,5,0,7
17,6,169,7
17,7,3,7
17,8,36,7
17,9,4,7
17,10,0,7
17,11,0,7
17,12,2,7
17,13,2,7
17,14,2,7
4,1,48,18
4,2,62,18
4,3,63,18
4,4,237,18
4,5,96,18
4,6,1074,18
4,7,64,18
4,8,135,18
4,9,117,18
4,10,0,18
4,11,1,18
4,12,1,18
4,13,111,18
4,14,30,18
24,1,31,21
24,2,64,21
24,3,88,21
24,4,2,21
24,5,99,21
24,6,1192,21
24,7,53,21
24,8,215,21
24,9,384,21
24,10,56,21
24,11,6,21
24,12,30,21
24,13,54,21
24,14,112,21
23,1,455,29
23,2,337,29
23,3,256,29
23,4,10,29
23,5,444,29
23,6,4316,29
23,7,255,29
23,8,410,29
23,9,828,29
23,10,62,29
23,11,279,29
23,12,105,29
23,13,369,29
23,14,184,29
14,1,691,30
14,2,771,30
14,3,240,30
14,4,17,30
14,5,352,30
14,6,4869,30
14,7,444,30
14,8,411,30
14,9,651,30
14,10,318,30
14,11,366,30
14,12,108,30
14,13,283,30
14,14,154,30
18,1,237,31
18,2,271,31
18,3,111,31
18,4,132,31
18,5,250,31
18,6,3214,31
18,7,324,31
18,8,329,31
18,9,774,31
18,10,124,31
18,11,100,31
18,12,155,31
18,13,225,31
18,14,181,31
12,1,392,33
12,2,615,33
12,3,63,33
12,4,22,33
12,5,81,33
12,6,3058,33
12,7,331,33
12,8,553,33
12,9,1058,33
12,10,84,33
12,11,177,33
12,12,53,33
12,13,256,33
12,14,129,33
2,1,84,33
2,2,164,33
2,3,3,33
2,4,2,33
2,5,93,33
2,6,2009,33
2,7,132,33
2,8,129,33
2,9,110,33
2,10,12,33
2,11,33,33
2,12,489,33
2,13,29,33
2,14,38,33
8,1,42,34
8,2,284,34
8,3,101,34
8,4,10,34
8,5,254,34
8,6,1910,34
8,7,353,34
8,8,223,34
8,9,644,34
8,10,92,34
8,11,22,34
8,12,40,34
8,13,188,34
8,14,142,34
5,1,167,34
5,2,401,34
5,3,122,34
5,4,13,34
5,5,265,34
5,6,3923,34
5,7,169,34
5,8,336,34
5,9,570,34
5,10,135,34
5,11,166,34
5,12,36,34
5,13,321,34
5,14,140,34
15,1,425,36
15,2,242,36
15,3,138,36
15,4,27,36
15,5,363,36
15,6,3156,36
15,7,269,36
15,8,608,36
15,9,453,36
15,10,61,36
15,11,342,36
15,12,136,36
15,13,281,36
15,14,45,36
13,1,630,39
13,2,439,39
13,3,144,39
13,4,4,39
13,5,383,39
13,6,4163,39
13,7,464,39
13,8,512,39
13,9,834,39
13,10,47,39
13,11,142,39
13,12,135,39
13,13,172,39
13,14,134,39
16,1,457,41
16,2,407,41
16,3,159,41
16,4,47,41
16,5,162,41
16,6,3912,41
16,7,377,41
16,8,555,41
16,9,667,41
16,10,100,41
16,11,136,41
16,12,137,41
16,13,351,41
16,14,111,41
27,1,323,41
27,2,700,41
27,3,313,41
27,4,77,41
27,5,219,41
27,6,4123,41
27,7,428,41
27,8,770,41
27,9,636,41
27,10,140,41
27,11,163,41
27,12,92,41
27,13,228,41
27,14,240,41
1,1,103,45
1,2,203,45
1,3,78,45
1,4,10,45
1,5,191,45
1,6,4329,45
1,7,281,45
1,8,343,45
1,9,257,45
1,10,97,45
1,11,190,45
1,12,662,45
1,13,223,45
1,14,73,45
7,1,471,46
7,2,201,46
7,3,198,46
7,4,18,46
7,5,208,46
7,6,4357,46
7,7,262,46
7,8,385,46
7,9,810,46
7,10,98,46
7,11,240,46
7,12,115,46
7,13,285,46
7,14,125,46
9,1,318,48
9,2,568,48
9,3,154,48
9,4,9,48
9,5,452,48
9,6,3219,48
9,7,450,48
9,8,405,48
9,9,397,48
9,10,58,48
9,11,247,48
9,12,124,48
9,13,471,48
9,14,220,48
25,1,490,49
25,2,719,49
25,3,250,49
25,4,67,49
25,5,846,49
25,6,5393,49
25,7,526,49
25,8,521,49
25,9,1180,49
25,10,156,49
25,11,120,49
25,12,103,49
25,13,224,49
25,14,397,49
19,1,203,50
19,2,253,50
19,3,222,50
19,4,43,50
19,5,285,50
19,6,2487,50
19,7,298,50
19,8,148,50
19,9,557,50
19,10,88,50
19,11,122,50
19,12,148,50
19,13,158,50
19,14,67,50
10,1,249,51
10,2,152,51
10,3,84,51
10,4,70,51
10,5,350,51
10,6,2633,51
10,7,475,51
10,8,161,51
10,9,518,51
10,10,140,51
10,11,166,51
10,12,22,51
10,13,244,51
10,14,128,51
20,1,436,51
20,2,269,51
20,3,259,51
20,4,39,51
20,5,190,51
20,6,4431,51
20,7,169,51
20,8,313,51
20,9,420,51
20,10,197,51
20,11,137,51
20,12,239,51
20,13,330,51
20,14,143,51
6,1,460,53
6,2,313,53
6,3,74,53
6,4,9,53
6,5,432,53
6,6,4134,53
6,7,391,53
6,8,516,53
6,9,758,53
6,10,133,53
6,11,111,53
6,12,114,53
6,13,325,53
6,14,208,53
21,1,344,57
21,2,306,57
