KODZASTUP,N_OKRSEK,KRAJ,MANDATY,NAZEVZAST,OKRES,POCOBYV,N_STRANA,type
500046,1,8100,15,Libhošť,8104,1723,1,1party
500127,1,4100,7,Doupovské Hradiště,4102,160,1,1party
504301,1,5300,7,Dřenice,5301,409,1,1party
504955,1,5300,7,Dvakačovice,5301,163,1,1party
505005,1,5300,7,Bítovany,5301,437,1,1party
505013,2,7100,15,Příkazy,7102,1316,1,1party
505391,1,5300,7,Bělá u Jevíčka,5303,353,1,1party
505650,3,7100,11,Velký Týnec,7102,3042,1,1party
505781,1,2100,7,Zápy,2109,876,1,1party
506664,1,3200,7,Skořice,3206,266,1,1party
507105,1,8100,9,Hněvošice,8105,1008,1,1party
507610,1,3100,7,Doňov,3103,77,1,1party
507652,1,3100,7,Višňová,3103,98,1,1party
507695,1,3100,7,Záhoří,3103,107,1,1party
507733,1,3100,7,Březina,3103,124,1,1party
508004,1,3100,7,Roseč,3103,225,1,1party
508128,1,8100,15,Markvartovice,8105,2193,1,1party
508357,1,3100,7,Kostelní Vydří,3103,156,1,1party
508683,1,3100,7,Záblatí,3103,91,1,1party
509108,1,3100,7,Kostelní Radouň,3103,304,1,1party
509141,1,3100,7,Dvory nad Lužnicí,3103,355,1,1party
509191,1,3100,7,Cep,3103,182,1,1party
509418,1,6100,7,Bořetín,6103,112,1,1party
511587,1,4100,7,Josefov,4103,403,1,1party
512401,1,7100,7,Bezuchov,7104,185,1,1party
512826,1,7100,7,Buk,7104,378,1,1party
512877,1,7100,7,Býškovice,7104,381,1,1party
512893,1,8100,7,Nové Lublice,8105,182,1,1party
512974,1,8100,11,Bělá,8105,660,1,1party
513059,1,7100,7,Čelechovice,7104,129,1,1party
513113,1,2100,7,Malé Přítočno,2103,279,1,1party
513148,1,2100,5,Polní Voděrady,2104,212,1,1party
513164,1,2100,5,Ždánice,2104,353,1,1party
513181,1,2100,7,Dománovice,2104,111,1,1party
513237,1,2100,7,Polní Chrčice,2104,177,1,1party
513261,1,2100,5,Žabonosy,2104,239,1,1party
513288,1,2100,5,Mrzky,2104,170,1,1party
513431,1,2100,7,Chýnice,2110,439,1,1party
513482,1,2100,7,Vysoký Újezd,2101,190,1,1party
513521,1,2100,7,Lešetice,2111,204,1,1party
513628,1,2100,7,Klokočná,2109,278,1,1party
513717,1,5200,9,Urbanice,5201,304,1,1party
513890,1,5100,7,Skalka u Doks,5101,162,1,1party
514161,1,5100,5,Luka,5101,100,1,1party
514195,1,5100,5,Ždírec,5101,116,1,1party
514276,1,5100,7,Pertoltice pod Ralskem,5101,425,1,1party
514446,1,7100,5,Lazníčky,7104,199,1,1party
514497,1,7100,7,Lhota,7104,339,1,1party
514527,1,7100,5,Lhotka,7104,76,1,1party
514802,1,7100,7,Líšná,7104,256,0,1party
515787,1,7100,7,Nelešovice,7104,195,1,1party
515825,1,7100,5,Oldřichov,7104,112,1,1party
516350,1,7100,7,Oprostovice,7104,84,1,1party
516694,1,7100,15,Pavlovice u Přerova,7104,711,1,1party
517151,1,7100,15,Prosenice,7104,793,1,1party
517208,1,7100,5,Provodovice,7104,158,1,1party
517275,1,7100,7,Radíkov,7104,153,1,1party
517321,1,7100,7,Radkova Lhota,7104,205,1,1party
517569,1,7100,7,Radvanice,7104,278,1,1party
