Short name,Name,VSTRANA,color,inverse
ANO,ANO 2011,768,#33cccc,0
ČSSD,Česká strana sociálně demokratická,7,#f9932e,1
KSČM,Komunistická strana Čech a Moravy,47,#e2354b,1
ODS,Občanská demokratická strana,53,#4175e0,1
TOP 09,TOP 09,721,#c268b4,1
KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1,#ffd62e,1
SPD,Svoboda a přímá demokracie - Tomio Okamura (SPD),1114,#c05f2f,1
Piráti,Česká pirátská strana,720,#222222,1
SZ,Strana zelených,5,#36da83,1
ODA,Občanská demokratická aliance,1173,#405db2,1
STAN,STAROSTOVÉ A NEZÁVISLÍ,166,#38c2f9,1
Svobodní,,,#009682,1
Rozumní,,,#30acd4,1
SPOLU,SPOLU,1019,#4175e0,1
Přísaha,,,#0240c6,1
Trikolóra,,,#f48fb1,1
Piráti+STAN,,1350,#222222,1
Volný blok,,,#88324e,1
Sdružení nezávislých kandidátů,Sdružení nezávislých kandidátů - místní sdružení celkem,90,#303740,1
Nezávislý kandidát,Nezávislý kandidát,80,#5C677A,1
Všichni ostatní,,,#8A8A8A,1
