KODZASTUP,N_OKRSEK,KRAJ,MANDATY,NAZEVZAST,OKRES,POCOBYV,N_STRANA,type
532011,5,2100,15,Zdice,2102,4047,5,rt
532053,57,2100,33,Kladno,2103,66903,9,rt
532142,2,2100,9,Bratronice,2103,944,3,rt
532169,3,2100,11,Buštěhrad,2103,3703,2,rt
532193,2,2100,7,Lštění,2101,426,2,rt
532461,2,2100,9,Klobuky,2103,1040,2,rt
532576,2,2100,15,Libušín,2103,3281,2,rt
532657,2,2100,7,Malíkovice,2103,374,2,rt
532720,2,2100,9,Pchery,2103,1985,4,rt
532819,22,2100,27,Slaný,2103,15862,10,rt
532835,2,2100,15,Smečno,2103,1914,4,rt
532860,7,2100,21,Stochov,2103,5348,4,rt
533017,4,2100,19,Unhošť,2103,4827,6,rt
533041,4,2100,15,Velvary,2103,2958,3,rt
533050,3,2100,9,Vinařice,2103,2078,3,rt
533068,2,2100,10,Vraný,2103,758,3,rt
533114,5,2100,15,Zlonice,2103,2255,4,rt
533157,2,2100,7,Žižice,2103,706,2,rt
533165,29,2100,27,Kolín,2104,32046,9,rt
533181,4,2100,11,Bečváry,2104,1043,2,rt
533203,8,2100,17,Králův Dvůr,2102,9995,5,rt
533246,2,2100,11,Cerhenice,2104,1808,2,rt
533262,2,2100,13,Červené Pečky,2104,1947,2,rt
533271,7,2100,21,Český Brod,2104,7071,7,rt
533297,3,2100,9,Dolní Chvatliny,2104,495,2,rt
533386,3,2100,15,Klučov,2104,1061,2,rt
533416,4,2100,15,Kostelec nad Černými lesy,2109,3773,5,rt
533424,2,2100,15,Kouřim,2104,1919,3,rt
533441,2,2100,9,Krakovany,2104,904,2,rt
533521,2,2100,7,Nebovidy,2104,748,4,rt
533564,4,2100,15,Oleška,2109,964,3,rt
533653,2,2100,7,Ratboř,2104,573,4,rt
533718,3,2100,13,Stříbrná Skalice,2109,1494,2,rt
533785,2,2100,9,Tuklaty,2104,1076,2,rt
533807,4,2100,11,Týnec nad Labem,2104,2127,2,rt
533815,2,2100,7,Uhlířská Lhota,2104,355,10,rt
533831,3,2100,11,Velim,2104,2268,5,rt
533858,2,2100,11,Veltruby,2104,1435,2,rt
533921,5,2100,15,Zásmuky,2104,2054,3,rt
533955,24,2100,27,Kutná Hora,2105,20450,11,rt
533971,3,2100,9,Bílé Podolí,2105,596,2,rt
533998,2,2100,9,Církvice,2105,1311,3,rt
534005,9,2100,21,Čáslav,2105,10128,9,rt
534013,3,2100,7,Černíny,2105,392,2,rt
534099,2,2100,15,Chlístovice,2105,755,5,rt
534137,3,2100,7,Kluky,2105,530,2,rt
534196,3,2100,9,Svatý Mikuláš,2105,895,5,rt
534382,5,2100,15,Sázava,2101,3702,5,rt
534391,2,2100,7,Slavošov,2105,142,2,rt
534498,3,2100,15,Uhlířské Janovice,2105,3077,4,rt
534510,2,2100,9,Úžice,2105,689,3,rt
534579,3,2100,9,Vlkaneč,2105,615,4,rt
534587,4,2100,15,Vrdy,2105,2953,5,rt
534617,3,2100,11,Zbraslavice,2105,1404,4,rt
534625,2,2100,9,Zbýšov,2105,630,8,rt
534633,7,2100,15,Zruč nad Sázavou,2105,4709,5,rt
534668,3,2100,11,Žleby,2105,1384,4,rt
534676,20,2100,21,Mělník,2106,19472,12,rt
534714,2,2100,7,Býkev,2106,514,3,rt
