id,OKRSEK,KODZASTUP,NAZEVZAST,group,HLASY
582786-20038,20038,582786,Brno,2,20652
582786-20039,20039,582786,Brno,2,15872
582786-20040,20040,582786,Brno,3,22975
582786-20041,20041,582786,Brno,2,20492
582786-20042,20042,582786,Brno,2,18646
582786-20043,20043,582786,Brno,0,14670
582786-20044,20044,582786,Brno,3,28096
582786-20045,20045,582786,Brno,3,28148
582786-29001,29001,582786,Brno,2,14829
582786-29002,29002,582786,Brno,1,9711
582786-29003,29003,582786,Brno,2,14442
582786-29004,29004,582786,Brno,0,19460
582786-29005,29005,582786,Brno,3,18658
582786-29006,29006,582786,Brno,0,20494
582786-29007,29007,582786,Brno,0,21060
582786-29008,29008,582786,Brno,3,18918
582786-29009,29009,582786,Brno,3,14496
582786-29010,29010,582786,Brno,0,19337
582786-29011,29011,582786,Brno,2,18219
582786-29012,29012,582786,Brno,0,20986
582786-29013,29013,582786,Brno,0,16780
582786-29014,29014,582786,Brno,2,21996
582786-29015,29015,582786,Brno,1,15433
582786-29016,29016,582786,Brno,2,22693
582786-29017,29017,582786,Brno,2,18662
582786-29018,29018,582786,Brno,1,15570
582786-29019,29019,582786,Brno,2,15219
582786-4001,4001,582786,Brno,1,19560
582786-4002,4002,582786,Brno,1,19433
582786-4003,4003,582786,Brno,0,17842
582786-4004,4004,582786,Brno,0,22497
582786-4005,4005,582786,Brno,0,18546
582786-4006,4006,582786,Brno,1,20380
582786-4007,4007,582786,Brno,0,11042
582786-8001,8001,582786,Brno,2,22605
582786-8002,8002,582786,Brno,0,17690
582786-8003,8003,582786,Brno,0,16781
582786-8004,8004,582786,Brno,0,22583
582786-8005,8005,582786,Brno,0,9272
582786-8006,8006,582786,Brno,1,4347
582786-8007,8007,582786,Brno,1,11380
582786-8008,8008,582786,Brno,1,13886
582786-8009,8009,582786,Brno,1,13823
582786-1001,1001,582786,Brno,2,19356
582786-1002,1002,582786,Brno,2,19751
582786-1003,1003,582786,Brno,2,23767
582786-1004,1004,582786,Brno,1,18594
582786-1005,1005,582786,Brno,2,18827
582786-1006,1006,582786,Brno,0,18442
582786-1007,1007,582786,Brno,2,21739
582786-1008,1008,582786,Brno,2,22582
582786-1009,1009,582786,Brno,0,15935
582786-1010,1010,582786,Brno,2,15997
582786-1011,1011,582786,Brno,2,18780
582786-1012,1012,582786,Brno,0,17532
582786-1013,1013,582786,Brno,2,17055
582786-22001,22001,582786,Brno,1,15043
582786-22002,22002,582786,Brno,2,18568
582786-22003,22003,582786,Brno,2,13225
582786-22004,22004,582786,Brno,2,19076
582786-22005,22005,582786,Brno,2,17379
582786-22006,22006,582786,Brno,0,15394
582786-22007,22007,582786,Brno,2,18031
582786-22008,22008,582786,Brno,2,17637
582786-22009,22009,582786,Brno,2,16345
582786-22010,22010,582786,Brno,1,20445
582786-22011,22011,582786,Brno,2,16387
582786-22012,22012,582786,Brno,1,18332
582786-17001,17001,582786,Brno,0,31002
582786-17002,17002,582786,Brno,1,17042
582786-17003,17003,582786,Brno,0,22529
582786-17004,17004,582786,Brno,0,17960
582786-17005,17005,582786,Brno,0,22292
582786-17006,17006,582786,Brno,0,20736
582786-17007,17007,582786,Brno,1,22791
582786-17008,17008,582786,Brno,1,13578
582786-17009,17009,582786,Brno,0,18820
582786-11001,11001,582786,Brno,0,32356
582786-11002,11002,582786,Brno,1,23029
582786-11003,11003,582786,Brno,1,24960
582786-11004,11004,582786,Brno,1,20535
582786-11005,11005,582786,Brno,0,19727
582786-11006,11006,582786,Brno,2,19856
582786-11007,11007,582786,Brno,3,25714
582786-11008,11008,582786,Brno,3,19292
582786-11009,11009,582786,Brno,1,12729
582786-11010,11010,582786,Brno,1,16890
582786-11011,11011,582786,Brno,2,13299
582786-9001,9001,582786,Brno,0,21631
582786-9002,9002,582786,Brno,4,25057
582786-9003,9003,582786,Brno,4,20038
582786-9004,9004,582786,Brno,0,26162
582786-3001,3001,582786,Brno,4,17346
582786-3002,3002,582786,Brno,0,15385
582786-3003,3003,582786,Brno,0,24353
582786-3004,3004,582786,Brno,0,20607
582786-3005,3005,582786,Brno,1,12927
582786-3006,3006,582786,Brno,0,16672
582786-3007,3007,582786,Brno,1,14293
582786-3008,3008,582786,Brno,1,11206
582786-3009,3009,582786,Brno,1,12218
582786-3010,3010,582786,Brno,1,10962
582786-3011,3011,582786,Brno,1,13574
582786-3012,3012,582786,Brno,3,21531
582786-3013,3013,582786,Brno,0,12244
582786-3014,3014,582786,Brno,1,11606
582786-3015,3015,582786,Brno,0,21949
582786-3016,3016,582786,Brno,1,18320
582786-3017,3017,582786,Brno,0,22289
582786-3018,3018,582786,Brno,0,21209
582786-3019,3019,582786,Brno,0,21183
582786-3020,3020,582786,Brno,0,19907
582786-3021,3021,582786,Brno,1,15701
582786-3022,3022,582786,Brno,0,14216
582786-3023,3023,582786,Brno,0,16554
582786-3024,3024,582786,Brno,3,29047
582786-10001,10001,582786,Brno,0,25668
582786-12001,12001,582786,Brno,3,28908
582786-12002,12002,582786,Brno,0,33149
582786-12003,12003,582786,Brno,2,23793
582786-12004,12004,582786,Brno,0,27421
582786-12005,12005,582786,Brno,0,27796
582786-12006,12006,582786,Brno,0,26369
582786-16001,16001,582786,Brno,2,21504
582786-16002,16002,582786,Brno,3,28713
582786-16003,16003,582786,Brno,0,26300
582786-16004,16004,582786,Brno,3,31435
582786-19001,19001,582786,Brno,1,23174
582786-19002,19002,582786,Brno,0,23517
582786-19003,19003,582786,Brno,1,13617
582786-19004,19004,582786,Brno,1,18714
582786-19005,19005,582786,Brno,0,21571
582786-19006,19006,582786,Brno,1,23473
582786-19007,19007,582786,Brno,3,23577
582786-19008,19008,582786,Brno,1,18624
582786-19009,19009,582786,Brno,0,24631
582786-19010,19010,582786,Brno,3,26044
582786-19011,19011,582786,Brno,2,17360
582786-19012,19012,582786,Brno,1,24974
582786-19013,19013,582786,Brno,0,16668
582786-19014,19014,582786,Brno,4,20535
582786-15001,15001,582786,Brno,0,22595
582786-15002,15002,582786,Brno,4,28655
582786-15003,15003,582786,Brno,0,27296
582786-15004,15004,582786,Brno,0,21569
582786-26001,26001,582786,Brno,0,20772
582786-26002,26002,582786,Brno,2,22452
582786-26003,26003,582786,Brno,0,20489
582786-26004,26004,582786,Brno,4,26079
582786-26005,26005,582786,Brno,0,22684
582786-26006,26006,582786,Brno,0,22369
582786-26007,26007,582786,Brno,1,19043
582786-26008,26008,582786,Brno,0,24548
582786-26009,26009,582786,Brno,1,22710
582786-26010,26010,582786,Brno,1,19067
582786-14001,14001,582786,Brno,0,15300
582786-14002,14002,582786,Brno,0,23011
582786-14003,14003,582786,Brno,1,21511
582786-14004,14004,582786,Brno,2,19274
582786-14005,14005,582786,Brno,1,24656
582786-14006,14006,582786,Brno,1,19716
582786-14007,14007,582786,Brno,1,19630
582786-14008,14008,582786,Brno,0,22359
582786-14009,14009,582786,Brno,1,22519
582786-14010,14010,582786,Brno,0,19254
582786-14011,14011,582786,Brno,1,15398
582786-14012,14012,582786,Brno,1,17253
582786-14013,14013,582786,Brno,1,19670
582786-14014,14014,582786,Brno,0,24152
582786-14015,14015,582786,Brno,2,28484
582786-14016,14016,582786,Brno,0,31538
582786-14017,14017,582786,Brno,0,33861
582786-14018,14018,582786,Brno,0,24122
582786-14019,14019,582786,Brno,0,34719
582786-21001,21001,582786,Brno,4,17336
582786-21002,21002,582786,Brno,0,27680
582786-21003,21003,582786,Brno,1,22928
