id,OKRSEK,KODZASTUP,NAZEVZAST,group,HLASY
500119-4001,4001,500119,Praha 4,0,6469
500119-4002,4002,500119,Praha 4,0,9453
500119-4003,4003,500119,Praha 4,3,14212
500119-4004,4004,500119,Praha 4,0,7678
500119-4005,4005,500119,Praha 4,0,10678
500119-4006,4006,500119,Praha 4,2,10104
500119-4007,4007,500119,Praha 4,4,12151
500119-4008,4008,500119,Praha 4,3,9081
500119-4009,4009,500119,Praha 4,4,9134
500119-4010,4010,500119,Praha 4,4,13245
500119-4011,4011,500119,Praha 4,1,9241
500119-4012,4012,500119,Praha 4,4,12397
500119-4013,4013,500119,Praha 4,3,10795
500119-4014,4014,500119,Praha 4,4,13040
500119-4015,4015,500119,Praha 4,3,13644
500119-4016,4016,500119,Praha 4,4,14379
500119-4017,4017,500119,Praha 4,4,9833
500119-4018,4018,500119,Praha 4,4,10694
500119-4019,4019,500119,Praha 4,4,15366
500119-4020,4020,500119,Praha 4,1,11650
500119-4021,4021,500119,Praha 4,4,13458
500119-4022,4022,500119,Praha 4,4,10623
500119-4023,4023,500119,Praha 4,4,13789
500119-4024,4024,500119,Praha 4,0,12525
500119-4025,4025,500119,Praha 4,0,9286
500119-4026,4026,500119,Praha 4,4,12076
500119-4027,4027,500119,Praha 4,0,13202
500119-4028,4028,500119,Praha 4,0,9689
500119-4029,4029,500119,Praha 4,1,13044
500119-4030,4030,500119,Praha 4,0,12707
500119-4031,4031,500119,Praha 4,2,10954
500119-4032,4032,500119,Praha 4,0,11165
500119-4033,4033,500119,Praha 4,0,13777
500119-4034,4034,500119,Praha 4,3,10912
500119-4035,4035,500119,Praha 4,4,8904
500119-4036,4036,500119,Praha 4,1,17219
500119-4037,4037,500119,Praha 4,1,16854
500119-4038,4038,500119,Praha 4,0,11358
500119-4039,4039,500119,Praha 4,3,8089
500119-4040,4040,500119,Praha 4,2,18051
500119-4041,4041,500119,Praha 4,3,12834
500119-4042,4042,500119,Praha 4,2,13239
500119-4043,4043,500119,Praha 4,0,14446
500119-4044,4044,500119,Praha 4,0,14289
500119-4045,4045,500119,Praha 4,3,11411
500119-4046,4046,500119,Praha 4,4,8933
500119-4047,4047,500119,Praha 4,0,14155
500119-4048,4048,500119,Praha 4,2,14795
500119-4049,4049,500119,Praha 4,0,13133
500119-4050,4050,500119,Praha 4,0,18634
500119-4051,4051,500119,Praha 4,0,15558
500119-4052,4052,500119,Praha 4,0,16193
