id,OKRSEK,KODZASTUP,NAZEVZAST,group,HLASY
554821-8001,8001,554821,Ostrava,4,3913
554821-8002,8002,554821,Ostrava,4,4165
554821-8003,8003,554821,Ostrava,0,8536
554821-8004,8004,554821,Ostrava,0,8268
554821-8005,8005,554821,Ostrava,3,7050
554821-8006,8006,554821,Ostrava,3,13777
554821-8007,8007,554821,Ostrava,0,11137
554821-8008,8008,554821,Ostrava,0,9713
554821-8009,8009,554821,Ostrava,0,8414
554821-8010,8010,554821,Ostrava,0,13369
554821-8011,8011,554821,Ostrava,3,9751
554821-8012,8012,554821,Ostrava,3,14518
554821-8013,8013,554821,Ostrava,4,2403
554821-8014,8014,554821,Ostrava,3,7850
554821-8015,8015,554821,Ostrava,0,14951
554821-8016,8016,554821,Ostrava,3,10568
554821-8017,8017,554821,Ostrava,3,14778
554821-8018,8018,554821,Ostrava,3,11572
554821-8019,8019,554821,Ostrava,3,10694
554821-8020,8020,554821,Ostrava,3,8520
554821-8021,8021,554821,Ostrava,3,9830
554821-8022,8022,554821,Ostrava,3,11528
554821-8023,8023,554821,Ostrava,3,17229
554821-8024,8024,554821,Ostrava,3,11191
554821-8025,8025,554821,Ostrava,3,10256
554821-8026,8026,554821,Ostrava,3,5652
554821-8027,8027,554821,Ostrava,3,11078
554821-8028,8028,554821,Ostrava,3,9800
554821-8029,8029,554821,Ostrava,3,6436
554821-8030,8030,554821,Ostrava,3,3553
554821-8031,8031,554821,Ostrava,3,7803
554821-8032,8032,554821,Ostrava,0,12585
554821-8033,8033,554821,Ostrava,0,11025
554821-8034,8034,554821,Ostrava,2,11418
554821-8035,8035,554821,Ostrava,3,5090
554821-8036,8036,554821,Ostrava,3,8871
554821-8037,8037,554821,Ostrava,0,11496
554821-8038,8038,554821,Ostrava,4,10963
554821-8039,8039,554821,Ostrava,3,550
554821-8040,8040,554821,Ostrava,3,12201
554821-8041,8041,554821,Ostrava,2,9863
554821-8042,8042,554821,Ostrava,0,8859
554821-8043,8043,554821,Ostrava,2,9663
554821-8044,8044,554821,Ostrava,2,10408
554821-8045,8045,554821,Ostrava,0,11037
554821-8046,8046,554821,Ostrava,4,8044
554821-8047,8047,554821,Ostrava,0,13030
554821-19001,19001,554821,Ostrava,2,6584
554821-19002,19002,554821,Ostrava,3,20663
554821-19003,19003,554821,Ostrava,2,57
554821-19004,19004,554821,Ostrava,4,4772
554821-19005,19005,554821,Ostrava,1,4406
554821-19006,19006,554821,Ostrava,1,11542
554821-19007,19007,554821,Ostrava,2,11294
554821-19008,19008,554821,Ostrava,0,8081
554821-19009,19009,554821,Ostrava,3,17551
554821-19010,19010,554821,Ostrava,0,8377
554821-19011,19011,554821,Ostrava,3,27320
554821-19012,19012,554821,Ostrava,4,10837
554821-19013,19013,554821,Ostrava,3,9925
554821-19014,19014,554821,Ostrava,0,10183
554821-19015,19015,554821,Ostrava,3,9513
554821-19016,19016,554821,Ostrava,2,13347
554821-19017,19017,554821,Ostrava,3,9827
554821-19018,19018,554821,Ostrava,2,8889
554821-19019,19019,554821,Ostrava,1,9690
