id,OKRSEK,KODZASTUP,NAZEVZAST,group,HLASY
554782-1001,1001,554782,Praha hl.m.,4,23164
554782-1002,1002,554782,Praha hl.m.,3,32222
554782-1003,1003,554782,Praha hl.m.,3,22074
554782-1004,1004,554782,Praha hl.m.,3,28826
554782-1005,1005,554782,Praha hl.m.,3,22041
554782-1006,1006,554782,Praha hl.m.,3,35636
554782-1007,1007,554782,Praha hl.m.,3,30587
554782-1008,1008,554782,Praha hl.m.,3,26648
554782-1009,1009,554782,Praha hl.m.,3,27901
554782-1010,1010,554782,Praha hl.m.,3,15996
554782-1011,1011,554782,Praha hl.m.,3,37765
554782-1012,1012,554782,Praha hl.m.,3,24318
554782-1013,1013,554782,Praha hl.m.,4,14825
554782-1014,1014,554782,Praha hl.m.,4,37291
554782-1015,1015,554782,Praha hl.m.,3,37042
554782-1016,1016,554782,Praha hl.m.,3,18554
554782-1017,1017,554782,Praha hl.m.,0,21569
554782-1018,1018,554782,Praha hl.m.,3,50138
554782-1019,1019,554782,Praha hl.m.,3,31179
554782-1020,1020,554782,Praha hl.m.,3,20439
554782-1021,1021,554782,Praha hl.m.,3,37604
554782-2001,2001,554782,Praha hl.m.,3,12693
554782-2002,2002,554782,Praha hl.m.,0,11521
554782-2003,2003,554782,Praha hl.m.,3,19621
554782-2004,2004,554782,Praha hl.m.,3,25283
554782-2005,2005,554782,Praha hl.m.,3,20451
554782-2006,2006,554782,Praha hl.m.,3,20807
554782-2007,2007,554782,Praha hl.m.,3,22174
554782-2008,2008,554782,Praha hl.m.,3,16722
554782-2009,2009,554782,Praha hl.m.,3,22201
554782-2010,2010,554782,Praha hl.m.,3,21025
554782-2011,2011,554782,Praha hl.m.,3,20123
554782-2012,2012,554782,Praha hl.m.,3,16870
554782-2013,2013,554782,Praha hl.m.,3,17043
554782-2014,2014,554782,Praha hl.m.,3,18129
554782-2015,2015,554782,Praha hl.m.,3,18201
554782-2016,2016,554782,Praha hl.m.,3,25069
554782-2017,2017,554782,Praha hl.m.,3,21439
554782-2018,2018,554782,Praha hl.m.,3,24303
554782-2019,2019,554782,Praha hl.m.,3,19074
554782-2020,2020,554782,Praha hl.m.,3,23029
554782-2021,2021,554782,Praha hl.m.,0,17152
554782-2022,2022,554782,Praha hl.m.,3,20748
554782-2023,2023,554782,Praha hl.m.,0,22407
554782-2024,2024,554782,Praha hl.m.,3,23179
554782-2025,2025,554782,Praha hl.m.,4,19417
554782-2026,2026,554782,Praha hl.m.,3,18499
554782-2027,2027,554782,Praha hl.m.,3,22124
554782-2028,2028,554782,Praha hl.m.,3,29047
554782-2029,2029,554782,Praha hl.m.,0,16502
554782-2030,2030,554782,Praha hl.m.,3,16759
554782-2031,2031,554782,Praha hl.m.,0,14391
554782-2032,2032,554782,Praha hl.m.,3,21439
554782-2033,2033,554782,Praha hl.m.,3,27168
554782-2034,2034,554782,Praha hl.m.,0,22433
554782-2035,2035,554782,Praha hl.m.,0,20927
554782-2036,2036,554782,Praha hl.m.,3,13055
554782-2037,2037,554782,Praha hl.m.,4,13916
554782-2038,2038,554782,Praha hl.m.,2,10318
554782-2039,2039,554782,Praha hl.m.,3,16022
554782-2040,2040,554782,Praha hl.m.,4,16342
554782-2041,2041,554782,Praha hl.m.,3,8456
554782-2042,2042,554782,Praha hl.m.,3,13795
554782-2043,2043,554782,Praha hl.m.,3,18931
554782-2044,2044,554782,Praha hl.m.,0,21348
554782-2045,2045,554782,Praha hl.m.,4,15874
554782-3001,3001,554782,Praha hl.m.,3,22893
554782-3002,3002,554782,Praha hl.m.,3,20531
554782-3003,3003,554782,Praha hl.m.,3,15456
554782-3004,3004,554782,Praha hl.m.,3,15915
554782-3005,3005,554782,Praha hl.m.,3,17541
554782-3006,3006,554782,Praha hl.m.,3,20236
554782-3007,3007,554782,Praha hl.m.,3,22922
554782-3008,3008,554782,Praha hl.m.,4,31493
554782-3009,3009,554782,Praha hl.m.,0,30082
554782-3010,3010,554782,Praha hl.m.,0,22042
554782-3011,3011,554782,Praha hl.m.,0,29095
554782-3012,3012,554782,Praha hl.m.,4,18306
554782-3013,3013,554782,Praha hl.m.,1,23562
554782-3014,3014,554782,Praha hl.m.,4,29606
554782-3015,3015,554782,Praha hl.m.,0,26120
554782-3016,3016,554782,Praha hl.m.,2,26000
554782-3017,3017,554782,Praha hl.m.,3,29284
554782-3018,3018,554782,Praha hl.m.,0,23565
554782-3019,3019,554782,Praha hl.m.,0,19810
554782-3020,3020,554782,Praha hl.m.,4,26682
554782-3021,3021,554782,Praha hl.m.,0,24035
554782-3022,3022,554782,Praha hl.m.,3,28098
554782-3023,3023,554782,Praha hl.m.,3,29715
554782-3024,3024,554782,Praha hl.m.,3,28198
554782-3025,3025,554782,Praha hl.m.,0,27087
554782-3026,3026,554782,Praha hl.m.,0,26755
554782-3027,3027,554782,Praha hl.m.,3,28816
554782-3028,3028,554782,Praha hl.m.,0,22088
554782-3029,3029,554782,Praha hl.m.,3,26859
554782-3030,3030,554782,Praha hl.m.,0,27043
554782-3031,3031,554782,Praha hl.m.,3,26664
554782-3032,3032,554782,Praha hl.m.,0,29614
554782-3033,3033,554782,Praha hl.m.,3,29244
554782-3034,3034,554782,Praha hl.m.,0,25282
554782-3035,3035,554782,Praha hl.m.,2,17111
554782-3036,3036,554782,Praha hl.m.,4,25713
554782-3037,3037,554782,Praha hl.m.,0,20679
554782-3038,3038,554782,Praha hl.m.,2,24993
554782-3039,3039,554782,Praha hl.m.,4,19893
554782-3040,3040,554782,Praha hl.m.,0,25802
554782-3041,3041,554782,Praha hl.m.,4,26936
554782-3042,3042,554782,Praha hl.m.,0,30520
554782-3043,3043,554782,Praha hl.m.,2,26614
