OKRSEK,STRANA,HLASY,batch
76,1,86,16
76,2,353,16
76,3,41,16
76,4,589,16
76,5,236,16
76,6,504,16
76,7,1,16
76,8,0,16
76,9,0,16
76,10,207,16
3,1,95,22
3,2,1342,22
3,3,378,22
3,4,1172,22
3,5,402,22
3,6,649,22
3,7,40,22
3,8,40,22
3,9,9,22
3,10,975,22
50,1,162,35
50,2,3694,35
50,3,626,35
50,4,2171,35
50,5,1580,35
50,6,797,35
50,7,316,35
50,8,52,35
50,9,400,35
50,10,1553,35
43,1,155,35
43,2,1678,35
43,3,389,35
43,4,2019,35
43,5,642,35
43,6,195,35
43,7,60,35
43,8,40,35
43,9,79,35
43,10,429,35
59,1,26,36
59,2,3029,36
59,3,329,36
59,4,2637,36
59,5,1358,36
59,6,678,36
59,7,179,36
59,8,118,36
59,9,92,36
59,10,1177,36
34,1,41,37
34,2,869,37
34,3,305,37
34,4,2604,37
34,5,797,37
34,6,802,37
34,7,349,37
34,8,55,37
34,9,1,37
34,10,613,37
35,1,393,38
35,2,2759,38
35,3,512,38
35,4,2407,38
35,5,1267,38
35,6,925,38
35,7,168,38
35,8,2,38
35,9,101,38
35,10,1305,38
57,1,320,39
57,2,2989,39
57,3,602,39
57,4,3088,39
57,5,1640,39
57,6,1343,39
57,7,234,39
57,8,23,39
57,9,11,39
57,10,1439,39
14,1,125,39
14,2,2108,39
14,3,800,39
14,4,4052,39
14,5,2265,39
14,6,1850,39
14,7,94,39
14,8,46,39
14,9,167,39
14,10,448,39
41,1,265,40
41,2,2232,40
41,3,307,40
41,4,1950,40
41,5,1122,40
41,6,536,40
41,7,258,40
41,8,90,40
41,9,134,40
41,10,1149,40
63,1,61,40
63,2,3237,40
63,3,1029,40
63,4,3921,40
63,5,1622,40
63,6,825,40
63,7,115,40
63,8,83,40
63,9,405,40
63,10,979,40
5,1,86,41
5,2,2126,41
5,3,702,41
5,4,1983,41
5,5,813,41
5,6,1066,41
5,7,260,41
5,8,236,41
5,9,88,41
5,10,1141,41
20,1,381,43
20,2,4552,43
20,3,796,43
20,4,4435,43
20,5,2273,43
20,6,1270,43
20,7,242,43
20,8,384,43
20,9,187,43
20,10,1527,43
1005,1,166,44
1005,2,1788,44
1005,3,359,44
1005,4,2009,44
1005,5,271,44
1005,6,605,44
1005,7,141,44
1005,8,0,44
1005,9,117,44
1005,10,557,44
12,1,125,45
12,2,1878,45
12,3,1070,45
12,4,3037,45
12,5,2099,45
12,6,822,45
12,7,85,45
12,8,80,45
12,9,85,45
12,10,913,45
52,1,170,45
52,2,5334,45
52,3,833,45
52,4,2247,45
52,5,1054,45
52,6,676,45
52,7,265,45
52,8,291,45
52,9,29,45
52,10,2011,45
22,1,202,45
22,2,2981,45
22,3,582,45
22,4,2121,45
22,5,1263,45
22,6,396,45
22,7,128,45
22,8,185,45
22,9,243,45
22,10,394,45
10,1,98,45
10,2,2586,45
10,3,1025,45
10,4,3550,45
10,5,1630,45
10,6,817,45
10,7,263,45
10,8,292,45
10,9,216,45
10,10,1131,45
2,1,159,46
2,2,2959,46
2,3,694,46
2,4,1932,46
2,5,1272,46
2,6,648,46
2,7,214,46
2,8,3,46
2,9,124,46
2,10,915,46
56,1,130,48
56,2,2475,48
56,3,367,48
56,4,2120,48
56,5,1150,48
56,6,403,48
56,7,228,48
56,8,169,48
56,9,92,48
56,10,1221,48
32,1,121,48
32,2,4325,48
32,3,958,48
32,4,3380,48
32,5,1115,48
32,6,410,48
32,7,318,48
32,8,168,48
32,9,486,48
32,10,1135,48
45,1,170,48
45,2,4015,48
45,3,607,48
45,4,2989,48
45,5,2148,48
45,6,1050,48
45,7,401,48
45,8,96,48
45,9,245,48
45,10,1365,48
31,1,84,48
31,2,2442,48
31,3,399,48
31,4,2983,48
31,5,1114,48
31,6,798,48
31,7,73,48
31,8,82,48
31,9,161,48
31,10,1341,48
1001,1,13,49
1001,2,4369,49
1001,3,608,49
1001,4,5737,49
1001,5,1070,49
1001,6,1390,49
1001,7,316,49
1001,8,122,49
1001,9,43,49
1001,10,995,49
6,1,196,49
6,2,3286,49
6,3,912,49
6,4,2609,49
6,5,1764,49
6,6,818,49
6,7,79,49
6,8,237,49
6,9,195,49
6,10,1089,49
49,1,171,49
49,2,3155,49
49,3,634,49
49,4,1777,49
49,5,1539,49
49,6,315,49
49,7,149,49
49,8,98,49
49,9,65,49
49,10,1200,49
28,1,297,49
28,2,4694,49
28,3,545,49
28,4,4535,49
28,5,2037,49
28,6,1020,49
28,7,90,49
28,8,1041,49
28,9,179,49
28,10,1316,49
29,1,134,50
29,2,3606,50
29,3,645,50
29,4,3851,50
29,5,1120,50
29,6,1209,50
29,7,100,50
29,8,337,50
29,9,280,50
29,10,1334,50
75,1,173,51
75,2,894,51
75,3,357,51
75,4,2218,51
75,5,707,51
75,6,488,51
75,7,233,51
75,8,79,51
75,9,2,51
75,10,360,51
71,1,227,52
71,2,3918,52
71,3,844,52
71,4,2754,52
71,5,2108,52
71,6,1404,52
71,7,330,52
71,8,156,52
71,9,6,52
71,10,2229,52
24,1,216,52
24,2,4366,52
24,3,473,52
24,4,3227,52
24,5,1822,52
24,6,870,52
24,7,204,52
24,8,82,52
24,9,83,52
24,10,1377,52
40,1,323,53
40,2,4502,53
40,3,827,53
40,4,3247,53
40,5,2271,53
40,6,972,53
40,7,213,53
40,8,124,53
40,9,145,53
40,10,1602,53
47,1,99,53
47,2,2711,53
47,3,656,53
47,4,2576,53
47,5,1642,53
47,6,1386,53
47,7,106,53
47,8,142,53
47,9,77,53
47,10,1253,53
54,1,216,53
54,2,3082,53
54,3,739,53
54,4,3539,53
54,5,944,53
54,6,1335,53
54,7,260,53
54,8,279,53
54,9,161,53
54,10,2210,53
1,1,432,53
1,2,1920,53
1,3,870,53
1,4,2684,53
1,5,1022,53
1,6,1030,53
1,7,199,53
1,8,86,53
1,9,132,53
1,10,1598,53
1006,1,234,53
1006,2,4592,53
1006,3,661,53
1006,4,4557,53
1006,5,796,53
1006,6,1631,53
1006,7,200,53
1006,8,235,53
1006,9,164,53
1006,10,1520,53
64,1,133,54
64,2,3075,54
64,3,1018,54
64,4,7552,54
64,5,3279,54
64,6,1975,54
64,7,494,54
64,8,394,54
64,9,168,54
64,10,1044,54
25,1,251,54
25,2,4161,54
25,3,384,54
25,4,3057,54
25,5,1332,54
25,6,1216,54
25,7,534,54
25,8,148,54
25,9,198,54
25,10,1137,54
60,1,224,54
60,2,3910,54
60,3,860,54
60,4,2719,54
60,5,2337,54
60,6,589,54
60,7,278,54
60,8,136,54
60,9,187,54
60,10,1091,54
39,1,120,55
39,2,4175,55
39,3,625,55
39,4,2921,55
39,5,1407,55
39,6,1088,55
39,7,2,55
39,8,169,55
39,9,182,55
39,10,1134,55
53,1,295,55
53,2,4543,55
53,3,1120,55
53,4,4215,55
53,5,2323,55
53,6,1593,55
53,7,299,55
53,8,203,55
53,9,412,55
53,10,2278,55
1002,1,386,56
1002,2,4902,56
1002,3,691,56
1002,4,5146,56
1002,5,1308,56
1002,6,861,56
1002,7,361,56
1002,8,328,56
1002,9,9,56
1002,10,1221,56
33,1,416,56
33,2,4158,56
33,3,805,56
33,4,3858,56
33,5,1911,56
33,6,1255,56
33,7,175,56
33,8,422,56
33,9,162,56
33,10,1736,56
68,1,246,57
68,2,4194,57
68,3,660,57
68,4,4256,57
68,5,2157,57
68,6,1824,57
68,7,376,57
68,8,60,57
68,9,12,57
68,10,2221,57
8,1,169,57
8,2,2211,57
8,3,982,57
8,4,2876,57
8,5,1853,57
8,6,1319,57
8,7,256,57
8,8,162,57
8,9,79,57
8,10,1579,57
46,1,324,57
46,2,3918,57
46,3,1641,57
46,4,3136,57
46,5,2182,57
46,6,1483,57
46,7,100,57
46,8,105,57
46,9,466,57
46,10,2099,57
61,1,298,57
61,2,4676,57
61,3,971,57
61,4,4182,57
61,5,2606,57
61,6,1396,57
61,7,258,57
61,8,168,57
61,9,100,57
61,10,840,57
21,1,269,59
21,2,4572,59
21,3,438,59
21,4,3406,59
21,5,1940,59
21,6,1079,59
21,7,183,59
21,8,279,59
21,9,200,59
21,10,147,59
74,1,211,59
74,2,1465,59
74,3,768,59
74,4,2405,59
74,5,1389,59
74,6,1259,59
74,7,108,59
74,8,1,59
74,9,202,59
74,10,873,59
1003,1,236,60
1003,2,3522,60
1003,3,675,60
1003,4,6121,60
1003,5,1940,60
1003,6,1238,60
1003,7,160,60
1003,8,293,60
1003,9,128,60
1003,10,1575,60
1007,1,319,61
1007,2,2201,61
1007,3,706,61
1007,4,4167,61
1007,5,1329,61
1007,6,1624,61
1007,7,254,61
1007,8,120,61
1007,9,152,61
1007,10,977,61
26,1,372,63
26,2,3388,63
26,3,554,63
26,4,3166,63
26,5,1510,63
26,6,385,63
26,7,322,63
26,8,397,63
26,9,116,63
26,10,1645,63
7,1,220,63
7,2,3139,63
7,3,1234,63
7,4,5053,63
7,5,1811,63
7,6,1186,63
7,7,189,63
7,8,288,63
7,9,144,63
7,10,1628,63
70,1,168,64
70,2,4290,64
70,3,568,64
70,4,4592,64
70,5,2636,64
70,6,1425,64
70,7,422,64
70,8,115,64
70,9,83,64
70,10,2229,64
38,1,86,64
38,2,4155,64
38,3,936,64
38,4,3549,64
38,5,879,64
38,6,2101,64
38,7,326,64
38,8,89,64
38,9,303,64
38,10,2158,64
58,1,211,65
58,2,4276,65
58,3,1762,65
58,4,3877,65
58,5,2486,65
58,6,1932,65
58,7,273,65
58,8,198,65
58,9,175,65
58,10,1504,65
72,1,159,66
72,2,4132,66
72,3,983,66
72,4,4499,66
72,5,1561,66
72,6,1144,66
72,7,199,66
72,8,132,66
72,9,194,66
72,10,2320,66
48,1,355,66
48,2,3573,66
48,3,832,66
48,4,1664,66
48,5,945,66
48,6,368,66
48,7,254,66
48,8,100,66
48,9,130,66
48,10,701,66
15,1,140,66
15,2,3806,66
15,3,1830,66
15,4,6918,66
15,5,4209,66
15,6,3143,66
15,7,274,66
15,8,196,66
15,9,138,66
15,10,959,66
16,1,158,69
16,2,2357,69
16,3,402,69
16,4,3229,69
16,5,1828,69
16,6,1080,69
16,7,121,69
16,8,81,69
16,9,121,69
16,10,757,69
80,1,174,69
80,2,3131,69
80,3,586,69
80,4,3428,69
80,5,1064,69
80,6,1365,69
80,7,34,69
80,8,162,69
80,9,282,69
80,10,360,69
79,1,95,69
79,2,4163,69
79,3,1225,69
79,4,3491,69
79,5,2233,69
79,6,1066,69
79,7,315,69
79,8,166,69
79,9,218,69
79,10,1291,69
55,1,129,70
55,2,4873,70
55,3,844,70
55,4,2977,70
55,5,1402,70
55,6,992,70
55,7,171,70
55,8,122,70
55,9,321,70
55,10,2003,70
51,1,221,70
51,2,4846,70
51,3,679,70
51,4,3793,70
51,5,2117,70
51,6,991,70
51,7,229,70
51,8,130,70
51,9,165,70
51,10,885,70
37,1,130,70
37,2,3811,70
37,3,843,70
37,4,4117,70
37,5,1260,70
37,6,1042,70
37,7,247,70
37,8,81,70
37,9,54,70
37,10,1657,70
18,1,189,72
18,2,5356,72
18,3,769,72
18,4,6288,72
18,5,2739,72
18,6,1942,72
18,7,640,72
18,8,242,72
18,9,269,72
18,10,1920,72
66,1,224,72
66,2,3346,72
66,3,797,72
66,4,3640,72
66,5,2764,72
66,6,1889,72
66,7,286,72
66,8,81,72
66,9,171,72
66,10,1022,72
36,1,31,72
36,2,2421,72
36,3,1044,72
36,4,3379,72
36,5,1683,72
36,6,905,72
36,7,296,72
36,8,171,72
36,9,122,72
36,10,1023,72
19,1,106,73
19,2,2450,73
19,3,983,73
19,4,4681,73
19,5,1833,73
19,6,1887,73
19,7,276,73
19,8,56,73
19,9,207,73
19,10,623,73
44,1,240,74
44,2,3894,74
44,3,1374,74
44,4,5399,74
44,5,3216,74
44,6,1971,74
44,7,355,74
44,8,261,74
44,9,316,74
44,10,1798,74
9,1,66,74
9,2,2216,74
9,3,933,74
9,4,4393,74
9,5,1969,74
9,6,1895,74
9,7,213,74
9,8,121,74
9,9,94,74
9,10,733,74
62,1,333,75
62,2,4724,75
62,3,1574,75
62,4,5632,75
62,5,2187,75
62,6,1870,75
62,7,216,75
62,8,82,75
62,9,179,75
62,10,1502,75
11,1,158,76
11,2,4468,76
11,3,1019,76
11,4,3775,76
11,5,1649,76
11,6,1857,76
11,7,114,76
11,8,163,76
11,9,168,76
11,10,1342,76
1004,1,292,77
1004,2,4135,77
1004,3,742,77
1004,4,8178,77
1004,5,1092,77
1004,6,1717,77
1004,7,517,77
1004,8,342,77
1004,9,139,77
1004,10,1596,77
78,1,280,79
78,2,2862,79
78,3,894,79
78,4,3361,79
78,5,2186,79
78,6,1356,79
78,7,282,79
78,8,8,79
78,9,170,79
78,10,1524,79
73,1,984,79
73,2,3011,79
73,3,929,79
73,4,3100,79
73,5,1186,79
73,6,957,79
73,7,364,79
73,8,3,79
73,9,167,79
73,10,1302,79
30,1,323,82
30,2,5097,82
30,3,664,82
30,4,3427,82
30,5,1109,82
30,6,1320,82
30,7,439,82
30,8,403,82
30,9,175,82
30,10,1773,82
13,1,75,83
13,2,783,83
13,3,290,83
13,4,2041,83
13,5,883,83
13,6,729,83
13,7,82,83
13,8,12,83
13,9,40,83
13,10,412,83
27,1,267,84
27,2,5625,84
27,3,1062,84
27,4,6401,84
27,5,2587,84
27,6,2556,84
27,7,316,84
27,8,240,84
27,9,281,84
27,10,2031,84
17,1,415,85
17,2,3811,85
17,3,1555,85
17,4,6546,85
17,5,1998,85
17,6,2931,85
17,7,387,85
17,8,166,85
17,9,128,85
17,10,1193,85
23,1,304,86
23,2,4981,86
23,3,752,86
23,4,4086,86
23,5,1817,86
23,6,1579,86
23,7,357,86
23,8,339,86
23,9,36,86
23,10,2186,86
