index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,color,inverse
10372,5302,555134,Pardubice,1,1,1387,1387,Koalice pro Pardubice,Koalice pro Pardubice,KDU+Nestr.+TOP,3,"001,181,721",69755.0,7.18,3.0,39,1,KDU+Nestr.+TOP,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1.0,#ffd62e,1.0
10373,5302,555134,Pardubice,1,2,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,109059.0,11.22,5.0,39,720,Piráti,Piráti,Česká pirátská strana,720.0,#222222,1.0
10374,5302,555134,Pardubice,1,3,449,449,Sdružení pro Pardubice,Sdružení pro Pardubice,,2,"080,129",59756.0,6.15,3.0,39,80,,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
10375,5302,555134,Pardubice,1,4,482,482,ZA PRÁVA ZVÍŘAT A ZDRAVOU PŘÍRODU - sdružení DSZ a NK,ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU,,2,"080,715",1062.0,1.42,0.0,3,80,,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
10376,5302,555134,Pardubice,1,5,53,53,Občanská demokratická strana,Občanská demokratická strana,ODS,1,053,141752.0,14.59,7.0,39,53,ODS,ODS,Občanská demokratická strana,53.0,#4175e0,1.0
10377,5302,555134,Pardubice,1,6,47,47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,50056.0,5.15,2.0,39,47,KSČM,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b,1.0
10378,5302,555134,Pardubice,1,7,1386,1386,"Pardubáci společně: Pardubáci, Patrioti a STAN",Pardubáci společně,STAN+VČ+PATRIOT,3,"166,770,776",87027.0,8.96,4.0,39,166,STAN+VČ+PATRIOT,STAN,STAROSTOVÉ A NEZÁVISLÍ,166.0,#38c2f9,1.0
10379,5302,555134,Pardubice,1,8,371,371,Česká strana sociálně demokratická a nestraníci pro Pardubice,ČSSD a nestran. pro Pardubice,,2,"007,080",56770.0,5.84,2.0,39,7,,ČSSD,Česká strana sociálně demokratická,7.0,#f9932e,1.0
10380,5302,555134,Pardubice,1,9,785,785,PRO Zdraví a Sport,PRO Zdraví a Sport,PRO Zdraví,1,785,6764.0,0.69,0.0,39,785,PRO Zdraví,,,,,
10381,5302,555134,Pardubice,1,10,1201,1201,JAUNER Československo 2018,JAUNER Československo 2018,JAUNER,1,1201,78.0,0.31,0.0,1,1201,JAUNER,,,,,
10382,5302,555134,Pardubice,1,11,790,790,Pardubice pro lidi,Pardubice pro lidi,PPL,1,790,40387.0,4.15,0.0,39,790,PPL,,,,,
10383,5302,555134,Pardubice,1,12,1114,1114,Svoboda a přímá demokracie - Tomio Okamura (SPD),Svob.a př.dem.-T.Okamura (SPD),SPD,1,1114,37761.0,3.88,0.0,39,1114,SPD,SPD,Svoboda a přímá demokracie - Tomio Okamura (SPD),1114.0,#c05f2f,1.0
10384,5302,555134,Pardubice,1,13,768,768,ANO 2011,ANO 2011,ANO,1,768,258888.0,26.65,13.0,39,768,ANO,ANO,ANO 2011,768.0,#33cccc,0.0
10385,5302,555134,Pardubice,1,14,537,537,"NAŠE PARDUBICE - Nechme město rozkvést""""",NAŠE PARDUBICE,FairPlay.cz+NK,2,"080,782",47925.0,4.93,0.0,39,80,FairPlay.cz+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
10386,5302,555134,Pardubice,1,15,716,716,Strana soukromníků České republiky,Strana soukromníků ČR,Soukromníci,1,716,4107.0,0.42,0.0,39,716,Soukromníci,,,,,
