OKRSEK,STRANA,HLASY,batch
56001,19,0,38
56001,20,60,38
56001,21,1302,38
56001,22,149,38
14013,1,257,38
14013,2,66,38
14013,3,135,38
14013,4,2096,38
14013,5,66,38
14013,6,602,38
14013,7,2,38
14013,8,1292,38
14013,9,386,38
14013,10,138,38
14013,11,15,38
14013,12,1,38
14013,13,65,38
14013,14,2707,38
14013,15,133,38
14013,16,783,38
14013,17,0,38
14013,18,0,38
14013,19,0,38
14013,20,42,38
14013,21,4885,38
14013,22,0,38
10109,1,73,38
10109,2,65,38
10109,3,64,38
10109,4,264,38
10109,5,65,38
10109,6,464,38
10109,7,0,38
10109,8,1506,38
10109,9,561,38
10109,10,0,38
10109,11,0,38
10109,12,0,38
10109,13,260,38
10109,14,1241,38
10109,15,64,38
10109,16,1109,38
10109,17,0,38
10109,18,0,38
10109,19,0,38
10109,20,21,38
10109,21,2101,38
10109,22,0,38
5008,1,86,40
5008,2,4,40
5008,3,6,40
5008,4,1274,40
5008,5,12,40
5008,6,443,40
5008,7,3,40
5008,8,1917,40
5008,9,325,40
5008,10,66,40
5008,11,0,40
5008,12,0,40
5008,13,266,40
5008,14,2123,40
5008,15,195,40
5008,16,733,40
5008,17,97,40
5008,18,0,40
5008,19,0,40
5008,20,3,40
5008,21,1431,40
5008,22,65,40
5014,1,0,40
5014,2,3,40
5014,3,70,40
5014,4,1324,40
5014,5,0,40
5014,6,601,40
5014,7,1,40
5014,8,2105,40
5014,9,139,40
5014,10,263,40
5014,11,2,40
5014,12,1,40
5014,13,75,40
5014,14,2647,40
5014,15,471,40
5014,16,586,40
5014,17,46,40
5014,18,18,40
5014,19,0,40
5014,20,68,40
5014,21,1556,40
5014,22,7,40
4025,1,337,40
4025,2,70,40
4025,3,266,40
4025,4,880,40
4025,5,119,40
4025,6,720,40
4025,7,1,40
4025,8,2691,40
4025,9,208,40
4025,10,201,40
4025,11,0,40
4025,12,1,40
4025,13,199,40
4025,14,3126,40
4025,15,384,40
4025,16,1261,40
4025,17,48,40
4025,18,0,40
4025,19,6,40
4025,20,68,40
4025,21,2126,40
4025,22,1,40
16004,1,65,40
16004,2,3,40
16004,3,132,40
16004,4,783,40
16004,5,132,40
16004,6,718,40
16004,7,1,40
16004,8,2674,40
16004,9,326,40
16004,10,200,40
16004,11,0,40
16004,12,0,40
16004,13,130,40
16004,14,3307,40
16004,15,404,40
16004,16,516,40
16004,17,44,40
16004,18,0,40
16004,19,0,40
16004,20,21,40
16004,21,1246,40
16004,22,66,40
5009,1,399,40
5009,2,68,40
5009,3,71,40
5009,4,2604,40
5009,5,133,40
5009,6,780,40
5009,7,1,40
5009,8,2589,40
5009,9,337,40
5009,10,2,40
5009,11,1,40
5009,12,3,40
5009,13,390,40
5009,14,2552,40
5009,15,21,40
5009,16,385,40
5009,17,3,40
5009,18,31,40
5009,19,6,40
5009,20,86,40
5009,21,1193,40
5009,22,5,40
11019,1,199,40
11019,2,66,40
11019,3,192,40
11019,4,881,40
11019,5,196,40
11019,6,855,40
11019,7,5,40
11019,8,2967,40
11019,9,391,40
11019,10,343,40
11019,11,13,40
11019,12,0,40
11019,13,266,40
11019,14,3288,40
11019,15,132,40
11019,16,678,40
11019,17,0,40
11019,18,9,40
11019,19,0,40
11019,20,0,40
11019,21,7161,40
11019,22,0,40
14009,1,370,41
14009,2,72,41
14009,3,390,41
14009,4,2353,41
14009,5,80,41
14009,6,875,41
14009,7,2,41
14009,8,2557,41
14009,9,737,41
14009,10,2,41
14009,11,5,41
14009,12,2,41
14009,13,265,41
14009,14,2588,41
14009,15,71,41
14009,16,1380,41
14009,17,0,41
14009,18,18,41
14009,19,6,41
14009,20,23,41
14009,21,5774,41
14009,22,0,41
4026,1,194,41
4026,2,0,41
4026,3,64,41
4026,4,2839,41
4026,5,65,41
4026,6,1136,41
4026,7,1,41
4026,8,4293,41
4026,9,65,41
4026,10,130,41
4026,11,0,41
4026,12,0,41
4026,13,130,41
4026,14,4013,41
4026,15,622,41
4026,16,780,41
4026,17,0,41
4026,18,0,41
4026,19,0,41
4026,20,0,41
4026,21,2015,41
4026,22,67,41
13029,1,107,42
13029,2,155,42
13029,3,19,42
13029,4,1541,42
13029,5,145,42
13029,6,1112,42
