OKRSEK,STRANA,HLASY,batch
545384-1,4,4,1
545384-1,8,1,1
545384-1,12,1,1
545384-1,13,3,1
545384-1,17,1,1
545384-1,18,3,1
545384-1,20,7,1
999997-66,5,1,1
999997-66,13,6,1
999997-66,17,4,1
550850-9,4,3,2
550850-9,5,2,2
550850-9,12,1,2
550850-9,13,12,2
550850-9,17,5,2
550850-9,18,1,2
550850-9,20,8,2
580783-1,3,3,2
580783-1,4,10,2
580783-1,5,3,2
580783-1,8,1,2
580783-1,10,1,2
580783-1,13,6,2
580783-1,17,4,2
580783-1,20,5,2
597678-6,1,1,2
597678-6,3,3,2
597678-6,4,2,2
597678-6,8,2,2
597678-6,13,8,2
597678-6,17,3,2
597678-6,18,2,2
597678-6,20,12,2
597678-6,22,1,2
572241-11,1,1,3
572241-11,4,4,3
572241-11,5,2,3
572241-11,13,4,3
572241-11,18,1,3
572241-11,20,24,3
572241-11,21,1,3
588261-1,1,1,3
588261-1,2,4,3
588261-1,4,3,3
588261-1,5,1,3
588261-1,13,22,3
588261-1,17,7,3
588261-1,20,2,3
554294-4,2,1,3
554294-4,4,4,3
554294-4,5,3,3
554294-4,12,4,3
554294-4,13,7,3
554294-4,14,1,3
554294-4,17,4,3
554294-4,18,1,3
554294-4,20,26,3
598976-1,4,5,3
598976-1,5,4,3
598976-1,8,3,3
598976-1,13,15,3
598976-1,17,3,3
598976-1,20,11,3
561754-1,2,1,3
561754-1,3,2,3
561754-1,4,3,3
561754-1,8,3,3
561754-1,12,1,3
561754-1,13,11,3
561754-1,17,7,3
561754-1,18,2,3
561754-1,20,3,3
561754-1,21,1,3
561754-1,22,1,3
587630-1,1,1,3
587630-1,4,4,3
587630-1,5,2,3
587630-1,8,2,3
587630-1,13,12,3
587630-1,17,3,3
587630-1,18,2,3
587630-1,20,6,3
587630-1,21,2,3
576271-8,4,3,3
576271-8,5,6,3
576271-8,12,1,3
576271-8,13,4,3
576271-8,17,3,3
576271-8,18,2,3
576271-8,20,8,3
576271-8,21,2,3
586854-1,1,3,3
586854-1,4,10,3
586854-1,5,7,3
586854-1,12,10,3
586854-1,13,18,3
586854-1,17,7,3
586854-1,18,10,3
586854-1,20,25,3
586854-1,21,1,3
586854-1,22,3,3
566101-1,1,1,3
566101-1,4,6,3
566101-1,5,5,3
566101-1,12,1,3
566101-1,13,8,3
566101-1,17,7,3
566101-1,18,8,3
566101-1,20,16,3
559946-1,4,9,3
559946-1,5,2,3
559946-1,12,5,3
559946-1,13,4,3
559946-1,17,1,3
559946-1,20,19,3
548499-1,4,2,3
548499-1,5,2,3
548499-1,13,1,3
548499-1,17,5,3
548499-1,18,1,3
548499-1,20,10,3
529869-1,4,2,3
529869-1,5,2,3
529869-1,12,1,3
529869-1,13,1,3
529869-1,17,10,3
529869-1,18,2,3
529869-1,20,17,3
587214-1,4,3,3
587214-1,5,5,3
587214-1,13,19,3
587214-1,17,8,3
587214-1,18,1,3
587214-1,20,3,3
549584-2,3,4,3
549584-2,4,6,3
549584-2,5,2,3
549584-2,8,2,3
549584-2,12,5,3
549584-2,13,17,3
549584-2,17,18,3
549584-2,20,9,3
549584-2,21,1,3
529966-1,1,1,3
529966-1,3,1,3
529966-1,4,12,3
529966-1,5,7,3
529966-1,8,3,3
529966-1,12,8,3
529966-1,13,23,3
529966-1,17,10,3
529966-1,18,6,3
529966-1,20,19,3
568104-1,1,4,3
568104-1,3,2,3
568104-1,4,2,3
568104-1,5,1,3
568104-1,8,5,3
568104-1,12,2,3
568104-1,13,12,3
568104-1,17,8,3
568104-1,18,1,3
568104-1,20,19,3
568104-1,21,1,3
545384-4,4,4,3
545384-4,5,3,3
545384-4,13,5,3
545384-4,17,1,3
545384-4,20,7,3
562335-20,4,8,3
562335-20,5,2,3
562335-20,8,3,3
562335-20,12,3,3
562335-20,13,6,3
562335-20,17,11,3
562335-20,18,5,3
562335-20,20,20,3
551953-2,1,2,3
551953-2,3,1,3
551953-2,4,13,3
551953-2,8,2,3
551953-2,12,4,3
551953-2,13,27,3
551953-2,17,7,3
551953-2,18,2,3
551953-2,20,19,3
570478-3,2,1,3
570478-3,3,3,3
570478-3,4,4,3
570478-3,5,4,3
570478-3,12,1,3
570478-3,13,12,3
570478-3,17,11,3
570478-3,18,5,3
570478-3,20,47,3
570478-3,21,1,3
544957-1,4,4,3
544957-1,5,8,3
544957-1,8,2,3
544957-1,13,2,3
544957-1,17,3,3
544957-1,18,2,3
544957-1,20,19,3
530361-1,4,3,4
530361-1,5,1,4
530361-1,12,1,4
530361-1,13,11,4
530361-1,17,8,4
530361-1,20,10,4
554294-5,3,3,4
554294-5,4,7,4
554294-5,5,3,4
554294-5,12,3,4
554294-5,13,25,4
554294-5,15,1,4
554294-5,17,12,4
554294-5,18,4,4
554294-5,20,17,4
502081-2010,1,2,4
502081-2010,4,7,4
502081-2010,5,2,4
502081-2010,8,2,4
502081-2010,12,4,4
502081-2010,13,5,4
502081-2010,17,4,4
502081-2010,20,24,4
595411-8,4,5,4
595411-8,5,5,4
595411-8,8,7,4
595411-8,12,1,4
595411-8,13,12,4
595411-8,17,3,4
595411-8,20,23,4
566373-1,1,1,4
566373-1,3,1,4
566373-1,4,3,4
566373-1,5,5,4
566373-1,13,13,4
566373-1,17,7,4
566373-1,18,1,4
566373-1,20,13,4
536156-1,4,2,4
536156-1,5,8,4
536156-1,8,2,4
536156-1,12,8,4
536156-1,13,15,4
536156-1,17,6,4
536156-1,18,3,4
536156-1,20,14,4
536156-1,21,1,4
548383-2,4,2,4
548383-2,5,4,4
548383-2,8,1,4
548383-2,12,6,4
548383-2,13,13,4
548383-2,17,5,4
548383-2,18,1,4
548383-2,20,11,4
530671-1,4,4,4
530671-1,5,2,4
530671-1,9,1,4
530671-1,12,4,4
530671-1,13,7,4
530671-1,17,8,4
530671-1,18,1,4
530671-1,20,20,4
556254-7,1,1,4
556254-7,4,17,4
556254-7,5,1,4
556254-7,12,2,4
556254-7,13,5,4
556254-7,17,5,4
556254-7,18,8,4
556254-7,20,17,4
550850-10,1,2,4
550850-10,4,2,4
550850-10,5,1,4
550850-10,9,1,4
550850-10,13,4,4
550850-10,17,1,4
550850-10,20,14,4
573591-1,4,3,4
573591-1,5,1,4
573591-1,8,1,4
573591-1,12,4,4
573591-1,13,16,4
573591-1,16,15,4
573591-1,17,1,4
573591-1,18,1,4
573591-1,20,8,4
550591-1,5,1,4
550591-1,12,2,4
550591-1,13,22,4
550591-1,17,4,4
550591-1,18,1,4
550591-1,20,12,4
548537-1,1,1,4
548537-1,3,2,4
548537-1,4,1,4
548537-1,5,4,4
548537-1,12,3,4
548537-1,13,10,4
548537-1,17,4,4
548537-1,18,1,4
548537-1,20,9,4
565971-21,3,1,4
565971-21,4,4,4
565971-21,5,1,4
565971-21,8,7,4
565971-21,9,1,4
565971-21,13,13,4
565971-21,17,4,4
565971-21,18,2,4
565971-21,20,25,4
556955-7,2,2,4
556955-7,4,6,4
556955-7,5,1,4
556955-7,8,2,4
556955-7,12,1,4
556955-7,13,8,4
556955-7,17,3,4
556955-7,18,5,4
556955-7,20,28,4
556955-7,21,1,4
598704-1,1,2,4
598704-1,3,7,4
598704-1,4,5,4
598704-1,5,4,4
598704-1,12,6,4
598704-1,13,10,4
598704-1,17,17,4
598704-1,18,2,4
598704-1,20,17,4
580708-2,1,1,4
580708-2,4,6,4
580708-2,5,4,4
580708-2,7,1,4
580708-2,8,3,4
580708-2,13,16,4
580708-2,17,14,4
580708-2,18,5,4
580708-2,20,8,4
587559-1,1,1,4
587559-1,3,2,4
587559-1,4,7,4
587559-1,5,5,4
587559-1,12,6,4
587559-1,13,16,4
587559-1,17,15,4
587559-1,18,8,4
587559-1,20,10,4
587559-1,21,1,4
587559-1,22,1,4
573744-1,1,1,4
573744-1,3,1,4
573744-1,4,6,4
573744-1,5,13,4
573744-1,8,7,4
573744-1,12,1,4
573744-1,13,13,4
573744-1,17,18,4
573744-1,18,7,4
573744-1,20,35,4
545384-6,3,3,4
545384-6,5,3,4
545384-6,12,1,4
545384-6,13,9,4
545384-6,17,4,4
545384-6,18,2,4
545384-6,20,4,4
565822-1,1,2,4
565822-1,3,1,4
565822-1,4,2,4
565822-1,5,1,4
565822-1,13,13,4
565822-1,17,14,4
565822-1,18,1,4
565822-1,20,14,4
532878-1,1,1,4
532878-1,12,2,4
532878-1,13,5,4
532878-1,17,11,4
532878-1,20,8,4
566331-1,4,2,4
566331-1,5,8,4
566331-1,9,3,4
566331-1,13,2,4
566331-1,17,2,4
566331-1,20,5,4
549509-2,3,1,4
549509-2,4,5,4
549509-2,5,5,4
549509-2,12,2,4
549509-2,13,7,4
549509-2,17,4,4
549509-2,20,4,4
599395-1,4,6,4
599395-1,8,2,4
599395-1,12,3,4
599395-1,13,7,4
599395-1,17,6,4
599395-1,18,1,4
599395-1,20,12,4
532606-1,5,6,4
532606-1,9,1,4
532606-1,13,17,4
532606-1,14,1,4
532606-1,17,9,4
532606-1,18,2,4
532606-1,20,10,4
582735-1,4,5,4
582735-1,5,2,4
582735-1,10,1,4
582735-1,12,3,4
582735-1,13,6,4
582735-1,17,12,4
582735-1,18,2,4
582735-1,19,1,4
582735-1,20,13,4
582735-1,22,1,4
553671-7,3,1,4
553671-7,4,7,4
553671-7,5,2,4
553671-7,8,2,4
553671-7,12,6,4
553671-7,13,14,4
553671-7,17,4,4
553671-7,18,4,4
553671-7,20,24,4
553671-7,21,2,4
595411-11,3,1,4
595411-11,4,4,4
595411-11,5,6,4
595411-11,12,5,4
595411-11,13,10,4
595411-11,17,12,4
595411-11,18,1,4
595411-11,20,14,4
595411-11,22,2,4
556718-4,3,1,4
556718-4,4,7,4
556718-4,5,1,4
556718-4,8,5,4
556718-4,12,8,4
556718-4,13,17,4
556718-4,16,2,4
556718-4,17,3,4
556718-4,18,6,4
556718-4,20,29,4
566080-1,3,1,4
566080-1,4,6,4
566080-1,12,2,4
566080-1,13,4,4
566080-1,17,3,4
566080-1,20,12,4
597678-5,3,1,4
597678-5,4,9,4
597678-5,5,2,4
597678-5,12,7,4
597678-5,13,5,4
597678-5,15,1,4
597678-5,17,2,4
597678-5,18,3,4
597678-5,20,10,4
