KODZASTUP,N_OKRSEK,KRAJ,MANDATY,NAZEVZAST,OKRES,POCOBYV,N_STRANA,type
554782,1123,1100,65,Praha hl.m.,1100,1275406,22,rt
582786,352,6200,55,Brno,6202,379466,14,rt
554821,268,8100,55,Ostrava,8106,279791,14,rt
554791,184,3200,47,Plzeň,3203,168733,14,rt
500119,132,1100,45,Praha 4,1100,126070,9,rt
500224,109,1100,45,Praha 10,1100,109144,9,rt
563889,87,5100,39,Liberec,5103,102951,10,rt
500208,108,1100,45,Praha 8,1100,102847,12,rt
500178,104,1100,45,Praha 6,1100,102100,10,rt
500496,96,7100,45,Olomouc,7102,99496,11,rt
546135,95,8100,45,Ostrava-Jih,8106,97226,11,rt
544256,90,3100,45,České Budějovice,3101,93426,11,rt
569810,85,5200,37,Hradec Králové,5201,90596,15,rt
554804,97,4200,37,Ústí nad Labem,4207,90378,13,rt
555134,92,5300,39,Pardubice,5302,88520,9,rt
500143,81,1100,41,Praha 5,1100,85687,12,rt
