OKRSEK,STRANA,HLASY,batch
23017,1,325,37
23017,2,133,37
23017,3,315,37
23017,4,225,37
23017,5,495,37
23017,6,540,37
23017,7,724,37
23017,8,91,37
23017,9,90,37
23017,10,225,37
23017,11,141,37
23017,12,140,37
23012,1,482,39
23012,2,93,39
23012,3,149,39
23012,4,189,39
23012,5,180,39
23012,6,551,39
23012,7,235,39
23012,8,135,39
23012,9,48,39
23012,10,358,39
23012,11,185,39
23012,12,712,39
23029,1,232,39
23029,2,250,39
23029,3,182,39
23029,4,460,39
23029,5,816,39
23029,6,1418,39
23029,7,953,39
23029,8,241,39
23029,9,685,39
23029,10,899,39
23029,11,364,39
23029,12,398,39
23030,1,737,41
23030,2,521,41
23030,3,932,41
23030,4,1373,41
23030,5,968,41
23030,6,2154,41
23030,7,1938,41
23030,8,360,41
23030,9,267,41
23030,10,1011,41
23030,11,243,41
23030,12,467,41
23027,1,963,44
23027,2,456,44
23027,3,653,44
23027,4,1212,44
23027,5,490,44
23027,6,2077,44
23027,7,1400,44
23027,8,320,44
23027,9,273,44
23027,10,508,44
23027,11,192,44
23027,12,732,44
23035,1,764,45
23035,2,463,45
23035,3,1044,45
23035,4,1424,45
23035,5,455,45
23035,6,2436,45
23035,7,2000,45
23035,8,534,45
23035,9,330,45
23035,10,883,45
23035,11,369,45
23035,12,924,45
23002,1,588,46
23002,2,371,46
23002,3,233,46
23002,4,1313,46
23002,5,227,46
23002,6,993,46
23002,7,1534,46
23002,8,103,46
23002,9,180,46
23002,10,651,46
23002,11,371,46
23002,12,824,46
23065,1,1359,47
23065,2,609,47
23065,3,499,47
23065,4,790,47
23065,5,466,47
23065,6,1934,47
23065,7,2104,47
23065,8,682,47
23065,9,272,47
23065,10,1712,47
23065,11,96,47
23065,12,882,47
23056,1,722,47
23056,2,271,47
23056,3,365,47
23056,4,860,47
23056,5,706,47
23056,6,1233,47
23056,7,2268,47
23056,8,380,47
23056,9,588,47
23056,10,1043,47
23056,11,825,47
23056,12,433,47
23053,1,635,50
23053,2,640,50
23053,3,636,50
23053,4,562,50
23053,5,506,50
23053,6,2229,50
23053,7,1967,50
23053,8,655,50
23053,9,516,50
23053,10,951,50
23053,11,163,50
23053,12,177,50
23010,1,278,50
23010,2,47,50
23010,3,10,50
23010,4,145,50
23010,5,137,50
23010,6,262,50
23010,7,272,50
23010,8,9,50
23010,9,50,50
23010,10,192,50
23010,11,362,50
23010,12,203,50
23009,1,410,55
23009,2,281,55
23009,3,250,55
23009,4,729,55
23009,5,100,55
23009,6,1067,55
23009,7,1445,55
23009,8,195,55
23009,9,141,55
23009,10,781,55
23009,11,46,55
23009,12,668,55
23028,1,777,55
23028,2,720,55
23028,3,767,55
23028,4,1174,55
23028,5,498,55
23028,6,1858,55
23028,7,1792,55
23028,8,322,55
23028,9,361,55
23028,10,1110,55
23028,11,271,55
23028,12,577,55
23022,1,1145,57
23022,2,465,57
23022,3,632,57
23022,4,1129,57
23022,5,505,57
23022,6,1987,57
23022,7,2567,57
23022,8,626,57
23022,9,542,57
23022,10,1269,57
23022,11,361,57
23022,12,851,57
23034,1,948,58
23034,2,781,58
23034,3,925,58
23034,4,1294,58
23034,5,653,58
23034,6,2079,58
23034,7,2401,58
23034,8,204,58
23034,9,506,58
23034,10,1232,58
23034,11,248,58
23034,12,1184,58
23019,1,542,60
23019,2,382,60
23019,3,390,60
23019,4,531,60
23019,5,363,60
23019,6,1228,60
23019,7,1401,60
23019,8,98,60
23019,9,741,60
23019,10,1004,60
23019,11,92,60
23019,12,673,60
23014,1,271,60
23014,2,208,60
23014,3,212,60
23014,4,293,60
23014,5,270,60
23014,6,195,60
23014,7,634,60
23014,8,165,60
23014,9,7,60
23014,10,760,60
23014,11,89,60
23014,12,627,60
23024,1,516,60
23024,2,291,60
23024,3,839,60
23024,4,823,60
23024,5,405,60
23024,6,2936,60
23024,7,1860,60
23024,8,372,60
23024,9,435,60
23024,10,1103,60
23024,11,176,60
23024,12,432,60
23052,1,569,63
23052,2,280,63
23052,3,533,63
23052,4,772,63
23052,5,497,63
23052,6,1546,63
23052,7,1608,63
23052,8,51,63
23052,9,364,63
23052,10,633,63
23052,11,320,63
23052,12,440,63
23060,1,471,65
23060,2,635,65
23060,3,369,65
23060,4,554,65
23060,5,225,65
23060,6,1390,65
23060,7,1709,65
23060,8,262,65
23060,9,407,65
23060,10,1064,65
23060,11,374,65
23060,12,849,65
23050,1,1261,65
23050,2,69,65
23050,3,604,65
23050,4,916,65
23050,5,185,65
23050,6,1669,65
23050,7,2105,65
23050,8,240,65
23050,9,413,65
23050,10,944,65
23050,11,364,65
23050,12,694,65
23025,1,486,66
23025,2,490,66
23025,3,781,66
23025,4,1158,66
23025,5,817,66
23025,6,2410,66
23025,7,2330,66
23025,8,408,66
23025,9,504,66
23025,10,990,66
23025,11,478,66
23025,12,963,66
23008,1,1341,66
23008,2,466,66
23008,3,237,66
23008,4,702,66
23008,5,81,66
23008,6,959,66
23008,7,2580,66
23008,8,598,66
23008,9,233,66
23008,10,915,66
23008,11,180,66
23008,12,716,66
23033,1,321,67
23033,2,268,67
23033,3,330,67
23033,4,1000,67
23033,5,676,67
23033,6,2022,67
23033,7,901,67
23033,8,185,67
23033,9,92,67
23033,10,604,67
23033,11,91,67
23033,12,486,67
23068,1,1234,67
23068,2,545,67
23068,3,237,67
23068,4,1339,67
23068,5,535,67
23068,6,1478,67
23068,7,2654,67
23068,8,178,67
23068,9,225,67
23068,10,1086,67
23068,11,137,67
23068,12,933,67
23064,1,1633,68
23064,2,483,68
23064,3,688,68
23064,4,1252,68
23064,5,857,68
23064,6,1818,68
23064,7,2508,68
23064,8,615,68
23064,9,596,68
23064,10,1936,68
23064,11,116,68
23064,12,1393,68
23004,1,606,69
23004,2,632,69
23004,3,151,69
23004,4,761,69
23004,5,144,69
23004,6,1350,69
23004,7,1532,69
23004,8,199,69
23004,9,181,69
23004,10,961,69
23004,11,262,69
23004,12,565,69
23021,1,1083,69
23021,2,586,69
23021,3,512,69
23021,4,675,69
23021,5,717,69
23021,6,1854,69
23021,7,1839,69
23021,8,323,69
23021,9,540,69
23021,10,1030,69
23021,11,270,69
23021,12,658,69
23005,1,334,71
23005,2,336,71
23005,3,54,71
23005,4,1476,71
23005,5,635,71
23005,6,929,71
23005,7,1410,71
23005,8,161,71
23005,9,141,71
23005,10,518,71
23005,11,102,71
23005,12,336,71
23062,1,908,72
23062,2,798,72
23062,3,916,72
23062,4,792,72
23062,5,400,72
23062,6,2616,72
23062,7,2442,72
23062,8,408,72
23062,9,537,72
23062,10,735,72
23062,11,720,72
23062,12,620,72
23026,1,728,72
23026,2,322,72
23026,3,399,72
23026,4,539,72
23026,5,679,72
23026,6,1915,72
23026,7,1351,72
23026,8,405,72
23026,9,723,72
23026,10,968,72
23026,11,93,72
23026,12,483,72
23013,1,1169,73
23013,2,377,73
23013,3,408,73
23013,4,475,73
23013,5,510,73
23013,6,874,73
23013,7,789,73
23013,8,196,73
23013,9,266,73
23013,10,950,73
23013,11,242,73
23013,12,587,73
23046,1,836,74
23046,2,942,74
23046,3,276,74
23046,4,1597,74
23046,5,310,74
23046,6,2047,74
23046,7,3373,74
23046,8,355,74
23046,9,280,74
23046,10,572,74
23046,11,294,74
23046,12,1216,74
23066,1,823,74
23066,2,271,74
23066,3,456,74
23066,4,737,74
23066,5,235,74
23066,6,1818,74
23066,7,2661,74
23066,8,369,74
23066,9,453,74
23066,10,1115,74
23066,11,386,74
23066,12,1041,74
23061,1,1143,76
23061,2,441,76
23061,3,370,76
23061,4,907,76
23061,5,452,76
23061,6,1662,76
23061,7,3187,76
23061,8,625,76
23061,9,92,76
23061,10,1284,76
23061,11,230,76
23061,12,1057,76
23067,1,1407,77
23067,2,466,77
23067,3,330,77
23067,4,1312,77
23067,5,406,77
23067,6,1818,77
23067,7,3416,77
23067,8,343,77
23067,9,273,77
23067,10,1853,77
23067,11,413,77
23067,12,1448,77
23023,1,544,78
23023,2,325,78
23023,3,825,78
23023,4,789,78
23023,5,595,78
23023,6,1781,78
23023,7,1500,78
23023,8,244,78
23023,9,423,78
23023,10,382,78
23023,11,190,78
23023,12,425,78
23015,1,695,79
23015,2,449,79
23015,3,317,79
23015,4,694,79
23015,5,453,79
23015,6,991,79
23015,7,948,79
23015,8,141,79
23015,9,351,79
23015,10,1145,79
23015,11,90,79
23015,12,136,79
23070,1,1725,79
23070,2,486,79
23070,3,482,79
23070,4,1084,79
23070,5,573,79
23070,6,2033,79
23070,7,3017,79
23070,8,786,79
23070,9,183,79
23070,10,1149,79
23070,11,367,79
23070,12,1376,79
23016,1,852,80
23016,2,236,80
23016,3,380,80
23016,4,345,80
23016,5,399,80
23016,6,1673,80
23016,7,1982,80
23016,8,192,80
23016,9,406,80
23016,10,1250,80
23016,11,180,80
23016,12,530,80
23007,1,1093,80
23007,2,336,80
23007,3,192,80
23007,4,647,80
23007,5,365,80
23007,6,961,80
23007,7,1822,80
23007,8,206,80
23007,9,315,80
23007,10,1260,80
23007,11,58,80
23007,12,668,80
23048,1,1337,81
23048,2,523,81
23048,3,596,81
23048,4,1588,81
23048,5,571,81
23048,6,1677,81
