OKRSEK,STRANA,HLASY,batch
8,1,122,24
8,2,225,24
8,3,514,24
8,4,1179,24
8,5,67,24
8,6,2592,24
8,7,269,24
8,8,120,24
8,9,148,24
9,1,114,35
9,2,22,35
9,3,200,35
9,4,161,35
9,5,38,35
9,6,1790,35
9,7,274,35
9,8,68,35
9,9,82,35
5,1,256,39
5,2,359,39
5,3,1176,39
5,4,879,39
5,5,129,39
5,6,5075,39
5,7,366,39
5,8,326,39
5,9,456,39
4,1,564,48
4,2,345,48
4,3,890,48
4,4,866,48
4,5,109,48
4,6,4838,48
4,7,396,48
4,8,378,48
4,9,196,48
11,1,901,49
11,2,269,49
11,3,1066,49
11,4,1335,49
11,5,144,49
11,6,4818,49
11,7,523,49
11,8,196,49
11,9,603,49
2,1,541,50
2,2,603,50
2,3,928,50
2,4,1091,50
2,5,198,50
2,6,7650,50
2,7,709,50
2,8,243,50
2,9,740,50
1,1,284,51
1,2,485,51
1,3,986,51
1,4,672,51
1,5,158,51
1,6,7228,51
1,7,404,51
1,8,287,51
1,9,421,51
10,1,175,55
10,2,143,55
10,3,450,55
10,4,930,55
10,5,78,55
10,6,5524,55
10,7,186,55
10,8,207,55
10,9,349,55
6,1,547,58
6,2,215,58
6,3,709,58
6,4,1025,58
6,5,125,58
6,6,3786,58
6,7,328,58
6,8,457,58
6,9,423,58
7,1,259,68
7,2,221,68
7,3,1219,68
7,4,1311,68
7,5,212,68
7,6,6249,68
7,7,594,68
7,8,255,68
7,9,443,68
3,1,474,74
3,2,202,74
3,3,1397,74
3,4,1080,74
3,5,173,74
3,6,5992,74
3,7,313,74
3,8,365,74
3,9,899,74
