index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,color,inverse
9239,3203,554791,Plzeň,1,1,1014,1014,PRO PLZEŇ,PRO PLZEŇ,PRO PLZEŇ,1,1014,,,,47,1014,PRO PLZEŇ,,,,,
9240,3203,554791,Plzeň,1,2,1327,1327,"SPOLU – ODS, KDU-ČSL, TOP 09","SPOLU – ODS, KDU-ČSL, TOP 09",KDU+ODS+TOP 09,3,"001,053,721",,,,47,1,KDU+ODS+TOP 09,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1.0,#ffd62e,1.0
9241,3203,554791,Plzeň,1,3,47,47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,,,,47,47,KSČM,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b,1.0
9242,3203,554791,Plzeň,1,4,166,166,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAN,1,166,,,,47,166,STAN,STAN,STAROSTOVÉ A NEZÁVISLÍ,166.0,#38c2f9,1.0
9243,3203,554791,Plzeň,1,5,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,,,,47,720,Piráti,Piráti,Česká pirátská strana,720.0,#222222,1.0
9244,3203,554791,Plzeň,1,6,55,55,"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)",Koruna Česká (monarch.strana),Monarchiste.cz,1,055,,,,38,55,Monarchiste.cz,,,,,
9245,3203,554791,Plzeň,1,7,482,482,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT — sdružení DSZ - ZA PRÁVA ZVÍŘAT a NK,DSZ-ZA PRÁVA ZVÍŘAT—DSZ a NK,DSZ+NK,2,"080,715",,,,21,80,DSZ+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
9246,3203,554791,Plzeň,1,8,600,600,ČESKÁ PLZEŇ A BEZPEČNÉ ULICE,ČESKÁ PLZEŇ A BEZPEČNÉ ULICE,DSSS+BEZ-UL,2,"156,761",,,,24,156,DSSS+BEZ-UL,,,,,
9247,3203,554791,Plzeň,1,9,1265,1265,Právo Respekt Odbornost,Právo Respekt Odbornost,PRO 2022,1,1265,,,,47,1265,PRO 2022,,,,,
9248,3203,554791,Plzeň,1,10,532,532,ANO 2011 a nezávislí,ANO 2011 a nezávislí,ANO+NK,2,"080,768",,,,47,80,ANO+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
9249,3203,554791,Plzeň,1,11,1245,1245,PŘÍSAHA - občanské hnutí Roberta Šlachty,PŘÍSAHA Roberta Šlachty,PŘÍSAHA,1,1245,,,,47,1245,PŘÍSAHA,,,,,
9250,3203,554791,Plzeň,1,12,371,371,Plzeň v srdci - ČSSD a nezávislí kandidáti,Plzeň v srdci - ČSSD a NK,ČSSD+NK,2,"007,080",,,,47,7,ČSSD+NK,ČSSD,Česká strana sociálně demokratická,7.0,#f9932e,1.0
9251,3203,554791,Plzeň,1,13,497,497,Ta Pravá Plzeň,Ta Pravá Plzeň,Soukromníci+NK,2,"080,716",,,,47,80,Soukromníci+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
9252,3203,554791,Plzeň,1,14,1114,1114,Svoboda a přímá demokracie (SPD),Svoboda a př. demokracie (SPD),SPD,1,1114,,,,47,1114,SPD,SPD,Svoboda a přímá demokracie - Tomio Okamura (SPD),1114.0,#c05f2f,1.0
