index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,Barva
123,1100,500224,Praha 10,1,1,142,142,Praha bez chaosu,Praha bez chaosu,PHA bez chaosu,1,142,,,,45,142,PHA bez chaosu,,,,
124,1100,500224,Praha 10,1,2,768,768,ANO 2011,ANO 2011,ANO,1,768,,,,45,768,ANO,ANO,ANO 2011,768.0,#33cccc
125,1100,500224,Praha 10,1,3,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,,,,45,720,Piráti,Piráti,Česká pirátská strana,720.0,#222222
126,1100,500224,Praha 10,1,4,1491,1491,"SPD, Trikolora a nezávislí kandidáti pro Prahu 10","SPD, Trikolora a NK pro P 10",SPD+Trikol+NK,3,"080,1114,1227",,,,45,80,SPD+Trikol+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
127,1100,500224,Praha 10,1,5,449,449,Nezávislí pro Prahu – Zelená pro přátelskou desítku,Nezávislí pro Prahu,SNK ED+NK,2,"080,129",,,,45,80,SNK ED+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
128,1100,500224,Praha 10,1,6,1404,1404,VLASTA a STAN s podporou KDU-ČSL,VLASTA a STAN s podp. KDU-ČSL,KDU-ČSL+STAN+NK,3,"001,080,166",,,,45,1,KDU-ČSL+STAN+NK,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1.0,#ffd62e
129,1100,500224,Praha 10,1,7,687,687,Společně pro Prahu 10 - ODS a TOP 09,Společně pro Prahu 10,ODS+TOP 09,2,"053,721",,,,45,53,ODS+TOP 09,ODS,Občanská demokratická strana,53.0,#4175e0
130,1100,500224,Praha 10,1,8,1469,1469,Solidarita pro Prahu 10,Solidarita pro Prahu 10,ČSSD+Zel+Budouc,3,"005,007,1232",,,,45,5,ČSSD+Zel+Budouc,SZ,Strana zelených,5.0,#36da83
131,1100,500224,Praha 10,1,9,47,47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,,,,8,47,KSČM,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b
