index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,color,inverse
139,7102,500496,Olomouc,1,1,736,736,"SDRUŽENÍ PRO REPUBLIKU - REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA","SPR-REP.STR.ČECH,MORAVY,SLEZ.",SPR-RSČMS,1,736,,,,28,736,SPR-RSČMS,,,,,
140,7102,500496,Olomouc,1,2,1585,1585,"STAN, ZELENÍ A NEZÁVISLÉ OLOMOUCKÉ OSOBNOSTI","STAN, ZELENÍ A NEZ. OL. OSOBN.",Zelení+STAN,2,"005,166",,,,45,5,Zelení+STAN,SZ,Strana zelených,5.0,#36da83,1.0
141,7102,500496,Olomouc,1,3,768,768,ANO 2011,ANO 2011,ANO,1,768,,,,45,768,ANO,ANO,ANO 2011,768.0,#33cccc,0.0
142,7102,500496,Olomouc,1,4,1192,1192,spOLečně,spOLečně,spOL,1,1192,,,,45,1192,spOL,,,,,
143,7102,500496,Olomouc,1,5,1615,1615,ProOlomouc a Piráti,ProOlomouc a Piráti,Piráti+ProOl,2,"720,1039",,,,45,720,Piráti+ProOl,Piráti,Česká pirátská strana,720.0,#222222,1.0
144,7102,500496,Olomouc,1,6,1245,1245,PŘÍSAHA - občanské hnutí Roberta Šlachty,PŘÍSAHA Roberta Šlachty,PŘÍSAHA,1,1245,,,,26,1245,PŘÍSAHA,,,,,
145,7102,500496,Olomouc,1,7,371,371,Olomoučané,Olomoučané,ČSSD+NK,2,"007,080",,,,45,7,ČSSD+NK,ČSSD,Česká strana sociálně demokratická,7.0,#f9932e,1.0
146,7102,500496,Olomouc,1,8,1596,1596,"Svobodní, Soukromníci, Koruna Česká, Konzervativní strana","Svobod.,Soukrom.,KČ,Konz. str.",KONSMonSvobSouk,4,"024,055,714,716",,,,15,24,KONSMonSvobSouk,,,,,
147,7102,500496,Olomouc,1,9,47,47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,,,,45,47,KSČM,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b,1.0
148,7102,500496,Olomouc,1,10,1327,1327,SPOLU,SPOLU,KDU+ODS+TOP 09,3,"001,053,721",,,,45,1,KDU+ODS+TOP 09,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1.0,#ffd62e,1.0
149,7102,500496,Olomouc,1,11,1487,1487,SPD a Trikolora,SPD a Trikolora,SPD+Trikolora,2,"1114,1227",,,,45,1114,SPD+Trikolora,SPD,Svoboda a přímá demokracie - Tomio Okamura (SPD),1114.0,#c05f2f,1.0
