index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,Barva
9268,8106,554821,Ostrava,1,1,755,755,Ostravak,Ostravak,Ostravak,1,755,,,,55,755,Ostravak,,,,
9269,8106,554821,Ostrava,1,2,752,752,Švýcarská demokracie (www.svycarska-demokracie.cz),Švýcarská demokracie,Švýcar. demokr.,1,752,,,,55,752,Švýcar. demokr.,,,,
9270,8106,554821,Ostrava,1,3,482,482,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT — sdružení DSZ - ZA PRÁVA ZVÍŘAT a NK,"Sdružení DSZ, NK",DSZ+NK,2,"080,715",,,,4,80,DSZ+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
9271,8106,554821,Ostrava,1,4,1245,1245,PŘÍSAHA - občanské hnutí Roberta Šlachty,PŘÍSAHA Roberta Šlachty,PŘÍSAHA,1,1245,,,,55,1245,PŘÍSAHA,,,,
9272,8106,554821,Ostrava,1,5,1114,1114,Svoboda a přímá demokracie (SPD),Svoboda a př. demokracie (SPD),SPD,1,1114,,,,55,1114,SPD,SPD,Svoboda a přímá demokracie - Tomio Okamura (SPD),1114.0,#c05f2f
9273,8106,554821,Ostrava,1,6,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,,,,55,720,Piráti,Piráti,Česká pirátská strana,720.0,#222222
9274,8106,554821,Ostrava,1,7,470,470,STAROSTOVÉ pro OSTRAVU,STAROSTOVÉ pro OSTRAVU,STAN+NK,2,"080,166",,,,55,80,STAN+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
9275,8106,554821,Ostrava,1,8,768,768,ANO 2011,ANO 2011,ANO,1,768,,,,55,768,ANO,ANO,ANO 2011,768.0,#33cccc
9276,8106,554821,Ostrava,1,9,387,387,"OSTRAVSKÁ LEVICE — sdružení KSČM a NK: Za VODÁRENSTVÍ VE VLASTNICTVÍ MĚSTA, ne cizinců; Za LEVNOU MHD…",OSTRAVSKÁ LEVICE,KSČM+NK,2,"047,080",,,,55,47,KSČM+NK,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b
9277,8106,554821,Ostrava,1,10,1555,1555,Česká strana sociálně demokratická a hnutí LEČO - LEPŠÍ A ČISTÁ OSTRAVA,"Koalice ČSSD, LEČO",ČSSD+LEČO,2,"007,1191",,,,55,7,ČSSD+LEČO,ČSSD,Česká strana sociálně demokratická,7.0,#f9932e
9278,8106,554821,Ostrava,1,11,1570,1570,Trikolora a hnutí Zdraví Sport Prosperita,Trikolora a hnutí PRO Zdraví,PROZd+Trikol+NK,3,"080,785,1227",,,,55,80,PROZd+Trikol+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
9279,8106,554821,Ostrava,1,12,522,522,"ANO, VRÁTÍME VODU LIDEM, MHD bude zdarma a nezvedneme daně ani poplatky","ANO, VRÁTÍME VODU LIDEM",PATRIOTI+NK,2,"080,776",,,,55,80,PATRIOTI+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
9280,8106,554821,Ostrava,1,13,1327,1327,"Koalice SPOLU (Občanská demokratická strana, KDU-ČSL, TOP 09)",Koalice SPOLU,KDU+ODS+TOP 09,3,"001,053,721",,,,55,1,KDU+ODS+TOP 09,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1.0,#ffd62e
9281,8106,554821,Ostrava,1,14,1196,1196,Slezská lidem,Slezská lidem,Slezská,1,1196,,,,54,1196,Slezská,,,,
