index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,Barva
5360,3101,544256,České Budějovice,1,1,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,,,,45,720,Piráti,Piráti,Česká pirátská strana,720.0,#222222
5361,3101,544256,České Budějovice,1,2,493,493,Českobudějovičtí ROZUMNĚ NAŠTVANÍ,Českobuděj. ROZUMNĚ NAŠTVANÍ,Rozumní+NK,2,"080,137",,,,45,80,Rozumní+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
5362,3101,544256,České Budějovice,1,3,387,387,KSČM fungující Budějce,KSČM fungující Budějce,KSČM+NK,2,"047,080",,,,45,47,KSČM+NK,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b
5363,3101,544256,České Budějovice,1,4,371,371,ČSSD a NEZÁVISLÉ OSOBNOSTI,ČSSD a NEZÁVISLÉ OSOBNOSTI,ČSSD+NK,2,"007,080",,,,45,7,ČSSD+NK,ČSSD,Česká strana sociálně demokratická,7.0,#f9932e
5364,3101,544256,České Budějovice,1,5,166,166,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAN,1,166,,,,45,166,STAN,STAN,STAROSTOVÉ A NEZÁVISLÍ,166.0,#38c2f9
5365,3101,544256,České Budějovice,1,6,1422,1422,OBČANÉ PRO BUDĚJOVICE,OBČANÉ PRO BUDĚJOVICE,HOPB+JIH 12+NK,3,"080,753,766",,,,45,80,HOPB+JIH 12+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
5366,3101,544256,České Budějovice,1,7,768,768,ANO 2011,ANO 2011,ANO,1,768,,,,45,768,ANO,ANO,ANO 2011,768.0,#33cccc
5367,3101,544256,České Budějovice,1,8,53,53,Občanská demokratická strana,Občanská demokratická strana,ODS,1,053,,,,45,53,ODS,ODS,Občanská demokratická strana,53.0,#4175e0
5368,3101,544256,České Budějovice,1,9,1058,1058,KDU-ČSL a TOP 09 - Společně pro Budějovice,Společně pro Budějovice,KDU-ČSL+TOP 09,2,"001,721",,,,45,1,KDU-ČSL+TOP 09,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1.0,#ffd62e
5369,3101,544256,České Budějovice,1,10,1114,1114,Svoboda a přímá demokracie (SPD),Svoboda a př. demokracie (SPD),SPD,1,1114,,,,45,1114,SPD,SPD,Svoboda a přímá demokracie - Tomio Okamura (SPD),1114.0,#c05f2f
5370,3101,544256,České Budějovice,1,11,477,477,Budějce srdcem a rozumem,Budějce srdcem a rozumem,Svobodní+NK,2,"080,714",,,,17,80,Svobodní+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
