id,votes
503410-1,73.0
505781-1,242.0
512991-1,61.0
513032-1,107.0
513041-1,222.0
513075-1,66.0
513113-1,80.0
513130-1,86.0
513148-1,69.0
513164-1,130.0
513181-1,48.0
513202-1,35.0
513237-1,57.0
513261-1,84.0
513270-1,68.0
513288-1,55.0
513369-1,121.0
513393-1,120.0
513415-1,79.0
513423-1,98.0
513431-1,167.0
513458-1,779.0
513482-1,69.0
513504-1,147.0
513512-1,118.0
513521-1,80.0
513539-1,64.0
513547-1,115.0
513555-1,83.0
513571-1,85.0
513580-1,60.0
513628-1,114.0
513644-1,119.0
526622-1,98.0
528196-1,60.0
529303-1,150.0
529303-10,183.0
529303-11,107.0
529303-12,188.0
529303-13,161.0
529303-14,192.0
529303-15,322.0
529303-16,279.0
529303-17,237.0
529303-18,312.0
529303-19,341.0
529303-2,339.0
529303-20,61.0
529303-21,74.0
529303-22,87.0
529303-23,70.0
529303-3,153.0
529303-4,281.0
529303-5,306.0
529303-6,172.0
529303-7,280.0
529303-8,155.0
529303-9,224.0
529451-1,220.0
529451-10,92.0
529451-2,207.0
529451-3,148.0
529451-4,148.0
529451-5,51.0
529451-6,112.0
529451-7,103.0
529451-8,74.0
529451-9,123.0
529478-1,52.0
529486-1,324.0
529486-2,35.0
529486-3,19.0
529486-4,25.0
529486-5,33.0
529486-6,33.0
529516-1,412.0
529516-2,546.0
529524-1,22.0
529532-1,124.0
529541-1,78.0
529559-1,50.0
529567-1,288.0
529575-1,42.0
529583-1,38.0
529591-1,75.0
529605-1,100.0
529613-1,92.0
529621-1,340.0
529621-2,38.0
529621-3,23.0
529621-4,29.0
529621-5,34.0
529630-1,111.0
529648-1,275.0
529656-1,88.0
529664-1,11.0
529672-1,66.0
529681-1,49.0
529699-1,27.0
529702-1,56.0
529702-2,114.0
529702-3,41.0
529711-1,38.0
529737-1,89.0
529745-1,104.0
529770-1,59.0
529788-1,66.0
529796-1,357.0
529796-2,61.0
529818-1,168.0
529842-1,202.0
529842-2,56.0
529851-1,72.0
529907-1,51.0
529931-1,135.0
529940-1,118.0
529958-1,287.0
529958-2,59.0
529974-1,56.0
529974-2,23.0
529974-3,68.0
529991-1,118.0
529991-2,14.0
529991-3,79.0
529991-4,41.0
530000-1,145.0
530026-1,36.0
530051-1,225.0
530069-1,60.0
530093-1,66.0
530093-2,43.0
530093-3,29.0
530093-4,42.0
530093-5,48.0
530107-1,209.0
530115-1,120.0
530115-2,63.0
530115-3,59.0
530158-1,120.0
530166-1,204.0
530166-2,41.0
530174-1,87.0
530191-1,98.0
530204-1,279.0
530212-1,276.0
530263-1,218.0
530263-2,93.0
530298-1,301.0
530301-1,158.0
530310-1,244.0
530310-2,187.0
530310-3,65.0
530310-4,69.0
530310-5,73.0
530310-6,38.0
530344-1,63.0
530344-2,55.0
530344-3,297.0
530352-1,101.0
530352-2,27.0
530409-1,104.0
530441-1,451.0
530450-1,404.0
530476-1,193.0
530492-1,148.0
530514-1,40.0
530522-1,91.0
530531-1,122.0
530549-1,65.0
530573-1,322.0
530573-10,18.0
530573-2,164.0
530573-3,63.0
530573-4,63.0
530573-5,29.0
530573-6,42.0
530573-7,67.0
530573-8,46.0
530573-9,39.0
530611-1,100.0
530638-1,129.0
530689-1,182.0
530689-2,123.0
530701-1,84.0
530719-1,35.0
530743-1,83.0
530751-1,88.0
530760-1,164.0
530778-1,75.0
530816-1,362.0
530832-1,39.0
530841-1,221.0
530841-10,66.0
530841-11,99.0
530841-12,99.0
530841-2,207.0
530841-3,192.0
530841-4,255.0
