id,votes
505099-1,71.0
513717-1,105.0
530671-1,29.0
530735-1,82.0
530786-1,69.0
530808-1,72.0
546470-1,59.0
547531-1,45.0
547565-1,52.0
547646-1,382.0
547646-2,404.0
547654-1,66.0
547701-1,32.0
547727-1,38.0
547743-1,111.0
547751-1,107.0
547786-1,144.0
548057-1,31.0
548065-1,96.0
548154-1,96.0
548642-1,99.0
548651-1,61.0
548669-1,102.0
548677-1,31.0
548685-1,35.0
548693-1,48.0
548707-1,63.0
548723-1,60.0
548758-1,28.0
548782-1,35.0
548791-1,36.0
548804-1,95.0
548812-1,23.0
548821-1,56.0
548839-1,58.0
548847-1,54.0
548855-1,79.0
548863-1,104.0
548871-1,20.0
548880-1,69.0
548898-1,43.0
548901-1,44.0
548910-1,39.0
548928-1,22.0
548944-1,62.0
548952-1,33.0
548961-1,38.0
548979-1,27.0
548995-1,73.0
549029-1,27.0
549037-1,84.0
549070-1,51.0
549088-1,26.0
549096-1,100.0
549100-1,92.0
549118-1,18.0
549151-1,86.0
549169-1,94.0
549185-1,19.0
549193-1,53.0
549207-1,71.0
549223-1,40.0
549274-1,37.0
549282-1,86.0
549312-1,50.0
549355-1,68.0
553701-1,69.0
554863-1,124.0
569810-1,255.0
569810-10,501.0
569810-11,208.0
569810-12,318.0
569810-13,246.0
569810-14,263.0
569810-15,283.0
569810-16,377.0
569810-17,390.0
569810-18,328.0
569810-19,279.0
569810-2,297.0
569810-20,289.0
569810-21,339.0
569810-22,278.0
569810-23,55.0
569810-24,145.0
569810-25,289.0
569810-26,330.0
569810-27,360.0
569810-28,475.0
569810-29,400.0
569810-3,305.0
569810-30,339.0
569810-31,386.0
569810-32,467.0
569810-33,459.0
569810-34,392.0
569810-35,396.0
569810-36,211.0
569810-37,258.0
569810-38,466.0
569810-39,453.0
569810-4,306.0
569810-40,353.0
569810-41,306.0
569810-42,362.0
569810-43,363.0
569810-44,372.0
569810-45,383.0
569810-46,249.0
569810-47,261.0
569810-48,325.0
569810-49,348.0
569810-5,305.0
569810-50,388.0
569810-51,457.0
569810-52,307.0
569810-53,396.0
569810-54,366.0
569810-55,248.0
569810-56,330.0
569810-57,372.0
569810-58,338.0
569810-59,371.0
569810-6,251.0
569810-60,311.0
569810-61,495.0
569810-62,433.0
569810-63,367.0
569810-64,310.0
569810-65,326.0
569810-66,312.0
569810-67,471.0
569810-68,371.0
569810-69,327.0
569810-7,331.0
569810-70,335.0
569810-71,278.0
569810-72,290.0
569810-73,298.0
569810-74,375.0
569810-75,278.0
569810-76,397.0
569810-77,369.0
569810-78,364.0
569810-79,416.0
569810-8,277.0
569810-80,233.0
569810-81,363.0
569810-82,292.0
569810-83,258.0
569810-84,360.0
569810-85,415.0
569810-9,282.0
569828-1,80.0
569836-1,77.0
569852-1,159.0
569861-1,51.0
569879-1,122.0
569887-1,129.0
569887-2,37.0
569887-3,37.0
569917-1,650.0
569917-2,54.0
569917-3,92.0
569925-1,321.0
569933-1,56.0
569941-1,103.0
569968-1,169.0
569976-1,130.0
569984-1,158.0
569984-2,71.0
569984-3,39.0
569992-1,96.0
570001-1,159.0
570010-1,58.0
570028-1,252.0
570044-1,148.0
570044-2,30.0
570044-3,14.0
570044-4,36.0
570052-1,74.0
570087-1,133.0
570109-1,278.0
570109-2,376.0
570109-3,238.0
570109-4,239.0
570109-5,334.0
570109-6,56.0
570109-7,42.0
570125-1,76.0
570133-1,169.0
570150-1,70.0
570168-1,123.0
570168-2,34.0
570176-1,123.0
570184-1,112.0
570192-1,76.0
570192-2,40.0
570206-1,181.0
570214-1,124.0
570222-1,78.0
570231-1,319.0
570249-1,246.0
570249-2,42.0
570257-1,68.0
570265-1,238.0
570273-1,113.0
570290-1,61.0
570303-1,113.0
570311-1,217.0
570320-1,173.0
570354-1,61.0
570362-1,148.0
570397-1,31.0
570397-2,61.0
570397-3,125.0
570401-1,68.0
570419-1,117.0
570427-1,60.0
570435-1,164.0
570443-1,102.0
570451-1,68.0
