mean,hi,lo,number,id,given_name,family_name,abbreviated_name,name,counted,datetime,datatime-data
35.371,35.506,35.236,4,petr-pavel,Petr,Pavel,P. Pavel,Petr Pavel,99.18798998232448,2023-01-14T16:55:43,2023-01-14T16:55:01
35.025,35.158,34.892,7,andrej-babis,Andrej,Babiš,A. Babiš,Andrej Babiš,99.18798998232448,2023-01-14T16:55:43,2023-01-14T16:55:01
13.927,13.98,13.874,6,danuse-nerudova,Danuše,Nerudová,D. Nerudová,Danuše Nerudová,99.18798998232448,2023-01-14T16:55:43,2023-01-14T16:55:01
6.753,6.779,6.727,1,pavel-fischer,Pavel,Fischer,P. Fischer,Pavel Fischer,99.18798998232448,2023-01-14T16:55:43,2023-01-14T16:55:01
4.457,4.474,4.44,2,jaroslav-basta,Jaroslav,Bašta,J. Bašta,Jaroslav Bašta,99.18798998232448,2023-01-14T16:55:43,2023-01-14T16:55:01
2.564,2.574,2.554,9,marek-hilser,Marek,Hilšer,M. Hilšer,Marek Hilšer,99.18798998232448,2023-01-14T16:55:43,2023-01-14T16:55:01
1.352,1.357,1.347,8,karel-divis,Karel,Diviš,K. Diviš,Karel Diviš,99.18798998232448,2023-01-14T16:55:43,2023-01-14T16:55:01
0.552,0.554,0.55,5,tomas-zima,Tomáš,Zima,T. Zima,Tomáš Zima,99.18798998232448,2023-01-14T16:55:43,2023-01-14T16:55:01
