index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,Barva
66,1100,500143,Praha 5,1,1,1547,1547,"„Solidarita pro Prahu 5“ Koalice ČSSD a Živá Praha 5, Společnosti pro ochranu Prokopského a Dalejského údolí a nez. kan.",„Solidarita pro Prahu 5“,ČSSD+ŽP5,2,"007,1199",,,,41,7,ČSSD+ŽP5,ČSSD,Česká strana sociálně demokratická,7.0,#f9932e
67,1100,500143,Praha 5,1,2,1305,1305,Svoboda a přímá demokracie (SPD) s podporou Trikolory,SPD s podporou Trikolory,SPD+NK,2,"080,1114",,,,41,80,SPD+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
68,1100,500143,Praha 5,1,3,166,166,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAN,1,166,,,,41,166,STAN,STAN,STAROSTOVÉ A NEZÁVISLÍ,166.0,#38c2f9
69,1100,500143,Praha 5,1,4,901,90,PRAHA 5 SOBĚ,PRAHA 5 SOBĚ,SNK,1,080,,,,41,80,SNK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
70,1100,500143,Praha 5,1,5,303,303,"KDU-ČSL, Zelení a Nezávislí","KDU-ČSL, Zelení a Nezávislí",KDU-ČSL+Zelení,2,"001,005",,,,41,1,KDU-ČSL+Zelení,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1.0,#ffd62e
71,1100,500143,Praha 5,1,6,1546,1546,Koalice SEN 21 pro Prahu 5 se senátorem Václavem Láskou a Společnosti proti developerské výstavbě v Prokopském údolí,Koalice SEN 21 pro Prahu 5,SPDV+SEN 21,2,"1041,1187",,,,41,1041,SPDV+SEN 21,,,,
72,1100,500143,Praha 5,1,7,687,687,"SPOLEČNĚ PRO PRAHU 5 (ODS, TOP 09)",SPOLEČNĚ PRO PRAHU 5,ODS+TOP 09,2,"053,721",,,,41,53,ODS+TOP 09,ODS,Občanská demokratická strana,53.0,#4175e0
73,1100,500143,Praha 5,1,8,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,,,,41,720,Piráti,Piráti,Česká pirátská strana,720.0,#222222
74,1100,500143,Praha 5,1,9,714,714,Svobodní,Svobodní,Svobodní,1,714,,,,32,714,Svobodní,,,,
75,1100,500143,Praha 5,1,10,1516,1516,PRAHA BEZ CHAOSU,PRAHA BEZ CHAOSU,P bez chaosu+NK,2,"080,142",,,,35,80,P bez chaosu+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
76,1100,500143,Praha 5,1,11,1537,1537,PŘÍSAHA a SNOP 5,PŘÍSAHA a SNOP 5,PŘÍSAHA+NK,2,"080,1245",,,,41,80,PŘÍSAHA+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A
77,1100,500143,Praha 5,1,12,768,768,ANO 2011,ANO 2011,ANO,1,768,,,,41,768,ANO,ANO,ANO 2011,768.0,#33cccc
