index,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA_x,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR,N_CANDIDATE,main_party,name,Short name,Name,VSTRANA_y,color,inverse
9217,1100,554782,Praha hl.m.,1,1,714,714,Svobodní,Svobodní,Svobodní,1,714,,,,65,714,Svobodní,,,,,
9218,1100,554782,Praha hl.m.,1,2,1587,1587,PRAHA NÁŠ DOMOV,PRAHA NÁŠ DOMOV,Rozum+Suver+DOM,3,"137,759,1221",,,,65,137,Rozum+Suver+DOM,,,,,
9219,1100,554782,Praha hl.m.,1,3,1516,1516,Praha bez chaosu,Praha bez chaosu,P bez chaosu+NK,2,"080,142",,,,64,80,P bez chaosu+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
9220,1100,554782,Praha hl.m.,1,4,1373,1373,PRAHA SOBĚ,PRAHA SOBĚ,PRAHA SOBĚ+NK,2,"080,1180",,,,65,80,PRAHA SOBĚ+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
9221,1100,554782,Praha hl.m.,1,5,1572,1572,"LEPŠÍ PRAHA PRO PRAŽANY – snížení daně z nemovitých věcí o 50%, městská hromadná doprava zdarma, internet zdarma…",LEPŠÍ PRAHA PRO PRAŽANY,ND+ANS,2,"079,762",,,,65,79,ND+ANS,,,,,
9222,1100,554782,Praha hl.m.,1,6,166,166,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAN,1,166,,,,65,166,STAN,STAN,STAROSTOVÉ A NEZÁVISLÍ,166.0,#38c2f9,1.0
9223,1100,554782,Praha hl.m.,1,7,98,98,Volte Pravý Blok - stranu za ODVOLATELNOST politiků a státních úředníků PŘÍMO OBČANY,Volte Pr.Blok www.cibulka.net,PB,1,098,,,,1,98,PB,,,,,
9224,1100,554782,Praha hl.m.,1,8,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,,,,65,720,Piráti,Piráti,Česká pirátská strana,720.0,#222222,1.0
9225,1100,554782,Praha hl.m.,1,9,1178,1178,Motoristé sobě,Motoristé sobě,AUTO,1,1178,,,,65,1178,AUTO,,,,,
9226,1100,554782,Praha hl.m.,1,10,1603,1603,Přísaha s Patrioty,Přísaha s Patrioty,PatrČR+PŘÍSAHA,2,"1004,1245",,,,65,1004,PatrČR+PŘÍSAHA,,,,,
9227,1100,554782,Praha hl.m.,1,11,600,600,Za bezpečné ulice v Praze,Za bezpečné ulice v Praze,DSSS+BEZ-UL,2,"156,761",,,,13,156,DSSS+BEZ-UL,,,,,
9228,1100,554782,Praha hl.m.,1,12,1250,1250,Urza.cz: Nechceme vaše hlasy; ke svobodě se nelze provolit... Máme jinou vizi. Jdeme jinou cestou.,Urza.cz: Nechceme vaše hlasy,Nevolte Urza.cz,1,1250,,,,1,1250,Nevolte Urza.cz,,,,,
9229,1100,554782,Praha hl.m.,1,13,47,47,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,,,,65,47,KSČM,KSČM,Komunistická strana Čech a Moravy,47.0,#e2354b,1.0
9230,1100,554782,Praha hl.m.,1,14,1327,1327,"SPOLU pro Prahu (ODS, TOP 09, KDU-ČSL)",SPOLU pro Prahu,KDU+ODS+TOP 09,3,"001,053,721",,,,65,1,KDU+ODS+TOP 09,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,1.0,#ffd62e,1.0
9231,1100,554782,Praha hl.m.,1,15,1604,1604,"Solidarita – koalice ČSSD, Zelených, Budoucnosti a Idealistů","Solidarita - ČSSD,Zel,Bud,Ide",Ze+ČSSD+Bud+Ide,4,"005,007,1232,1233",,,,65,5,Ze+ČSSD+Bud+Ide,SZ,Strana zelených,5.0,#36da83,1.0
9232,1100,554782,Praha hl.m.,1,16,1545,1545,"SPD, Trikolora, Hnutí PES a nezávislí společně pro Prahu","SPD,Trik.,PES a nez. pro Prahu",SPD+Trik+PES+NK,4,"080,1114,1227,1244",,,,65,80,SPD+Trik+PES+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
9233,1100,554782,Praha hl.m.,1,17,1041,1041,Společnost proti developerské výstavbě v Prokopském údolí,Společ.proti výst.v Prok.údolí,SPDV,1,1041,,,,39,1041,SPDV,,,,,
9234,1100,554782,Praha hl.m.,1,18,1272,1272,Volt,Volt,VČR,1,1272,,,,9,1272,VČR,,,,,
9235,1100,554782,Praha hl.m.,1,19,1243,1243,DOST,DOST,DOST,1,1243,,,,6,1243,DOST,,,,,
9236,1100,554782,Praha hl.m.,1,20,482,482,S.O.S. ZA PRÁVA ZVÍŘAT — Demokratická strana zelených - ZA PRÁVA ZVÍŘAT — sdružení DSZ - ZA PRÁVA ZVÍŘAT a NK,S.O.S. ZA PRÁVA ZVÍŘAT,DSZ+NK,2,"080,715",,,,21,80,DSZ+NK,Nezávislý kandidát,Nezávislý kandidát,80.0,#5C677A,1.0
9237,1100,554782,Praha hl.m.,1,21,768,768,ANO 2011,ANO 2011,ANO,1,768,,,,65,768,ANO,ANO,ANO 2011,768.0,#33cccc,0.0
9238,1100,554782,Praha hl.m.,1,22,1571,1571,"Strana soukromníků ČR, Koruna Česká (monarch. strana Čech, Moravy a Slezska), Konzervat. strana, Klub angaž. nestraníků","Str.soukr. ČR, KČ, KS, KAN",KONSKANMonSoukr,4,"024,040,055,716",,,,65,24,KONSKANMonSoukr,,,,,
